식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,IC 카드 지불,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,인스 타 그램,페이스 북,발언,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,추가 장비,영상,QR 코드 결제,X (트위터),외국어 지원,맥주 제작자,온라인 예약
ビストロ Lanterne Rouge,비스트로 랜 터네 루지,https://retty.me/area/PRE13/ARE13/SUB1303/100001283419/,03-5449-6898,와인 바 이탈리아 비스트로,"[월요일부터 금요일까지]
저녁 식사 17:00-23:00 L.O. 22:00
[태양, 토요일, 휴일]
저녁 식사 17:00-23:00 L.O. 22:30
[축하 전]
저녁 식사 17:00-24:00 L.O. 23:30
마감 시간은 하루에 따라 다를 수 있습니다","매주 일요일
새해 휴일 (확인하십시오)
긴 휴가의 경우 마지막 날은 문을 닫습니다.
개인 예약을 위해 예약하면 일요일에 문을 열 것입니다.","점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"B1F, 2-3-2 Higashi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 3 분 도보 (180m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 6 분 (450m)
JR Yamanote Line / Osaki Station에서 도보로 9 분 (670m)","없음
근처 (할인 없음) 사용 가능",50 석,"예
(4 석)","예
(완전 흡연 허용)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 25 명
제한된 수의 사람들이 임대 할 수있는 (좌석) : 35 명
최대 40 명이 임대 할 수 있습니다 (스탠드 스탠딩 식사)",,,https://www.facebook.com/lanternerouge66/,,"5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스가 있습니다.","4,000 엔에서 4,999 엔, 3 시간 이상 동안 온 탁월한 링크가 포함 된 과정이 있습니다.",우리는 고기 요리와 생선 요리에 대해 특히 알고 있습니다,"쇼 쿠, 와인, 칵테일",사용 가능한 예약,"데이트 여자 파티 전 만세 연회와 음주 파티 싱글 싱글 OK 성인 숨겨진 작별 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 마시는 와인을 마시는 주차장이 있습니다.
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",없음,예,,예 (무료),예,,프로젝터 포함,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001283419/archive/3198759-65643c29173.jpg,PayPay,,,,
鳥料理 それがし,그게 닭 요리입니다,https://retty.me/area/PRE13/ARE13/SUB1303/100000812199/,03-3495-1129,Kaiseki Cuisine Udon Sashimi Mizutaki Yakitori Izakaya 담배를 피 웠습니다,"[월요일부터 목요일과 토요일]
 17:00-1:00
[금]
 17:00-2:00
[낮]
 17:00-24:00","하루 종일 개점
・ 새해 휴가","점심:-
저녁 식사 : ~ 8,000 엔",Amex,,"2F Matsuoka Building, 2-15-11 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 3 분 도보 (220m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 6 분 (430m)
Tokyu Meguro Line / Fudomae Station에서 도보로 11 분 (820m)",,"28 석
(테이블 좌석 : 12 석, 8 개의 카운터 좌석, 반 개인 객실, 8 석)","예
(8 개의 카운터 좌석)","불가능합니다
(흡연 구역 이용 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,http://www.soregashi.jp/tori/,https://www.instagram.com/soregashi_japanesake/,https://www.facebook.com/chicken cuisine sonashi-122405634630436,,,,,,,"날짜, 소녀의 밤, 개인 실, 약혼, 독신, 엔터테인먼트, 크리스마스 저녁 식사, 술 마시기, 와인, 세련된, 저녁 식사, 저녁 식사, 저녁 식사, 비영리, 개인 실, 세련된, 개인 실, 개인 실,
다른 사용 장면을 참조하십시오",,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/das/-/retty/img_repo/2l/01/25010105.jpg,PayPay,,,,
サカナバル 五反田店,Sakanabaru Gotanda 매장,https://retty.me/area/PRE13/ARE13/SUB1303/100001501534/,03-6910-4606,바이자카야 해산물과 해산물,"[월요일부터 금요일까지]
점심 11:30-15:00
저녁 식사 16:00-22:00 L.O. 21:30
[토요일/휴일]
 12:00-21:00 L.O. 20:30","매주 일요일
새해 휴일 (확인하십시오)
시설과 동일합니다
개인 예약은 30 명의 정기 휴일에 허용됩니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"5 층, Gotanda, 1-2-8 Nishi-Gotanda, Shinagawa-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 1 분 도보 (39m)
오사키 히로 코지 역에서 도우 키 이케 가미 라인 / 도보 4 분 (320m)
JR Yamanote Line / Osaki Station에서 도보로 11 분 (850m)",없음,"65 석
((스탠딩 가중 좌석 이용 가능)))))))",예,"불가능합니다
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사 식사) : 60 명",,https://www.instagram.com/sakanabar.gtd,https://www.facebook.com/sakanabar.gtd,,,"3,000 엔에서 3,999 엔까지의 싱글 링크와 4,000 엔에서 4,999 엔까지의 코스가 포함 된 코스가 있습니다.","우리는 야채 요리, 생선 요리 및 식품 생산 공간에 특히 적합합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심 모든 당신이 흠뻑 젖은 연회와 음주 파티 싱글 싱글 싱글 파티 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티 술을 마시는 와인은 아이들과 함께 즐길 수 있습니다.
다른 사용 장면을 참조하십시오","풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
차분한 분위기","놀라운 응답 가능
축하 가능성",,예,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001501534/archive/2112065-5fbe20c45362.jpg,PayPay,,,,
Trattoria VICINO -ヴィチーノ-,트라 토리아 비노,https://retty.me/area/PRE13/ARE13/SUB1303/100001237322/,050-5462-8164,이탈리아 요리 피자 파스타 햄버거 카페,"[하루 종일]
점심 11:30-15:00 L.O. 14:30
[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
저녁 식사 17:30-22:00 L.O. 21:00
자세한 내용은 공식 웹 사이트를 확인하십시오.

저녁 식사 시간 음료는 오후 9시 30 분에 구입할 수 있습니다","매주 일요일
*저녁 식사는 일요일과 공휴일 월요일에만 문을 닫았습니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",예,,"2-6-8 Nishi-Gotanda, Shinagawa-Ku, 도쿄 호텔 Mystays Gotanda Station 2f
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 2 분 도보 (150m)
도쿄 이케 가미 라인 / 오사키 히로 코지 스테이션 7 분 도보 (490m)
Tokyu Meguro Line / Fudomae 역에서 도보로 12 분 (890m)",예,"58 석
(최대 80 명까지 (최대 80 명) 예약 할 때 (30-80 명) 회사 파티, 결혼 후 파티 또는 회사 연회 또는 연말 파티와 같은 대규모 연회는 저희에게 연락하십시오.)",예,"불가능합니다
(상점 안에는 흡연 부스가 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://trattoria-vicino.com/,,,,,,,,,"점심으로 점심으로 마시는 연회와 음주 파티 싱글 OK 와인 음료 저녁 식사 저녁 식사 저녁 식사 저녁 식사 비 흡연 세련된 점심 무료 Wi-Fi 세련된 캐주얼 캐주얼 성인의 연말 파티 성인 파티
다른 사용 장면을 참조하십시오",,테이크 아웃 가능성,,,,,예,03-3494-1807,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001237322/archive/3268402-65f017fa84904.jpg,,,,,온라인 예약
ぎたろう軍鶏 炭火焼鳥 たかはし,gitaro gunkiri 숯 구이 야키토리 타카 하시,https://retty.me/area/PRE13/ARE13/SUB1303/100000052680/,03-5436-9677,"Yakitori, Oyakodon, Rice Bowl, 꼬치, 숯 구운","[월요일부터 금요일과 토요일]
점심 11:30-13:30
저녁 식사 17:00-20:00 L.O. 19:30
저녁 식사 20 : 15-22 : 30 L.O. 22:00",매월 첫 번째 월요일 매월 셋째 월요일마다 일요일마다,"점심 : ~ 1,000 엔
저녁 식사 : ~ 10,000 엔",불가능합니다,,"2F, Libio Gotanda Pragma G Tower, 1-7-1 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda 역에서 도보로 1 분 (71m)
오사키 히로코지 역에서 도쿄 이케 가미 라인 / 도보 4 분 (280m)
JR Yamanote Line / Osaki Station에서 도보로 9 분 (720m)",,20 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,https://www.facebook.com/gitaro gunkiri 숯 구운 야키토리 -Takahashi Gotanda -2892894419798/,,,,,,,"점심, 데이트, 솔로, 엔터테인먼트, 크리스마스 저녁 식사, 음료 와인, 세련된, 저녁 식사, 쌀, 비 흡연, 점심 날짜, 세련된, 성인 데이트, 성인 연말대 파티
다른 사용 장면을 참조하십시오",,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30294702.jpg,,,,,
ワイン居酒屋 SUGIYA,와인 Izakaya Sugiya,https://retty.me/area/PRE13/ARE13/SUB1303/100000843184/,03-6721-7907,와인 바 비스트로 이탈리아 요리 훈제 서부 요리 해산물과 해산물 이자카야,"[월요일부터 금요일까지]
 12:00-14:00 L.O. 13:30
[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
 18:00-24:00","매주 일요일
임대 할 수 있습니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"고귀한 Ikedayama 1f, 5-24-7 Higashi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda 역에서 도보로 1 분 (58m)
도쿄 이케 가미 라인 / 오사키 히로 코지 스테이션 7 분 도보 (530m)
Toei Asakusa Line / Takanawadai 역에서 도보로 12 분 (900m)",,22 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://wine-sugiya.com/,,,,,,,,,"점심, 연회 및 음주 파티, 싱글은 괜찮은 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 와인, 저녁 식사, 쌀, 흡연, 쇼치, 급여 지불 제공, 캐주얼
다른 사용 장면을 참조하십시오",,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/9681533.jpg,PayPay,,,,
もつ鍋 喜八,Motsunabe Kihachi,https://retty.me/area/PRE13/ARE13/SUB1303/100000104805/,03-3442-3488,Motsunabe Pot Sashimi,"[월요일부터 금요일까지]
점심 11:30-14:30 L.O. 14:00
[Sun, 월요일부터 목요일, 토요일 및 휴일]
저녁 식사 17 : 30-25 : 00 L.O. 24:00
[금]
저녁 식사 17 : 30-26 : 00 L.O. 25:00","하루 종일 개점
저녁 음료 L.O. 마지막 30 분 전","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Sansho Building 2, 1f, 1-11-7 Higashi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 2 분 도보 (110m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 8 분 (570m)
Toei Asakusa Line / Takanawadai 역에서 도보로 10 분 (750m)","없음
근처 (할인 없음) 사용 가능",35 석,없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 30 명
제한된 수의 사람들이 임대 할 수있는 (좌석) : 35 명",,,,,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스가 있습니다.","4,000 엔에서 4,999 엔으로 인한 all-you-can-drink와 5,000 엔 이상을위한 all-can-drink 및 2 시간 동안의 싱글 링크가 포함 된 코스가 있습니다.",생선 요리 전문,"맥주, 사케, 쇼치",사용 가능한 예약,"점심 싱글 링크 연회/음료 파티 싱글을위한 개인 실
다른 사용 장면을 참조하십시오",차분한 분위기,축하 가능성,,"예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000104805/archive/445161-5b11151d4b7a2.jpg,,,언어 지원 메뉴가 있습니다,,
カモダイナー 炭次郎,카모 식당 탄 지로,https://retty.me/area/PRE13/ARE13/SUB1303/100001611022/,03-6417-9294,이자카야,"[월요일부터 금요일까지]
점심 11 : 30-14 : 00 L.O. 14:00
[월요일부터 금요일, 토요일, 휴일]
저녁 식사 17:30-23:30 L.O. 23:00","매주 일요일
새해 휴일 (확인하십시오)","점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드",,"1f Grace Gotanda Underground 2-18-3 Nishi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 2 분 도보 (150m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 6 분 (450m)
Tokyu Meguro Line / Fudomae 역에서 도보로 12 분 (900m)","없음
근처 (할인 없음) 사용 가능",40 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",예,,https://www.instagram.com/kamodiner/,,"PayPay, 라인 지불 가능","4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.","5,000 엔 이상의 링크, 2 시간 동안 온 All-You-Can-Drink, 2 시간 반 동안 온 All-You-Can Drink가 포함 된 코스가 있습니다.","우리는 고기 요리, 매장 내 생산 공간 및 매장 내 준비에 대해 특히","맥주, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 쌀, 고기, 와인, 급여 지불 이용 가능, 연말 파티, 새해 파티, 작별 파티, 환영 파티, 점심, 모든 란드 링크
다른 사용 장면을 참조하십시오","개방성이 있습니다
조용한 가게
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
소믈리에가 있습니다
테이크 아웃 가능성",없음,"예
유치원 어린이는 허용되고, 초등학생은 허용되며, 이유식을 가져올 수 있습니다.",불가능합니다,예 (무료),없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001611022/archive/289567-6359ef80e75d0.jpg,PayPay,,,,
au comptoir ECHEZEAUX,AU Comptoir Echezeaux,https://retty.me/area/PRE13/ARE13/SUB1303/100000854018/,03-5435-9979,바 비스트로 와인 바,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
저녁 식사 17:00-25:00 L.O. 24:30
자세한 내용은 공식 FB를 확인하십시오.
● 저녁 식사 메뉴 _22 : 30L.O.
● Bar Food_22 : 30 ~ 23 : 30L.O.
● Drink_17 : 00 ~ 24 : 30L.O.",매월 셋째 월요일 매주 일요일,"점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",,"B1F, 1-4-4 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 1 분 도보 (74m)
오사키 히로코지 역에서 도우 키 이케 가미 라인 / 도보 4 분 (290m)
JR Yamanote Line / Osaki Station에서 도보로 10 분 (760m)","없음
근처 (할인 없음) 사용 가능",45 석,예,"불가능합니다
(흡연은 상점 내부에서 금지됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,,,,,"우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료, 유기농 야채, 요리사가 해외에서 훈련을 받고, 요리사는 유명한 레스토랑에서 훈련 경험을 가지고 있으며, 요리사는 유명한 레스토랑에서 훈련 경험을 가지고 있으며, 매장 준비를합니다.","맥주, 와인, 위스키",사용 가능한 예약,"데이트 싱글 싱글 링크 연회 및 음주 파티 약혼 저녁 식사 싱글 엔터테인먼트 작별 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 마시는 세련된 유기농 음식
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
차분한 분위기
숨는 곳",소믈리에가 있습니다,,불가능합니다,불가능합니다,예 (무료),예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000854018/archive/87986-5cc0080bad18d.jpg,,,,,
ネギタン ホルモン寺山,네시탄 호르몬 테라 야마,https://retty.me/area/PRE13/ARE13/SUB1303/100001501669/,03-6456-2723,Yakiniku 호르몬 쇠고기 혀,"[불]
점심 11:30-14:30 L.O. 14:30
[tue-fri/전 휴일 전]
저녁 식사 17:00-24:00 L.O. 23:00
[Sun, 수요일, 금요일, 토요일, 공휴일 및 휴일 전]
점심 11:30-14:30 L.O. 14:00
[태양, 토요일, 휴일]
저녁 식사 17:00-24:00 L.O. 23:30",매주 월요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
식당
JCB",,"1-12-9 Higashi-Gotanda, Shinagawa-ku, 도쿄 Ilviale Gotanda 4 층
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 1 분 도보 (53m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보로 7 분 거리 (500m)
JR Yamanote Line / Osaki Station에서 도보로 11 분 (820m)",없음,26 석,없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
최대 26 명까지 임대 할 수 있습니다",,,,,,,그는 고기 요리에 대해 특별히 있으며 요리사는 유명한 식당에서 훈련을 받았으며 주인 요리사와 레스토랑은 식당을 준비합니다.,"맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"점심, 연회 및 음주 파티, 약혼 저녁 식사, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인을 마시기, 아이들과 함께 즐기기, 세련된, 개인 저녁 식사
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳",놀라운 응답 가능,없음,"예
유치원 어린이는 허용되고, 초등학생은 허용되며, 이유식을 가져올 수 있습니다.",불가능합니다,,없음,,사운드 장비 사용 가능,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001501669/archive/1133693-5d8765e77c57b.jpg,,,,,
