식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,IC 카드 지불,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,Wi-Fi 사용,전화 번호,외국어 지원,영상,인스 타 그램,페이스 북,당신이 마실 수있는 모든 것,전원 공급 장치 사용,X (트위터),맥주 제작자,추가 장비,온라인 예약
あぶり 清水 中目黒店,Aburi Shimizu Nakameguro 매장,https://retty.me/area/PRE13/ARE7/SUB703/100001436769/,03-6452-2996,Izakaya 일본 요리 Motsunabe,"[월요일부터 금요일까지]
저녁 식사 18 : 00-25 : 30 L.O. 24:30
[토양]
저녁 식사 17:00-25:30 L.O. 24:30
[일요일과 휴일]
저녁 식사 17:00-24:30 L.O. 23:30
팔리 자마자 끝납니다
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
우리는 12 월 30 일부터 1 월 5 일까지 문을 닫습니다.","불규칙한 휴일
새해 휴일 (확인하십시오)
12 월 30 일부터 1 월 3 일까지 폐쇄 된 상점","점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"3-5-20 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 4 분 (320m)
도쿄 도요코 라인 / 유텐지 스테이션 11 분 도보 (830m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 13 분 (970m)",없음,25 석,예,"불가능합니다
(입구에는 재떨이가 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,https://www.dishsmz.jp/,"우송료 380 엔, 오후 11시 이후 5% 늦은 야간 요금을 청구합니다.

온라인 예약 이외의 시간에 예약을하려면 전화로 저희에게 연락하십시오.","4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 제공됩니다.","우리는 야채 요리, 고기 요리, 매우 매운 메뉴 및 매장 내에서 준비된 것입니다.","맥주, 사케, 쇼치, 와인, 위스키, awamori",사용 가능한 예약,"싱글 링크 연회와 음주 파티 싱글 싱글 싱글 싱글 파티를 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 와인을 마시는 와인을 마시는 세련된 저녁 식사 테라스와 함께 세련된 저녁 식사
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳
골목을 향합니다
테라스가 있습니다",,없음,예,불가능합니다,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001436769/archive/3108240-64bb74c59d66b.jpeg,,,2 시간 동안 당신이 다루는 것,예 (무료),,,,
ASADOR DEL PRADO GRILL&CAFE,Asador del Prado Grill & Cafe,https://retty.me/area/PRE13/ARE7/SUB703/100001309775/,03-6452-2740,스페인 카페 햄버거,"[하루 종일]
 11:00-26:00 L.O. 25:00",,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",예,,,"3-5-29 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (160m)
도쿄 도요코 라인 / 다이키 야마 역 11 분 (810m)
Tokyu Toyoko Line / Yutenji 역에서 도보 13 분 (990m)",,72 석,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://asador.jp/del-prado/,,,,,,"점심 모든-당신이 먹는 날짜 모든 날짜 싱글 링크 연회 및 음주 파티는 솔로 작별 파티를위한 파티를 환영합니다.
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001309775/archive/1908288-5f7bbc1341bf4.jpg,,,,,https://x.com/asadordelprado,,,
アート喫茶 フライ,아트 카페 튀김,https://retty.me/area/PRE13/ARE7/SUB703/100001644591/,03-6303-3065,카페,,명확하지 않습니다,,,PayPay,,"Clair Higashiyama 201, 1-3-6 Higashiyama, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 8 분 (610m)
도쿄 도요코 라인 / Daikanyama 역에서 도보로 12 분 (950m)
Keio Inokashira Line / Shinsen 역에서 도보 14 분 (1.1km)",,,,,,,,,,,,,"PayPay 지불 수락, 솔로 작업, 세련된, 캐주얼, 성인 날짜, 빠른 새해 파티, 빠른 연말대 파티
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36579547.jpg,,,,,,,,
CURRY UP 中目黒店,카레 업 Nakameguro 매장,https://retty.me/area/PRE13/ARE7/SUB703/100001402561/,03-3710-1122,카레 카페,"[Sun, 월요일, 화요일, 목요일, 금요일, 토요일]
 11:30-20:00 L.O. 19:30",매주 수요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"3-22-1 Nakameguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보로 7 분 (550m)
Tokyu Toyoko Line / Yutenji 역에서 도보로 11 분 (820m)
도쿄 도요코 라인 / 다이키 야마 스테이션 15 분 도보 (1.1km)",,13 석,"예
(카운터 좌석 만)","불가능합니다
(상점 입구에 흡연 공간이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://humanmade.jp/collections/curry-up,,,,,,"점심, 연회 및 음주 파티, 싱글 OK, FOREWELL PARTY, 환영 파티, 연말 파티, 새해 파티, 스타일리쉬, 저녁 식사, 쌀, 비 연습, 세련된 점심, 급여 지불 지불, 캐주얼, 빠르고 쉬운 연도 파티, 빠르고 쉬운 새해 파티
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/28163171.jpg,https://www.instagram.com/curryuphurryup/,,,,,,,
KURA 中目黒店,Kura Nakameguro 매장,https://retty.me/area/PRE13/ARE7/SUB703/100000005987/,03-3711-9395,이탈리아 카페 파스타 식당 바,"[하루 종일]
 11:30-22:30 L.O. 22:00
자세한 내용은 공식 웹 사이트를 확인하십시오.","3 월 18 일, 3 월 20 일, 3 월 21 일, 3 월 22 일, 3 월 23 일, 3 월 24 일, 3 월 24 일, 3 월 26 일, 3 월 28 일, 3 월 28 일, 3 월 29 일, 3 월 30 일, 3 월 31 일, 4 월 2 일, 4 월 2 일, 4 월 2 일
새해 휴일 (확인하십시오)
자세한 내용은 공식 웹 사이트를 확인하십시오.","점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"1-19-5 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (120m)
도쿄 도요코 라인 / 도이키 야마 역에서 도보로 8 분 (590m)
JR Yamanote Line / Ebisu Station 13 분 도보 (1.0km)","없음
근처 (할인 없음) 사용 가능",29 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,https://www.kura-jp.com/,,"2,999 엔 미만, 3,000 엔 ~ 3,999 엔","우리는 고기 요리, 생선 요리, 매장 내에서 준비된 것입니다.","맥주, 쇼치, 와인, 위스키, 칵테일",저녁 식사 시간에만 사용할 수 있습니다,"점심, 여자 밤, 연회 및 음주 파티, 싱글 OK, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 와인, 주차, 아이들과 함께 즐거운, 세련된 저녁 식사, 쌀, 비 흡연, 점심, 여자의 밤, 세일 리시 점심
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","테이크 아웃 가능성
배송 가능",없음,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/10000005987/archive/2010357-5be12eec529e8.jpg,,,"ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2 시간의 모든 곡선",예 (무료),,,TV 및 모니터 사용 가능,
鍋焼ぼうず,뜨거운 냄비 구운,https://retty.me/area/PRE13/ARE7/SUB703/100001403555/,03-6451-2320,Izakaya motsunabe motsunabe motsunabe,"[하루 종일]
 16:00-24:00 L.O. 23:30",하루 종일 개점,"점심:-
저녁 식사 : ~ 3,000 엔",Amex,PayPay,,"Kadoya Building B1F, 2-14-1 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (110m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 10 분 (760m)
도쿄 도요코 라인 / 유텐지 스테이션 13 분 도보 (1.0km)",,30 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"연회 및 음주 파티 작별 파티를 환영 파티 연말 파티 새해 파티 저녁 식사 식당 및 저렴한 레스토랑이없는 레스토랑 쇼치 이용 가능한 급여 담당 지불 이용 가능한 캐주얼 요리 및 연말 파티 요리 및 새해 파티
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30451752.jpg,,,,,,,,
喜口屋,키게치야,https://retty.me/area/PRE13/ARE7/SUB703/100001201495/,03-6319-6480,이자카야 해산물과 해산물,"[하루 종일]
점심 11 : 30-15 : 00 L.O. 14:00
저녁 식사 18 : 00-24 : 00 L.O. 23:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"2-7-11 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (130m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 9 분 (710m)
JR Yamanote Line / Ebisu Station 13 분 도보 (1.0km)","없음
근처 (할인 없음) 사용 가능",26 석,예,"예
(카운터에서 흡연 없음)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.",우리는 생선 요리에 대해 특히 그렇습니다,"맥주, 사케, 쇼치",저녁 식사 시간에만 사용할 수 있습니다,"점심 모든 당신이 흠뻑 젖은 연회와 음주 파티 싱글 싱글 싱글은 괜찮습니다. 작별 파티 환영 파티 환영 파티 크리스마스 저녁 파티 새해 파티 마시는 주차 이용 가능한 세련된 개인 방 저녁 식사 쌀 흡연 허용
다른 사용 장면을 참조하십시오","숨는 곳
골목을 향합니다
정원이 있습니다",,없음,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001201495/archive/476893-5b44bd45b5f55.jpg,,,"3,000 엔에서 3,999 엔으로 인한 싱글 링크와 4,000 엔에서 4,999 엔, 2 시간 동안 전세계 점점, 3 시간 이상 싱글 링크를 포함하는 코스가 포함 된 코스가 있습니다.",,,,,
へぎそば 匠中目黒本店,Hegisoba Takumi Nakameguro 메인 스토어,https://retty.me/area/PRE13/ARE7/SUB703/100000001661/,03-3760-0466,소바 (소바) 이자카야 해산물과 해산물 요리,"[Tue-Fri, Sat, Holidays, 축하 전]
저녁 식사 17 : 30-28 : 00 L.O. 27:00
[낮]
저녁 식사 17 : 30-23 : 00 L.O. 22:00
자세한 내용은 공식 웹 사이트를 확인하십시오.",매주 월요일,"점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔",Amex,PayPay,,"Verde Nakameguro 1f, 3-5-5 Nakameguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 8 분 (570m)
도쿄 도요코 라인 / 다이키 야마 역 11 분 (850m)
JR Yamanote Line / Ebisu 역에서 도보로 12 분 (890m)",,42 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,https://www.takumi-hegisoba.net/,,,,,,"싱글 링크 파티 싱글 파티를위한 개인 방은 파티를 환영합니다. 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 새해 파티를 마시는 첫 번째 기차 저녁 식사 저녁 식사가 아닌 저녁 식사 비 스모킹 개인 실이 밤 늦게 열릴 때까지.
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000001661/archive/2060907-5fa5013e8cfbb.png,,,,,,,,
中目黒 タップルーム,Nakameguro Taproom,https://retty.me/area/PRE13/ARE7/SUB703/100000003560/,03-5768-3025,이자카야 서부 푸드 바 맥주 바,"[월요일부터 금요일까지]
저녁 식사 17:00-24:00 L.O. 22:30
[태양, 토요일, 휴일]
저녁 식사 12:00-24:00 L.O. 22:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"Nakameguro GT Plaza, 건물 C, 2F, 2-1-3 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보로 1 분 (72m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 9 분 (710m)
JR Yamanote Line / Ebisu Station 14 분 도보 (1.1km)",없음,60 석,예,"불가능합니다
(모든 좌석은 금연합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,이용 가능한 맥주,,"점심, 연회 및 음주 파티, 싱글, 싱글, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 와인, 세련된, 영어를 사용하는, 저녁 식사, 저녁, 맛있는 레스토랑, 싼 레스토랑, 비 조화, 세련된 점심, 무료 와이파이.
다른 사용 장면을 참조하십시오",,,,,,예,,"영어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000003560/archive/193495-5900788903703.jpg,,https://www.facebook.com/nakameguro.taprom,,,,,,
大衆ビストロ ジル 中目黒店,거대한 비스트로 질 나카 메 구로 지점,https://retty.me/area/PRE13/ARE7/SUB703/100001228520/,03-6452-3915,이자카야 고기 바 바이스트로,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-21:00 L.O. 20:00
[태양, 토요일, 휴일]
저녁 식사 15:00-21:00 L.O. 20:00","하루 종일 개점
새해 휴일 (확인하십시오)","점심 : 비즈니스 시간
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"1-3-19 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 3 분 (200m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 5 분 (400m)
JR Yamanote Line / Ebisu Station 10 분 도보 (790m)",예,"39 석
(1 층에는 16 석, 2 층에는 23 석, 바닥은 2 층에 예약 될 수 있습니다. 최대 27 명까지!)",예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
최대 26 명까지 임대 할 수 있습니다",https://www.bistro-jill.com/,하루에 취소하면 코스를 예약하면 전액이 청구됩니다.,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스","우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료, 요리사는 유명한 레스토랑에서 훈련을 받았으며 유명한 요리사가 요리하고 매장 내에서 준비된 것입니다.","맥주, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"소녀 파티, 모든 링크, 연회 및 음주 파티, 솔로 작별 파티, 환영 파티, 연말 파티, 새해 파티, 와인, 세련된, 개인 공간, 쌀, 흡연, 무료 Wifi, 음료 지불, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오","활발한 상점
단독 주택 레스토랑
골목을 향합니다","놀라운 응답 가능
축하 가능성
소믈리에가 있습니다",없음,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001228520/archive/125332-5dc3c81202572.jpg,,https://www.facebook.com/jillnakame/,"3,000 엔에서 3,999 엔으로 인한 싱글 링크와 4,000 엔에서 4,999 엔을 포함한 코스와 5,000 엔 이상을위한 모든 싱크 링크를 포함하는 코스가 포함 된 코스가 포함되어 있습니다.",불가능합니다,,,,
キッチンパンチ,주방 펀치,https://retty.me/area/PRE13/ARE7/SUB703/100000038168/,03-3712-1084,"서양 음식, 식사 세트, 햄버거","[tue-fri]
점심 11:30-15:00 L.O. 14:30
저녁 식사 18 : 00-21 : 30 L.O. 20:50
[토양]
 11:30-15:00 L.O. 14:30",매주 월요일마다 일요일 휴가,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,,,"2-7-10 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (130m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 9 분 (720m)
JR Yamanote Line / Ebisu Station 13 분 도보 (1.0km)",,21 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 세련된, 저녁 식사, 비 흡연, 세련된, 점심, 바삭 바삭한, 연말 파티, 바삭 바삭한, 새해 파티
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33417369.jpg,,,,,,,,
雑草,잡초,https://retty.me/area/PRE13/ARE7/SUB703/100000075295/,03-3716-0469,야키니쿠 이자카야 식당,"[Sun, 월요일, 화요일, 목요일, 금요일, 토요일, 휴일 전 및 휴일 전]
 19:00-8:00",매주 수요일,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,,"이와카와 빌딩 3F, 1-20-3 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 1 분 (63m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 7 분 거리 (560m)
JR Yamanote Line / Ebisu 역에서 도보로 13 분 (980m)",,30 석,예,,없음,,http://zasso.tokyo/,,,,,,"혼자 크리스마스 저녁 식사가 열릴 수 있습니다. 첫 번째 기차 저녁 식사 논
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/2617509.jpg,,,,,,,,
Caldo NAKAMEGURO,Caldo Nakameguro,https://retty.me/area/PRE13/ARE7/SUB703/100001312835/,03-6635-6888,와인 바 바 스페인어,"[태양, 월요일부터 목요일까지]
 17:00-1:00 L.O. 24:00
[금과 앉았다]
 17:00-2:00 L.O. 1:00",불규칙한 휴일,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"3-5-29 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 3 분 (200m)
도쿄 도요코 라인 / 다이키 야마 역 11 분 (840m)
Tokyu Toyoko Line / Yutenji 역에서 도보로 12 분 (950m)",,,예,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://bar-caldo.jp/,,,,,,"날짜, 연회 및 음주 파티, 싱글 OK, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인 마시기, 세련된, 저녁 식사, 쌀, 흡연 허용, 늦은 밤, 급여 지불, 세련된, 캐주얼
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/das/-/retty/img_repo/2l/01/29900281.jpg,,,,,,,,
兜 中目黒,카 부토 나카 메 구로,https://retty.me/area/PRE13/ARE7/SUB703/100001356881/,050-5461-4430,야키니쿠,"[하루 종일]
 11:00-5:00 L.O. 4:00",하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 8,000 엔",예,PayPay,,"2f Raffine Nakameguro, 3-3-13 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보로 1 분 (76m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 9 분 (660m)
JR Yamanote Line / Ebisu Station 14 분 도보 (1.1km)",없음,88 석,없음,"연기 분리
(수동 흡연 조치 (Advanced Health Promotion Act)에 관한 법률은 2020 년 4 월 1 일부터 발효되었습니다. 최신 정보는 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",불가능합니다,"[공식적인]
https://kabuto-nakameguro.foodre.jp/
https://kabtonakameguro.owst.jp/",,,,,,"날짜, 개인 실, 기념일, 점심, 성인 은신처, 저녁 식사, 고기, 연말 파티, 새해 파티, 크리스마스 저녁 식사, 쿠폰 이용 가능, 지불금 지불 가능, 온라인 예약, 작별 파티, 환영 파티, 점심 음주
다른 사용 장면을 참조하십시오",,,,,,,03-6303-0629,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001356881/archive/1970335-5f86c34f949b7.png,,,,,,,,
