식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,개인 실,사적인,상점 웹 사이트,발언,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,외국어 지원,영상,IC 카드 지불,흡연,인스 타 그램,페이스 북,당신이 마실 수있는 모든 것,드레스 코드,X (트위터),추가 장비,온라인 예약,쇼핑 직무 정보,맥주 제작자,인근 시설
炉端とおでん きょうすけ,Robata와 Oden Kyosuke,https://retty.me/area/PRE13/ARE1/SUB104/100001481492/,050-5303-6933,이자카야 해산물 및 해산물 요리 카포/작은 식당 마름 고기 요리,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-23:30 L.O. 23:00
[태양/토요일]
 15:00-23:30 L.O. 23:00
[축하해요]
저녁 식사 15 : 00-23 : 30 L.O. 23:00","매주 화요일 매주 월요일
가게가 닫히면 상점에 확인하십시오.","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드",,"야마구치 빌딩 B1F, 3-6-9 신주쿠, 신주쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 1 분 (71m)
JR Yamanote Line / Shinjuku 역에서 도보로 6 분 (430m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 6 분 (440m)",없음,"50 석
(카운터 좌석, 테이블 시트, 반 개인 좌석 (타타미 좌석)))","예
(그들은 로바타를 굽고 그들 앞에서 오덴을 섬깁니다.","예
7 명 이상",불가능합니다,"[공식적인]
https://robatato-oden-kyosuke.foodre.jp/
https://robata-kyousuke.com/",,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 제공됩니다.","우리는 야채 요리, 생선 요리, 매장 내에서 준비된 것입니다.","맥주, 사케, 쇼치, 와인, 위스키",저녁 식사 시간에만 사용할 수 있습니다,"라이스, 개인 실, 솔로, 음료수, 음료 쇼 차, 개인 실, 생일, 와인, 파티, 연말 파티, 새해 파티, 캐주얼, 세련된, 성인 새해 파티, 신속한 새해 파티, 성인 연말 파티
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳",축하 가능성,"예
초등학생들은 환영합니다",불가능합니다,예 (무료),예,03-6457-7575,영어,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001481492/archive/93789-5ce4a9513d7b0.png,,"불가능합니다
(모든 좌석은 금연합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"ALL-YOU-CAN-DRINK 가격 : 3,000 엔 -4,999 엔, 전 ALL-YOU-CAN-DRINK 가격 : 5,000 엔 이상, 2 시간 동안 온전한 링크",,,,,,,
素麺屋 糸 歌舞伎町本店,SOMENYA ITO KAKUKICHO MAIN STORE,https://retty.me/area/PRE13/ARE1/SUB101/100001514791/,03-6457-6789,이자카야 템포라 사시미 일본 음식,"[하루 종일]
 17:00-7:00 L.O. 6:00
마감 시간은 하루에 따라 다를 수 있습니다",불규칙한 휴일,"점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2F, 2-26-10 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 5 분 (360m)
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 5 분 (370m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 5 분 (390m)",없음,94 석,예,"예
두 사람을 위해
4 명
6 명
7 명 이상",예,,,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 제공됩니다.",,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"싱글 링크 연회/음주 파티 싱글을위한 개인 실
다른 사용 장면을 참조하십시오",,,예,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001514791/archive/1734725-5efd16cacdcf5.jpeg,,"연기 분리
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",https://www.instagram.com/ito_kabukicho/,,2 시간 동안 당신이 다루는 것,,,,,,,
北海道小麦の生パスタ 麦と卵 新宿西口店,"hokkaido 밀 파스타, 보리 및 계란, 신주쿠 웨스트 출구 지점",https://retty.me/area/PRE13/ARE1/SUB112/100001600000/,03-5989-0047,이탈리아 파스타,"[Sun, 화요일, 금요일, 토요일, 공휴일 및 휴일 전]
 11:00-20:00 L.O. 19:30
자세한 내용은 공식 웹 사이트를 확인하십시오.
-2023 년 1 월 16 일 월요일-
[폐쇄] 월요일",새해 휴일 (확인하십시오),"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드",PayPay,"실버 빌딩, 1-19-2 Nishi-Shinjuku, Shinjuku-Ku, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku 역에서 도보로 1 분 (49m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 2 분 (150m)",없음,"28 석
(카운터 시트와 테이블 시트를 이용할 수 있습니다.)","예
(카운터 시트에는 아울렛이 장착되어 있습니다)",없음,,https://www.eastone.co.jp/mugi-tamago/,PayPay up aupay,,우리는 야채 요리에 대해 특히 그렇습니다,맥주와 와인이 있습니다,,"점심, 연회 및 음주 파티, 싱글은 괜찮아, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 와인을 마시고, 어린이와 함께 즐기기, 세련된, 영어를 구사 할 수있는, 저녁 식사, 쌀, 금연, 세련된 점심, 무료 Wi-Fi
다른 사용 장면을 참조하십시오",차분한 분위기,,"예
유아, 미취학 아동, 초등학생 어린이를 환영합니다",불가능합니다,예 (무료),예,,"영어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001600000/archive/2668078-624c0e6598cf6.jpg,"Suica, Au 지갑","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,https://www.facebook.com/mugitama.nishiguchi,,,https://x.com/mugi_tamago_,,,,,
天ぷら新宿つな八 新宿高島屋店,템푸라 신주쿠 쓰나치 신주쿠 타카시 마야 지점,https://retty.me/area/PRE13/ARE1/SUB113/100000002630/,050-5462-7619,일본 요리 이자카야 해산물과 해산물 튀김,"[태양, 월요일부터 목요일까지]
 11:00-22:00 L.O. 21:00
[금과 앉았다]
 11:00-23:00 L.O. 22:00
*점심 메뉴는 오후 4시 (L.O. 4pm)까지 열립니다.","불규칙한 휴일
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
Takashimaya Times Square와 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
JCB",,"13 층, 신주쿠 타카시 마야, 5-24-2 Sendagaya, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku Station에서 도보 4 분 (320m)
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보 6 분 (470m)
JR Yamanote Line / Yoyogi Station 7 분 도보 (510m)","예
특별 P 사용 가능","52 석
(44 테이블, 8 카운터)",예,없음,불가능합니다,"[공식적인]
https://tunahachi-shinjukutakashimaya.foodre.jp/
https://www.tunahachi.co.jp/",,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 8,000 ~ 8,000 코스가 있습니다.",야채 요리 전문,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",,"와인 점심, 쌀, 솔로, 엔터테인먼트, 저녁 식사, 크리스마스 저녁 식사, 비영리, 성인 데이트, 성인 연말 파티, 성인 새해 파티, 캐주얼, 연회 및 음주 파티, 환영 파티, Shochu는 즐길 수 있습니다.
다른 사용 장면을 참조하십시오","차분한 분위기
상업용 시설에 위치합니다",,,,,예,03-5361-1860,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000002630/archive/3514210-67a325e469dc5.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
博多おでんと自然薯 よかよか堂,Hakata Oden과 Wild Yam Yokayokado,https://retty.me/area/PRE13/ARE1/SUB104/100001580385/,03-6457-7009,이자카야 오덴,"[월요일부터 금요일까지]
점심 11:30-14:30 L.O. 14:00
저녁 식사 17:00-23:00 L.O. 22:00
[태양, 토요일, 휴일]
 11:30-23:00 L.O. 22:00
우리는 주말, 일요일 및 휴일 내내 문을 열었습니다.",새해 휴일 (확인하십시오),"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Shinjuku Sun Park Hanazono 1f, 1-18-16 Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 기 얀마 스테이션에서 도보로 3 분 거리 (170m)
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 7 분 거리 (560m)
도쿄 메트로 마루치 노선 / Yotsuya 3-Chome Station에서 도보 11 분 (880m)",없음,45 석,예,없음,,,,,"우리는 야채 요리, 고기 요리, 식품 생산 공간 및 매장 내 준비에 특별합니다.","맥주, 쇼치, 와인, 위스키",사용 가능한 예약,PayPay 지불 이용 가능한 연말 파티 새해 파티 세련된,,"놀라운 응답 가능
축하 가능성",예,불가능합니다,예 (무료),예,,"영어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001580385/archive/2728118-6294d58e9c91f.png,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
Bangkok Spice 新宿店,방콕 스파이스 신주쿠,https://retty.me/area/PRE13/ARE1/SUB112/100000784231/,03-5325-1212,태국 음식 카레,"[하루 종일]
점심 11:00-15:00 L.O. 14:40
저녁 식사 17:00-24:00 L.O. 23:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",Amex,PayPay,"1F, Oguro Building, 1-14-4 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku 역에서 도보로 1 분 (77m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 2 분 (150m)
Toei Oedo Line / Tochomae 역에서 도보로 5 분 (340m)",,41 석,"예
(10 석)",없음,,,,,,,,"점심, 데이트, 소녀의 밤, 연회 및 음주 파티, 싱글, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 세련된, 저녁 식사, 저녁 식사, 비 흡연, 점심 날짜, 점심 소녀 밤
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000784231/archive/188877-5f742e521878.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,https://www.facebook.com/bangkok spice-shinjuku store-361998230806088/,,,,,,,,
鉄板焼 雅,테파 냐키 시대,https://retty.me/area/PRE13/ARE1/SUB101/100001334889/,050-5304-2844,테파 냐키 스테이크 야키 니쿠 해산물과 해산물,"[하루 종일]
저녁 식사 17:00-24:00 L.O. 23:00",불규칙한 휴일,"점심 : 비즈니스 시간
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Shinko Building 2F, 1-2-13 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 3 분 거리 (230m)
JR Yamanote Line / Shinjuku 역에서 도보로 5 분 (370m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 5 분 (370m)","없음
근처 (할인 없음) 사용 가능",17 석,예,없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (좌석) 12 명","[공식적인]
https://teppanyaki-miyabi.foodre.jp/",,"6,000 엔에서 6,999 엔 코스, 7,000 엔에서 7,999 엔 코스, 8,000 엔 이상이 있습니다.",그는 고기 요리와 주인과 요리사에 대해 특히,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"저녁 식사, 데이트, 결혼 기념일, 크리스마스 저녁 식사, 연말 파티, 고기, 와인 음주 엔터테인먼트, 환영 파티, 생일, 흡연, 소스는 어린이, 연회 및 음주 파티, 개인 쿠폰과 함께 즐길 수 있습니다.
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
휴대품 룸이 있습니다
테이크 아웃 가능성",,,,예,03-6228-0544,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001334889/archive/2430395-60f13a2423176.jpg,,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
アナログ 新宿,아날로그 신주쿠,https://retty.me/area/PRE13/ARE1/SUB104/100000788322/,050-5461-4485,카페 비스트로,"[하루 종일]
 12:00-21:00 L.O. 20:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"요시다 빌딩 4F, 3-12-12 신주쿠, 신주쿠 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 2 분 (84m)
JR Yamanote Line / Shinjuku 역에서 도보로 6 분 (440m)",예,48 석,예,없음,,"[공식적인]
https://anarog-shinjuku.foodre.jp/",,,,,,"소녀의 밤, 세련된 날짜, 생일, 기념일, 기념일, 점심, 크리스마스 저녁 식사, 크리스마스 저녁 식사, 모든 멍청한 링크, 올해-먹고, 새해 파티, 테라스, 점심 날짜, 점심 소녀의 밤, all-you-can-eat, all-you-can-drink
다른 사용 장면을 참조하십시오",,,불가능합니다,예,,예,050-5051-0587,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000788322/archive/3475801-6756c1111cba5.png,,"예
완전히 흡연이 허용됩니다
(좌석이 완전히 담배를 피우면 20 세 미만의 고객은 상점에 들어갈 수 없습니다.
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
居酒屋しいちゃんの家,Izakaya Shiichan의 집,https://retty.me/area/PRE13/ARE1/SUB106/100001705886/,050-5462-3842,이자카야,"[태양, 월요일부터 금요일, 토요일]
 0:00-24:00
폐쇄 : 없음",,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"오카다 빌딩, 7-5-12 Nishi-Shinjuku, Shinjuku-Ku, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 4 분 (250m)
JR Chuo / Sobu Line / Okubo (도쿄) 역에서 도보로 4 분 거리 (310m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 5 분 (360m)",없음,"30 석
(6 개의 카운터 좌석, 24 개의 테이블 좌석)",예,없음,예,"[공식적인]
https://izakayashichan.foodre.jp/","전자 돈을 사용할 수 없습니다
QR 코드 결제 사용 가능 (PayPay)",,,,사용 가능한 예약,"점심 식사 점심 점심 식사 점심 식사 지불금 지불 이용 가능 PayPay Point 온라인 예약 이용 가능 연말 파티 파티 저녁 식사 캐주얼 작별 파티 환영 파티
다른 사용 장면을 참조하십시오",,,,,,예,03-6908-7729,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001705886/archive/312528-64dc71a2a6da4.jpg,,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
大衆酒場また会いにゆきます。西新宿店,인기있는 바에서 다시 뵙겠습니다. Nishi Shinjuku 매장,https://retty.me/area/PRE13/ARE1/SUB112/100001763584/,050-5462-7277,이자카야 일본 음식,"[월요일부터 금요일까지]
 11:30-23:00 L.O. 22:30
[태양, 토요일, 휴일]
 11:00-23:00 L.O. 22:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Sanwako 건물 1 층, 7-17-6 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 니시-신주쿠 역에서 도보 5 분 (370m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 5 분 (380m)
Jr Chuo / Sobu Line / Okubo (도쿄) 역에서 도보 5 분 (380m)",없음,54 석,예,없음,예,,,,"우리는 야채 요리, 고기 요리 및 생선 요리에 특히 적합합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"저녁 식사, 여자 야간 음주, 생일 지불 이용 가능한 페이 페이 포인트 이용 가능 온라인 예약 이용할 수있는 작별 파티 환영 파티 캐주얼
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳",,,불가능합니다,,없음,03-5937-3511,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001763584/archive/3502248-679067ddb1a51.jpg,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay, Au Wallet","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,없음,,,,,,
海のちから,바다의 힘,https://retty.me/area/PRE13/ARE1/SUB101/100001696564/,050-5462-7774,이자카야 해산물과 해산물,"[하루 종일]
 1:00-30:00
24 시간을 엽니 다",,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",불가능합니다,,"1-18-7 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 2 분 (160m)
JR Yamanote Line / Shinjuku Station에서 도보 4 분 (260m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 4 분 (260m)",예,50 석,없음,없음,,"[공식적인]
https://umino-chikara.foodre.jp/",,,,"맥주, 사케, 쇼치, 위스키, 칵테일",,"점심, 점심, 쌀, 캐주얼, 환영 파티, 마시는 쇼치, 술 마시기, 급여 지불 포인트 받기, 온라인 예약 가능
다른 사용 장면을 참조하십시오",,,,,,예,03-4323-8694,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001696564/archive/353738-67c6967966c31.jpg,,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,2 시간 동안 당신이 다루는 것,,,,,,,
個室 しゃぶしゃぶ専門店 にくまる 新宿東口店,개인 룸 샤브 샤브 스페셜티 스토어 Nikumaru Shinjuku East Exit Branch,https://retty.me/area/PRE13/ARE1/SUB101/100001686756/,050-5462-2071,Izakaya Yakitori Shabu Shabu,"[하루 종일]
 12:00-25:00 L.O. 24:00",,"점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"2F, 1-15-12 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (200m)
JR Yamanote Line / Shinjuku Station에서 도보로 3 분 (200m)
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 3 분 거리 (200m)",예,80 석,없음,예,예,"[공식적인]
https://nikumaru.foodre.jp/",,,,,사용 가능한 예약,"개인 객실, 모든 주간 마시기, 흡연 허용, 흡연, 모든 음식, 작별 파티, 식사, 연말 파티, 새해 파티, 싱글, 온라인 파티, 온라인 예약, 대중 식당, 예약, 캐주얼 파티
다른 사용 장면을 참조하십시오",,,,,,예,03-6636-4391,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001686756/archive/345375-6736f7550cdc7.png,,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
