식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,상점 웹 사이트,요리 기능과 전문 분야,사용 장면,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,외국어 지원,영상,사적인,인스 타 그램,당신이 마실 수있는 모든 것,예약,서비스,강의,대기,마시는 기능과 세부 사항에 대한 관심,드레스 코드,발언,페이스 북,X (트위터),추가 장비,IC 카드 지불,맥주 제작자,인근 시설,key_1_営業時間,key_1_予算,key_1_クレジットカード,key_1_QRコード決済,key_1_ICカード決済,key_1_住所,key_1_アクセス,key_1_駐車場,key_1_座席,key_1_カウンター席,key_1_喫煙,key_1_個室,key_1_貸切,key_1_Instagram,key_1_Facebook,key_1_X(Twitter),key_1_備考,key_1_コース,key_1_飲み放題,key_1_料理の特徴・こだわり,key_1_ドリンクの特徴、こだわり,key_1_予約,key_1_利用シーン,key_1_雰囲気,key_1_サービス,key_1_ドレスコード,key_1_お子様連れ入店,key_1_ペット,key_1_電源利用,key_1_Wi-Fi利用,key_1_image,key_2_TEL,key_2_ジャンル,key_2_営業時間,key_2_定休日,key_2_予算,key_2_クレジットカード,key_2_住所,key_2_アクセス,key_2_カウンター席,key_2_個室,key_2_利用シーン
神戸牛・手打ち冷麺 GEN,"고베 쇠고기, 수제 차가운 국수 유전자",https://retty.me/area/PRE13/ARE9/SUB901/100001679514/,03-6803-2941,야키 니쿠 쇠고기 혀 호르몬,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 16:00-23:00 L.O. 22:00
[태양, 토요일, 휴일]
점심 12:00-15:00 L.O. 14:30
저녁 식사 16 : 30-23 : 00 L.O. 22:00
오후 4 시부 터 오후 2024 년 7 월 26 일 금요일에!","하루 종일 개점
오후 4 시부 터 오후 2024 년 7 월 26 일 금요일에!","점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"4F 이동안 건물, 4-7-3 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보 2 분 (140m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 2 분 (140m)
JR Yamanote Line / Okachimachi Station 2 분 도보 (160m)",없음,70 석,예,"연기 분리
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://gen-ueno.com/,"우리는 고기 요리, 매장 내 생산 공간 및 매장 내 준비에 대해 특히","점심으로 점심으로 마시는 연회 및 음주 파티 약혼 저녁 식사 독신 사람들을위한 좋아 엔터테인먼트 작별 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 어린이와 함께 와인을 마신다 영어 사용 가능한 개인 공간
다른 사용 장면을 참조하십시오",예,불가능합니다,불가능합니다,예,,"영어 중국어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001679514/archive/2861753-633802585a964.jpg,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 30 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명",https://www.instagram.com/yaki29gen/,"전산 된 가격 : 2,000-2,999 엔, 2 시간의 싱글 링크",사용 가능한 예약,,"5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.",,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",없음,,,,,Quicpay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
バブバル,바부 발,https://retty.me/area/PRE13/ARE9/SUB901/100001496599/,03-5834-7578,베트너,"[월요일, 수요일부터 금요일까지]
 11:30-14:30
[Sun, 월요일, 수요일, 금요일, 토요일, 휴일]
 17:30-23:00
[태양, 토요일, 휴일]
 12:00-14:30
팔리 자마자 끝납니다","불규칙한 휴일
자세한 내용은 공식 웹 사이트를 확인하십시오.","점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",불가능합니다,PayPay,"1f Nezu 1-1-19 Nezu, Bunkyo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 치 요다 라인 / 네즈 스테이션에서 도보 1 분 (64m)
도쿄 메트로 남보쿠 라인 / 토다이마 역에서 도보 10 분 (780m)
도쿄 메트로 치 요다 라인 / 센 다기 역에서 도보로 12 분 (930m)","예
근처 (할인 없음) 사용 가능","15 석
(7 개의 카운터 시트, 4 테이블 x 2)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://babuscango.wixsite.com/mysite-1,"주인 요리사, 매장 내 준비","점심, 연회 및 음주 파티, 싱글은 괜찮은 작별 파티, 환영 파티, 연말 파티, 새해 파티, 마시기, 와인, 주차 가능, 개인 공간, 저녁 식사, 쌀, 금연, 쇼치, 지불금 지불 가능
다른 사용 장면을 참조하십시오",,,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001496599/archive/108121-5d632a3791a99.jpg,예,https://www.instagram.com/babu.bal_nezu/,,사용 가능한 예약,,"3,000 엔에서 3,999 엔으로 제공됩니다",,"맥주, 사케, 쇼치, 와인",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
カレーの店 サカエヤ,카레 상점 사카 야,https://retty.me/area/PRE13/ARE9/SUB901/100000391014/,03-3831-6428,카레,"[월요일부터 금요일과 토요일]
점심 10 : 30-15 : 00
[월요일부터 금요일까지]
저녁 식사 16:00-20:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"1-6-3 Higashiueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tsukuba Express / Shin-Okachimachi Station에서 도보로 2 분 거리 (120m)
도쿄 메트로 Hibiya 라인 / 나카 오카 카시마치 역 6 분 (410m)
도쿄 메트로 진 자 라인 / 우에노 히로코지 스테이션 6 분 (450m)",,10 석,"예
(카운터 만)","불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,"점심, 솔로, 세련된, 저녁 식사, 쌀, 비 흡연, 세련된, 점심",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/27545548.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
どるちぇ,도루,https://retty.me/area/PRE13/ARE9/SUB901/100000096538/,03-3834-3380,이자카야 사시미 튀김,"[월요일부터 금요일, 토요일, 휴일 전]
 17:00-23:30 L.O. 23:00",매월 매월 두 번째 토요일 매주 일요일 휴가,"점심 : ~ 5,000 엔
저녁 식사 : ~ 5,000 엔","마스터 카드
Amex",PayPay,"3-37-8 Yushima, Bunkyo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 치 요다 라인 / 유시마 역에서 도보 2 분 (95m)
도쿄 메트로 긴자 라인 / Ueno Hirokoji Station에서 도보로 3 분 거리 (230m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보로 3 분 거리 (230m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,"이용 가능한 저녁 식사, 금연, 급여 지불 결제 가능",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35311616.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韓国居酒屋 クニャンポチャ,한국 이자카야 쿠냐 포치,https://retty.me/area/PRE13/ARE9/SUB901/100001682810/,050-5462-1593,이자카야 한국 요리,"[하루 종일]
저녁 식사 17:00-23:30 L.O. 23:15
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다

자세한 내용은 상점에 문의하십시오.","매주 일요일
긴 휴가의 경우 마지막 날은 문을 닫습니다.","점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"시라 카와 빌딩, 2F, 3-35-9 유시마, 벙키-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 치 요다 라인 / 유시마 역에서 도보 1 분 (21m)
도쿄 메트로 진 자 라인 / 우에노 히로코지 스테이션 4 분 (290m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 4 분 (300m)",예,"40 석
(7 라운드 테이블, 12 개의 반 개인 객실)",없음,"(외부에 재떨이가 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","[공식적인]
https://kunyanpocha.foodre.jp/",,"어린이가있는 개인 객실 고기 마시는 점심 시간 식사 연말 파티 새해 파티 디너 지불 이용 가능 온라인 예약 이용 가능
다른 사용 장면을 참조하십시오",예,,,예,03-6284-4846,"한국인
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001682810/archive/2919227-637865e02cf96.jpg,예,,,사용 가능한 예약,,,"천장이 높습니다
활발한 상점",이용 가능한 맥주,없음,,,https://x.com/nyantonakupocha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
どるちぇ,도루,https://retty.me/area/PRE13/ARE9/SUB901/100000096538/,03-3834-3380,이자카야 사시미 튀김,"[월요일부터 금요일, 토요일, 휴일 전]
 17:00-23:30 L.O. 23:00",매월 매월 두 번째 토요일 매주 일요일 휴가,"점심 : ~ 5,000 엔
저녁 식사 : ~ 5,000 엔","마스터 카드
Amex",PayPay,"3-37-8 Yushima, Bunkyo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 치 요다 라인 / 유시마 역에서 도보 2 분 (95m)
도쿄 메트로 긴자 라인 / Ueno Hirokoji Station에서 도보로 3 분 거리 (230m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보로 3 분 거리 (230m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,"이용 가능한 저녁 식사, 금연, 급여 지불 결제 가능",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35311616.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ティンパニ,팀파니,https://retty.me/area/PRE13/ARE9/SUB901/100001248689/,03-3834-7366,이탈리아 파스타 식당 바,"[월요일부터 금요일까지]
점심 11 : 45-14 : 30 L.O. 14:00
저녁 식사 18:00-22:30 L.O. 21:30
[토양]
점심 12:00-14:00 L.O. 13:30
저녁 식사 18:00-22:00 L.O. 21:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",불가능합니다,,"1f 또는 건물, 1-27-9 Higashiueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tsukuba Express / Shin-Okachimachi Station에서 도보 3 분 (170m)
도쿄 메트로 긴자 라인 / 도코 (도쿄) 역에서 도보로 5 분 거리 (360m)
JR Yamanote Line / Ueno Station 6 분 도보 (470m)",,10 석,"예
(카운터에서 4 석)","불가능합니다
(금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,"점심, 연회 및 음주 파티, 싱글, 싱글, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 와인 마시기, 세련된, 저녁 식사, 쌀, 금연, 세련된 점심
다른 사용 장면을 참조하십시오",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34252684.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
エピナール,에피나,https://retty.me/area/PRE13/ARE9/SUB901/100000747827/,03-3847-1518,이탈리아 음식 파스타 햄버거,"[월요일부터 금요일과 토요일]
 11:00-14:00",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",,,"1F Kashiwase Building, 5-23-2 Higashiueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 도코 (도쿄) 역에서 도보 5 분 (370m)
JR Yamanote Line / Ueno Station 6 분 도보 (480m)
도쿄 메트로 히비야 라인 / 이리야 (도쿄) 역에서 도보 8 분 (620m)",,,,,,,,"점심, 연회 및 음주 파티, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 술, 쌀",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/25464563.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
華鮨 上野の森さくらテラス店,Hanasushi Uenomori Sakura Terrace 매장,https://retty.me/area/PRE13/ARE9/SUB901/100001572999/,명확하지 않습니다,초밥,"[하루 종일]
 11:00-23:00","하루 종일 개점
・ 시설과 동일합니다","점심 : ~ 2,000 엔
저녁:-",,,"Ueno Mori Sakura Terrace 2F, 1-54 Ueno Park, Taito-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 1 분 도보 (40m)
Keisei Main Line / Keisei Ueno 역에서 도보로 2 분 거리 (120m)
도쿄 메트로 진 자 라인 / 우에노 히로코지 스테이션 6 분 (440m)",,,,,,https://hina-sushi.com/ueno/,,점심 저녁 식사 저녁 식사,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/26538686.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
英鮨 上野店,Eishashi Ueno 지점,https://retty.me/area/PRE13/ARE9/SUB901/100000096928/,03-5484-4419,스시 이자카야 사샤 마이미,"[태양, 월요일부터 금요일, 토요일]
 11:00-6:00
점심 11:00-15:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",예,PayPay,"1F, Kankan Building, 2-3-9 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Ueno Okachimachi Station에서 도보 2 분 (110m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 2 분 거리 (110m)
도쿄 메트로 치 요다 라인 / 유시마 역에서 도보로 3 분 (210m)",,67 석,예,"예
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,"점심, 연회 및 음주 파티, 싱글은 괜찮은 작별 파티, 환영 파티, 연말 파티, 새해 파티, 즐기기, 첫 번째 열차, 저녁 식사, 쌀, 맛있는 레스토랑, 싼 레스토랑, 흡연, 늦은 밤에 오픈, Shochu Paypay Payply를 즐기십시오.
다른 사용 장면을 참조하십시오",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/10502886.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大江戸 御徒町松坂屋前店,Oedo Okachimachi Matsuzakaya Mae 지점,https://retty.me/area/PRE13/ARE9/SUB901/100000097079/,03-5812-6886,초밥 사시미,"[하루 종일]
 11:00-22:30 L.O. 22:15",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",,,"Sakaiya Building, 3-28-9 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Okachimachi Station 2 분 도보 (90m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 2 분 거리 (95m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 2 분 (96m)",,,,,,https://www.ooedo.co.jp/,,"점심, 저녁, 저녁 식사, 맛있고 저렴한 레스토랑",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3605293.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
よし寿司 上野店,요시 스시 우에노 지점,https://retty.me/area/PRE13/ARE9/SUB901/100000838153/,03-5812-1678,스시 카이세키 요리 해산물 및 해산물 요리 일본 요리 일본 요리,"[월요일부터 금요일까지]
 11:30-14:30 L.O. 14:00
 17:00-23:00 L.O. 22:30
[토양]
 11:30-23:00 L.O. 22:30
[낮]
 11:30-22:00 L.O. 21:30","매년 1 월 1 일
폐쇄 : 새해 첫날","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex",,"6-7-8 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 도보로 2 분 (150m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 3 분 거리 (200m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 3 분 (200m)",,126 석,예,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,http://yoshizushi.co.jp/,,"점심 연회와 음주 파티 싱글 OK 작별 파티를 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티를 마시면 술 마실 와인 저녁 식사 저녁 식사 저녁 식사 식당/저렴한 레스토랑
다른 사용 장면을 참조하십시오",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30315135.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚邦,우오부,https://retty.me/area/PRE13/ARE9/SUB901/100000095466/,03-3811-6105,스시 카포/한국 레스토랑 테이크 아웃,"[월요일부터 금요일까지]
점심 11:30-14:00
저녁 16 : 30-22 : 00
[태양, 토요일, 휴일]
 11:00-21:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","Amex
식당
JCB",PayPay,"1-10-8 Mukaioka, Bunkyo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 남보쿠 라인 / Honkomagome Station에서 도보 2 분 (160m)
Toei Mita Line / Hakusan (도쿄) 역에서 도보로 3 분 거리 (240m)
도쿄 메트로 남보쿠 라인 / 토다이마 역에서 도보로 8 분 (620m)",,35 석,없음,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,"점심, 개인 실, 저녁 식사, 쌀, 흡연 허용, 개인 실, 급여 지불 지불 수락",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/29490026.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海鮮処寿し常 アトレ上野店,해산물 초밥 tsune atre ueno 지점,https://retty.me/area/PRE13/ARE9/SUB901/100000719023/,03-5826-5830,"초밥, 해산물 및 해산물 요리, 쌀 그릇","[하루 종일]
 11:00-23:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB",,"7-1-1 Ueno, Taito-Ku, 도쿄, Atre Ueno, 2f
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 도보 2 분 (92m)
Keisei Main Line / Keisei Ueno 역에서 도보 6 분 (460m)
도쿄 메트로 진 자 라인 /이나 리코 (도쿄) 역에서 도보로 9 분 (660m)",,46 석,예,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,"점심, 솔로, 크리스마스 저녁 식사, 저녁 식사, 쌀, 맛있고 저렴한 레스토랑, 비 조화, 세련된 점심
다른 사용 장면을 참조하십시오",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33177586.jpg,,,,,,,,,,,https://www.facebook.com/sushitsune.atreueno/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
居酒屋 上野邸 上野中央通り店,Izakaya Ueno Tei Ueno Chuodori 지점,https://retty.me/area/PRE13/ARE9/SUB901/100001623597/,03-6635-1716,스시 이자카야 야키토리 오코야키,"[하루 종일]
저녁 식사 16:00-24:00 L.O. 23:00",시설과 동일합니다,"점심 : ~ 3,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
JCB",,"Ueno Building 10f, 4-5-5 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 도보 2 분 (110m)
Keisei Main Line / Keisei Ueno 역에서 도보 6 분 (480m)
도쿄 메트로 진 자 라인 / 도코 (도쿄) 역에서 도보로 7 분 거리 (540m)",없음,180 석,없음,"연기 분리
(흡연 가능, 일부 금연 좌석이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,"우리는 야채 요리, 고기 요리, 생선 요리 및 현지 재료에 대해 특히 알고 있으며, 알레르기가있는 고객을 수용하고 매장 내에서 준비 할 수 있습니다.","당신이 온전한 싱글 링크 연회/음주 파티 개인 방 선량 파티 술을 마시는 술 마시는 와인을 마시면 아이들과 함께 즐길 수 있습니다.
다른 사용 장면을 참조하십시오","예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001623597/archive/287392-6349a5ae5ee1d.jpg,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 60 명
임대 가능 (좌석) : 180 명",,"ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2,999 엔 미만의 all-you-can-drink, all-you-can-drink 코스, 3,000 엔 -3,999 엔, All-You-can-drink 코스를 이용할 수 있습니다. 2 시간 동안 all-you-can-drink, 3 시간 이상 동안 모두 당신을 마시고 있습니다.",사용 가능한 예약,"놀라운 응답 가능
축하 가능성","2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.",,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
