식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,개인 실,사적인,상점 웹 사이트,발언,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,외국어 지원,영상,IC 카드 지불,흡연,인스 타 그램,페이스 북,당신이 마실 수있는 모든 것,드레스 코드,X (트위터),추가 장비,온라인 예약
麺屋 翔 本店,Menya Sho 메인 스토어,https://retty.me/area/PRE13/ARE1/SUB112/100000745149/,03-3364-5787,라면 쓰키 멘 소금라면,"[Sun, 화요일, 금요일, 토요일 및 휴일]
점심 11:00-15:00
[tue-fri]
저녁 18 : 00-22 : 00
[태양, 토요일, 휴일]
저녁 식사 17:00-21:00","매년 1 월 1 일, 매주 월요일
매일 개장합니다 (임시 폐쇄가 일시적으로 폐쇄 된 경우 블로그에서 알림을 받으십시오)
수프가 다 떨어지면 닫힙니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"7-22-34 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 니시-신주쿠 역에서 도보 5 분 (350m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 5 분 (380m)
JR Chuo / Sobu Line / Okubo (도쿄) 역에서 도보로 5 분 거리 (400m)",,"18 석
(카운터 만)","예
(*종이 앞치마 이용 가능!)",없음,,"https://www.menya-syo.com/
http://ameblo.jp/syo0410-dai/",,,,,,"점심, 솔로, 체리 꽃보기, 체리 꽃보기가있는 레스토랑, 세련된, 저녁 식사, 쌀, 맛있고, 저렴하고, 금연, 세련된 점심
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000745149/archive/134919-589149101262c.png,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,https://www.facebook.com/menya.syou/,,,https://x.com/papamamatoget,,
アカシア 新宿本店,아카시아 신주쿠 메인 매장,https://retty.me/area/PRE13/ARE1/SUB101/100000001514/,03-3354-7511,서양식 음식 스튜 오믈렛 라이스 햄버거,"[Sun, 월요일, 수요일, 금요일, 토요일]
 11:00-22:00 L.O. 22:00",매주 화요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,PayPay,"3-22-10 신주쿠, 신주쿠-쿠, ​​도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 1 분 (74m)
JR Yamanote Line / Shinjuku Station에서 도보로 1 분 (75m)
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보 2 분 (97m)",,"57 석
(1 층/41 석, 2 층/24 석)",없음,없음,불가능합니다,https://www.restaurant-acacia.com/,・ 2000 엔 이상의 크레딧,,,,,"점심, 솔로, 음료 와인, 아이들과 함께 즐기기, 세련된, 저녁 식사, 금연, 세련된 점심, 슈퍼 매운, 지불금 지불 가능
다른 사용 장면을 참조하십시오",,,예,불가능합니다,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36087269.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,
鳥茂,토리모,https://retty.me/area/PRE13/ARE1/SUB113/100000000261/,03-3379-5188,"꼬치, Motsu 요리, 테이크 아웃, Kappo/Kikaya, Sashimi, Yakitori","[월요일부터 금요일과 토요일]
 17:00-1:00 L.O. 24:00","매주 일요일
불규칙한 휴일 (상점에 확인하십시오)","점심:-
저녁 식사 : ~ 8,000 엔",불가능합니다,,"2-6-5 Yoyogi, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku 역에서 도보로 1 분 (41m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 4 분 거리 (250m)
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 5 분 (370m)",없음,82 석,예,"예
7 명 이상",,,,,,,,"날짜, 여자 밤, 개인 객실, 약혼 저녁 식사, 싱글 OK, 엔터테인먼트, 크리스마스 저녁 식사, 술 마시기, 와인, 세련된, 저녁 식사, 저녁 식사, 금연, 생일, 개인 실, 세련된, 개인 실
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36937100.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,
焼きあご塩らー麺 たかはし 新宿本店,구운 턱 소금라면 타카하시 신주쿠 메인 매장,https://retty.me/area/PRE13/ARE1/SUB101/100001197358/,03-6457-3328,"라면, 쌀 쌀, 시라 수돈, 훈제, 톤 코츠라면, 소금라면","[월요일부터 금요일까지]
 11:00-22:30 L.O. 22:00
[태양, 토요일, 휴일]
 10:00-22:30 L.O. 22:00
자세한 내용은 공식 웹 사이트를 확인하십시오.","하루 종일 개점
새해 공휴일 제외","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"1F KK 빌딩, 1-27-3 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 1 분 (37m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (190m)
Jr Yamanote Line / Shinjuku Station에서 도보 4 분 (300m)",없음,"13 석
(카운터 만)",예,없음,,https://takahashi-ramen.com/,,,,,,"점심, 솔로, 체리 꽃보기, 체리 꽃보기가있는 레스토랑, 브런치, 세련된, 저녁, 쌀, 맛있고, 싸지 않음, 비 조화, 세련된 점심
다른 사용 장면을 참조하십시오",,,,,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001197358/archive/3189859-654dce2a6a497.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,https://www.facebook.com/grilled 턱 소금라면 Takahashi-1065870153429031/,,,https://x.com/yakiago_ramen,,
丸鶏 るいすけ,전체 치킨 루이스케,https://retty.me/area/PRE13/ARE1/SUB112/100000011231/,03-3371-0616,Yakitori Izakaya Karaage Chicken Cuisine Sake Bar,"[하루 종일]
 17:00-23:30
음식 lo22 : 30 음료 lo23 : 00","하루 종일 개점
새해 휴일","점심:-
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"1F, 2 차 타카 하시 빌딩, 7-14-6 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 니시-신주쿠 역에서 도보로 3 분 거리 (220m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 4 분 (270m)
JR Yamanote Line / Shinjuku Station에서 도보로 4 분 거리 (270m)",없음,53 석,예,없음,불가능합니다,,,"3,000 엔에서 3,999 엔으로 제공됩니다","우리는 야채 요리, 고기 요리 및 식품 생산 공간에 특히 적합하며 요리사는 해외에서 훈련했으며 요리사는 유명한 식당에서 훈련을 받았으며 요리사는 가게에서 훈련했습니다.","맥주, 사케, 쇼치, 위스키, 칵테일, awamori",사용 가능한 예약,"데이트 여자 파티 모든 냉장 그 그룹 날짜 연회 및 음주 파티 싱글 OK 작별 파티를 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 술을 마시는 와인 어린이 세련된 저녁 식사
다른 사용 장면을 참조하십시오","개방성이 있습니다
활발한 상점
상단에 있습니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성","예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35221510.jpg,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,https://www.facebook.com/ruisuke/,"3,000 엔에서 3,999 엔, 2 시간 반에 걸친 탁월한 링크를 포함하는 코스가 있습니다.",,,사운드 장비 사용 가능,
豚珍館,돼지 박물관,https://retty.me/area/PRE13/ARE1/SUB112/100000001456/,03-3348-5774,"Tonkatsu, 식사, 테이크 아웃, 쌀 그릇, 일본 음식","[월요일부터 금요일과 토요일]
점심 11:00-15:00
[월요일부터 금요일까지]
저녁 식사 17:00-23:00
[토양]
저녁 식사 17:00-22:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"Takahashi Building 2f, 1-13-8 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Shinjuku West Exit Station에서 도보 2 분 (140m)
JR Yamanote Line / Shinjuku Station에서 도보 2 분 (160m)
Toei Oedo Line / Tochomae 역에서 도보로 4 분 거리 (280m)",,30 석,예,없음,,,,,,,,"점심, 솔로, 세련된, 저녁 식사, 쌀, 비 흡연, 세련된, 점심",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/31812216.jpg,,"불가능합니다
(흡연은 점심으로 완전히 금연하지 않습니다. 밤은 알려져 있지 않습니다.
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,3 시간 이상 동안 마실 때마다,,,,
えびそば一幻 新宿店,에비 소바 상상 신주쿠 지점,https://retty.me/area/PRE13/ARE1/SUB112/100000852070/,03-5937-4155,라면,"[하루 종일]
 11:00-20:00","불규칙한 휴일
하루 종일 같은 메뉴.","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,PayPay,"후쿠 하치 빌딩 1f, 7-8-2 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (190m)
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 4 분 (250m)
JR Yamanote Line / Shinjuku Station에서 도보 4 분 (320m)",없음,"13 석
(카운터 만)",예,없음,,http://www.ebisoba.com/,,,,,,"점심, 연회 및 음주 파티, 싱글 OK, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 세련된, 저녁, 쌀, 맛있는 레스토랑, 저렴한 레스토랑, 금연, 세련된 점심, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000852070/archive/436126-5afa4b51c0587.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,
J.S. BURGERS CAFE 新宿店,J.S. 버거 카페 신주쿠 지점,https://retty.me/area/PRE13/ARE1/SUB113/100000743651/,03-5367-0185,햄버거 카페 테이크 아웃 샌드위치 과자 파르페,"[월요일부터 금요일까지]
 11:00-23:00 L.O. 22:30
[토양]
 10:30-23:00 L.O. 22:30
[일요일과 휴일]
 10:30-22:30 L.O. 22:00",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔","비자
Amex",,"3 층, 4-1-7 신주쿠, 신주쿠 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 1 분 (57m)
JR Yamanote Line / Shinjuku Station에서 도보 2 분 (140m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 5 분 (370m)",,170 석,없음,없음,,,,,,,,"점심, 연회 및 음주 파티, 독신 파티, 디너 크루즈, 크루즈, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 와인, 와인, 아이들과 함께 즐거운, 세련된 저녁 식사, 쌀, 비영리, 세련된 점심
다른 사용 장면을 참조하십시오",,,예,예,,예,,언어를 말할 수있는 직원이 있습니다,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3372523.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,
タカマル鮮魚店 本館,다카 마루 신선한 생선 상점 본관,https://retty.me/area/PRE13/ARE1/SUB112/100000011871/,03-5937-5969,해산물과 해산물 이자카야 테이크 아웃 사시미 장어 그릇 쌀 그릇 음식 마구간,"[하루 종일]
 11:00-23:30 L.O. 23:00","하루 종일 개점
불규칙한 휴일과 임시 마감이 있습니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",Amex,,"Arapite Building 1f, 7-15-1 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Shinjuku West Exit Station에서 도보 2 분 (160m)
JR Yamanote Line / Shinjuku Station에서 도보 4 분 (260m)
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 4 분 (270m)",없음,50 석,없음,없음,,https://www.takamaru-inc.com/,,,,,사용 가능한 예약,"점심, 연회 및 음주 파티, 싱글, 싱글, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 술 마시기, 와인, 세련된, 저녁 식사, 쌀, 금연, 세련된 점심
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35316583.jpg,,"불가능합니다
(흡연은 상점 밖에서 허용됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,
BERG,산,https://retty.me/area/PRE13/ARE1/SUB101/100000000661/,03-3226-1288,카페 독일 요리 크래프트 맥주 바 커리,"[하루 종일]
 7:00-23:00","명확하지 않습니다
・ 시설과 동일합니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
식당
JCB",,"Lumine Est Shinjuku B1F, 3-38-1 Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku Station에서 도보로 1 분 (29m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 1 분 (72m)
도쿄 메트로 마루치 라인 / 신주쿠 산체 홈 스테이션에서 도보로 2 분 (150m)",없음,45 석,예,없음,불가능합니다,https://www.berg.jp/,,,,,,"점심, 솔로, 음료수, 와인, 브런치, 세련된, 아침 식사, 저녁 식사, 쌀, 흡연, 세련된 점심, 크래프트 맥주, Senbero, Night Cafe
다른 사용 장면을 참조하십시오",,,불가능합니다,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36161877.jpg,"Suica, Manaca, Toica, Icoca, Hayakaken, Nimoca, Sugoca","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,https://www.facebook.com/beercafe berg-in-shinjuku-tokyo-14672598722188/,,,,,
広州市場 西新宿店,광저우 시장 니시 신주쿠 지점,https://retty.me/area/PRE13/ARE1/SUB112/100000011706/,03-5322-9322,"라면, 이자카야, 중국 음식, 쌀 그릇, Tonkotsu라면, 소금라면","[하루 종일]
 10:50-24:00","하루 종일 개점
・ 새해 공휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,PayPay,"1-12 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Shinjuku West Exit Station에서 도보 2 분 (160m)
JR Yamanote Line / Shinjuku Station에서 도보 2 분 (160m)
Toei Oedo Line / Tochomae 역에서 도보로 4 분 거리 (310m)",,36 석,"예
(6 석)",없음,,https://www.kosyuichiba.com,,,,,,"점심, 솔로, 세련된, 저녁 식사, 쌀, 맛있고, 싸고, 금연, 세련된, 점심, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36852111.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,
創始 麺屋武蔵,Menya Musashi가 설립했습니다,https://retty.me/area/PRE13/ARE1/SUB112/100000003855/,03-3363-4634,"라면, 쓰키 멘, 된장라면, 쌀 그릇, 초콜릿, Tonkotsu라면, 소금라면","[하루 종일]
 11:00-22:30","하루 종일 개점
・ 개월조차 : 첫 월요일 오후 8시에 문을 닫았습니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"K-1 건물의 1 층, 7-2-6 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Shinjuku West Exit Station에서 도보 2 분 (160m)
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 3 분 (190m)
JR Yamanote Line / Shinjuku Station에서 도보로 5 분 (350m)","없음
근처 (할인 없음) 사용 가능","19 석
(카운터 좌석 만)",예,없음,불가능합니다,https://menya634.co.jp/,,,,이용 가능한 맥주,,"독신 사람들에게는 점심이 괜찮습니다. 주차 가능. 아이들과 함께 즐기십시오. 세련된. 영어를 사용하는 저녁. 맛있고 저렴한 레스토랑. 금연. 세련된 점심. PayPay 지불을 사용할 수 있습니다.
다른 사용 장면을 참조하십시오",,,예,불가능합니다,불가능합니다,없음,,"영어 중국어 한국
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35736026.jpg,,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,https://www.facebook.com/menya634,,평상복,https://x.com/634_shinjuku,,
サラベス ルミネ新宿店,사라 베스 루민 신주쿠 지점,https://retty.me/area/PRE13/ARE1/SUB101/100000735773/,03-5357-7535,카페 팬케이크 과자 프렌치 토스트 서양식 음식 샌드위치 수프,"[하루 종일]
 9:00-22:00 L.O. 21:00","하루 종일 개점
・ 시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",예,,"루민 22F, 3-38-2 신주쿠, 신주쿠-쿠, ​​도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku Station에서 도보로 1 분 (29m)
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 2 분 (91m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 4 분 거리 (250m)",없음,64 석,예,없음,,https://sarabethsrestaurants.jp/,,,,,,"점심 여자 야간 OK 솔로 손님 브런치 세련된 아침 식사 아침 식사 저녁 식사 저녁 식사가 아닌 점심 여아의 야간 카페
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35506062.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,
