식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,외국어 지원,영상,전화 번호,쇼핑 직무 정보,페이스 북,X (트위터),추가 장비,인스 타 그램,IC 카드 지불,인근 시설,맥주 제작자,온라인 예약
とりビアー 渋谷文化村通り店,Toribeer Shibuya Bunkamuradori 매장,https://retty.me/area/PRE13/ARE8/SUB802/100001236180/,03-3461-0241,이자카야,"[하루 종일]
저녁 식사 17:00-2:00",하루 종일 개점,"점심 : 비즈니스 시간
저녁 식사 : ~ 3,000 엔",예,,"1st Basement Floor, Saint Louis Building, 26-3 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Yamanote Line / Shibuya Station에서 도보로 1 분 (31m)",,60 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"연회 및 음주 파티 작별 파티를 환영 파티 연말 파티 새해 파티 저녁 식사 식당과 저렴한 레스토랑은 밤 늦게 열린 흡연 식당을 즐길 수 있습니다.
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/8405619.jpg,,,,,,,,,,
大衆酒場 いこい,인기있는 바 이코이,https://retty.me/area/PRE13/ARE8/SUB803/100001212807/,03-6416-1098,이자카야 해산물과 해산물,"[하루 종일]
저녁 식사 17:00-24:00",하루 종일 개점,"점심 : 비즈니스 시간
저녁 식사 : ~ 3,000 엔",Amex,PayPay,"1-11-1 Dogenzaka, Shibuya-Ku, 도쿄 2nd Daiban Building B1
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 1 분 (59m)",,360 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://ikoi-kashiwa.gorp.jp/,,,,,,,"연회 및 음주 파티 싱글을위한 개인 실
다른 사용 장면을 참조하십시오",,,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34550440.jpg,,,,,,,,,,
SHIBUYA KALLAS,시부야 칼라스,https://retty.me/area/PRE13/ARE8/SUB806/100000700853/,03-3461-7833,바이자카야,"[하루 종일]
 20:00-5:00 L.O. 4:30
 19:00-5:00 L.O. 4:30",하루 종일 개점,"점심:-
저녁 식사 : ~ 4,000 엔",Amex,,"시부야 델리 타워 10f, 2-23-13도 텐자 카, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 4 분 (280m)
Keio Inokashira Line / Shinsen Station에서 도보 6 분 (410m)",,,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명",,,,,,,,,개인 실은 첫 번째 열차 저녁 식사 흡연이 늦은 밤 허용 될 때까지 열립니다.,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3515370.jpg,,,,https://x.com/shibuya_kallas,,,,,,
GG Shibuya mobile esports cafe&bar,GG Shibuya Mobile Esports Cafe & Bar,https://retty.me/area/PRE13/ARE8/SUB802/100001606651/,03-6455-3847,햄버거 카페,"[하루 종일]
 11:00-20:00 L.O. 19:30
마지막 순서 : 오후 7시 (음식), 오후 7:30 (음료)
*11 월 8 일부터 11 : 00-21 : 00 (마지막 순서 20:30).",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Shibuya Parco 6f, 15-1 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 4 분 거리 (270m)","예
특별 P 사용 가능","90 석
(앉을 때 50 명, 서있는 경우 100 명을 임대 할 수 있습니다 (20 명 이하, 20 ~ 50 명을 임대 할 수 있음)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점적 인 식사) 100 명",https://gg-shibuya.jp/,,,"전산 된 가격 : 2,000-2,999 엔, 4,000-4,999 엔의 싱크 링크, 5,000 엔 이상의 싱글 링크, 2 시간 동안 all-you-can-drink","우리는 야채 요리, 고기 요리 및 어린이를위한 메뉴에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심 모든 란드 링크 크리스마스 저녁 식사 와인 음료가 주차장이 있습니다. 아이들과 함께 즐길 수 있습니다.
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
조용한 가게
차분한 분위기
상단에 있습니다
상업용 시설에 위치합니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",없음,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,예 (무료),예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001606651/archive/2732485-629873bb219.jpg,,,,https://x.com/gshibuyag,"프로젝터, TV 및 모니터, 오디오 장비, 놀이",https://www.instagram.com/gg_shibuya428/,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay",,,
SHIBUYA KALLAS,시부야 칼라스,https://retty.me/area/PRE13/ARE8/SUB806/100000700853/,03-3461-7833,바이자카야,"[하루 종일]
 20:00-5:00 L.O. 4:30
 19:00-5:00 L.O. 4:30",하루 종일 개점,"점심:-
저녁 식사 : ~ 4,000 엔",Amex,,"시부야 델리 타워 10f, 2-23-13도 텐자 카, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 4 분 (280m)
Keio Inokashira Line / Shinsen Station에서 도보 6 분 (410m)",,,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명",,,,,,,,,개인 실은 첫 번째 열차 저녁 식사 흡연이 늦은 밤 허용 될 때까지 열립니다.,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3515370.jpg,,,,https://x.com/shibuya_kallas,,,,,,
82 渋谷宮益坂店,82 Shibuya Miyamasuzaka 상점,https://retty.me/area/PRE13/ARE8/SUB805/100000567731/,03-6418-0082,맥주 바 펍,"[Sun, 월요일부터 목요일, 토요일]
 16:00-24:00
[금]
 16:00-26:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",Amex,PayPay,"크로스 오피스 시부야 1f, 1-12-2 시부야, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (110m)",,30 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.pub-hub.com/index.php/shop/detail/66,,,,,,,"연회 및 음주 파티 싱글 싱글은 괜찮은 작별 파티 환영 파티 연말 파티 새해 파티 저녁 흡연 허용 늦은 밤 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/4352518.jpg,,,,,,,,,,
Renge no Gotoku,Renge No Gotoku,https://retty.me/area/PRE13/ARE8/SUB803/100001492115/,03-6427-8111,단단 국수,"[월요일부터 금요일, 토요일, 휴일]
점심 11:00-16:00
저녁 식사 17:30-22:00",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"스즈키 빌딩 1f, 16-7 Sakuragaokacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (180m)",,16 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.josho-k.com,,,,,,,"점심, 솔로, 체리 꽃보기, 체리 꽃보기가있는 레스토랑, 세련된, 저녁 식사, 쌀, 맛있고, 저렴하고, 금연, 세련된 점심
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32531513.jpg,,,,,,https://www.instagram.com/rengenogotoku_shibuya/,,,,
渋谷レモンサワー酒場 博多商店 道玄坂店,Shibuya 레몬 사워 바 Hakata Shoten Dogenzaka 매장,https://retty.me/area/PRE13/ARE8/SUB803/100001457106/,080-2089-6630,이자카야 서부 푸드 미트 바 피자 이탈리아 바 파스타,"[선, 월요일부터 목요일, 휴일]
 16:00-24:00
[금과 앉았다]
 16:00-5:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Gloria Building 5F, 1-7-1 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (110m)","없음
근처 (할인 없음) 사용 가능",60 석,없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
예약 할 수있는 제한된 수의 사람들 : 60 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사 식사) : 60 명",https://sativa.owst.jp/,,"2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.","999 엔 미만의 모든 금액 가격, ALL-YOU-CAN-DRINK 가격 1000-1999 엔, ALL-YOU-CAN-DRINK 가격 2000-2999 엔, ALL-YOU-CAN-DRINK 3000-4999 YEN, 2999 얀, ALL-YOU-CAN-DRINK COSS는 3000-3999999999999999999999999999 년 미만의 모든 칸 드링크 가격입니다. 코스에는 1 시간 반, 2 시간 반, 3 시간 이상이 포함되어 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료, 유기농 야채, 요리사가 해외에서 훈련했으며, 요리사가 유명한 식당에서 훈련했으며, 요리사가 유명한 레스토랑에서 훈련했으며, 요리사가 요리하고, 매장에서 준비했습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리, 샤 옥싱 와인",사용 가능한 예약,"솔로 손님을 대상으로 이용할 수있는 전적으로 당신이 먹을 수있는 싱크 파티를 환영합니다
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
활발한 상점
차분한 분위기
숨는 곳
상단에 있습니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",,"예
유아, 유치원 어린이, 초등학생을 환영합니다",예,,예,"영어 중국어
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001457106/archive/1418505-5e31441094ad2.jpg,,,,,"프로젝터, TV 및 모니터 사용 가능",,,,,
大衆酒場 いこい,인기있는 바 이코이,https://retty.me/area/PRE13/ARE8/SUB803/100001212807/,03-6416-1098,이자카야 해산물과 해산물,"[하루 종일]
저녁 식사 17:00-24:00",하루 종일 개점,"점심 : 비즈니스 시간
저녁 식사 : ~ 3,000 엔",Amex,PayPay,"1-11-1 Dogenzaka, Shibuya-Ku, 도쿄 2nd Daiban Building B1
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 1 분 (59m)",,360 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://ikoi-kashiwa.gorp.jp/,,,,,,,"연회 및 음주 파티 싱글을위한 개인 실
다른 사용 장면을 참조하십시오",,,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34550440.jpg,,,,,,,,,,
Cafe&Bar EIN,카페 & 바 아이 인,https://retty.me/area/PRE13/ARE8/SUB803/100000770756/,03-3462-1710,바 식당 바 라운지 파스타,"20:00-5:00 다음날 Lo 4:00 다음 날
마감 시간은 하루에 따라 다를 수 있습니다",불규칙한 휴일,"점심:-
저녁 식사 : ~ 3,000 엔",,,"Tsuda Social Building, 1-19-6 Dogenzaka, Shibuya-Ku, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen Station에서 도보 4 분 (260m)
JR Yamanote Line / Shibuya Station에서 도보 4 분 (300m)",,"16 석
(served 25 명이 스탠드 업 식사를 할 수 있습니다.","예
(7 석)","예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,https://ameblo.jp/barandsoulein/,,,,,,,개인 객실 흡연이 허용됩니다,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/356821.jpg,,,,,,,,,,
名代 富士そば 渋谷東口店,Meiyo Fuji Soba Shibuya East Exit 지점,https://retty.me/area/PRE13/ARE8/SUB805/100000924752/,03-6276-3527,소바 (소바) 우동 카레 쌀 그릇,"[하루 종일]
 0:00-24:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"Sato Estate Building, 3-18-5 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 1 분 거리 (46m)","없음
근처 (할인 없음) 사용 가능",24 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,"https://fujisoba.co.jp/
https://fujisoba.co.jp/shop/",,,,,,,"어린이를위한 점심 주차 브런치 아침 식사 이용 가능한 첫 번째 기차 저녁 식사가 끝날 때까지 영업 할 수 없습니다.
다른 사용 장면을 참조하십시오",,,평상복,예,불가능합니다,불가능합니다,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/31020831.jpg,,,https://www.facebook.com/fujisoba,https://x.com/fujisobar,,,,,,
JAGAJAGA,자가자가,https://retty.me/area/PRE13/ARE8/SUB806/100000001049/,03-5459-5914,이자카야 쌀 그릇 야키토리 사시미,"[월요일부터 금요일과 토요일]
 18:00-24:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",Amex,,"1F, Uemura Building, 2-18-2 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (210m)
Keio Inokashira Line / Shinsen 역에서 도보 5 분 (340m)",,19 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://jagajaga.co.jp/,,,,,,,"저녁 식사, 흡연 허용, Shochu는 취할 수 있습니다",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/13078491.jpg,,,,,,,,,,
飲み放題＆全席喫煙可 焼き鳥とおばんざい 四季折々 渋谷肉横丁店,All-You-Can-Drink & 흡연은 모든 좌석 Yakitori 및 Obanzai 계절 변화 시비야 Niku Yokocho Branch,https://retty.me/area/PRE13/ARE8/SUB802/100001720669/,080-1152-7746,이자카야 야키토리,"[하루 종일]
저녁 식사 16 : 00-25 : 00",명확하지 않습니다,"점심 : 비즈니스 시간
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Chitose Kaikan 2f, 13-8 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (170m)",예,42 석,,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,"우리는 고기 요리에 대해 특별히 있으며, 생산 구역에 대해 특히 매장 내에서 준비되어 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"소녀의 밤, 그룹 데이트, 연회 및 음주 파티, 솔로 음료, 음료수, 저녁 식사, 쌀, 고기, 흡연, 무료 와이파이, 점심 마시기, Shochu
다른 사용 장면을 참조하십시오","개방성이 있습니다
활발한 상점",,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001720669/archive/3298727-662b620c05b7a.jpeg,,,,,,https://www.instagram.com/shikiori2929/,,,,
居酒屋 すずめや,이자카야 수마야,https://retty.me/area/PRE13/ARE8/SUB803/100001249522/,03-645-3771,이자카야,,매주 일요일,"점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔",,,"1-6-9 Dogenzaka, Shibuya-Ku, 도쿄, Ila Dogenzaka 건물, 1st Basement Floor
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 1 분 (69m)",,,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,맛있고 저렴한 식당 흡연이 허용됩니다,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/11467177.jpg,,,,,,,,,,
Living Bar M&W TOKYO,살아있는 바 M & W 도쿄,https://retty.me/area/PRE13/ARE8/SUB805/100000030504/,03-6427-4880,바 라운지,"[월요일부터 금요일과 토요일]
 18:00-3:00 L.O. 2:30","매주 일요일과 공휴일
월요일이 공휴일이라면, 우리는 일요일에 문을 열고 월요일에 문을 닫습니다.","점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"3-7-6 시부야, 시부야-쿠, 도쿄, 야기 빌딩, B1F
큰지도를보십시오","■ 스테이션에서 접근
Jr Yamanote Line / Shibuya Station에서 도보 2 분 (150m)",,30 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://mwtokyo.owst.jp/,,,,,,,"날짜 연회 및 음주 파티 개인 방 싱글 룸 성인을위한 싱글 룸 작별 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 마시는 와인 세련된 저녁 식사 쌀 흡연 허용 개인 방 날짜 세련된 개인 실
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/10070328.jpg,,,,,,,,,,
