식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,주소,입장,좌석,카운터 좌석,흡연,개인 실,상점 웹 사이트,사용 장면,영상,QR 코드 결제,주차,사적인,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,대기,서비스,아이들이 들어 오세요,맥주 제작자,추가 장비,페이스 북,당신이 마실 수있는 모든 것,애완 동물,Wi-Fi 사용,외국어 지원,IC 카드 지불,인스 타 그램,드레스 코드,전화 번호,발언,전원 공급 장치 사용,X (트위터),지역
やよい軒 神田北口店,Yayoiken Kanda Kitaguchi 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100000839999/,03-3526-5625,"식사, 쌀 그릇, 햄버거를 설정하십시오","[하루 종일]
 0:00-24:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,"Racine Kanda Building, 1-26 Kanda Sudacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (38m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 거리 (290m)
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보 4 분 (290m)",,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://www.yayoiken.com/,"점심 브런치 아침 식사 이용 가능한 첫 번째 기차 저녁 식사 저녁 식사가 없어지지 않아도 금연이 늦게 열린 금액 지불금 지불 가능
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/16634098.jpg,PayPay,,,,,,,,,,,,https://www.facebook.com/yayoiken.jp,,,,,,,,,,,https://x.com/yayoiken_com,칸다
神田 日本酒バル 酒趣,Kanda Sake Bar Sake Bar Sake,https://retty.me/area/PRE13/ARE11/SUB1101/100000768275/,03-3254-3353,이자카야 바 바 바,"[월요일부터 금요일, 토요일, 휴일 전]
저녁 식사 17:00-23:15 L.O. 22:45
마감 시간은 하루에 따라 다를 수 있습니다","매주 일요일과 공휴일
새해 휴일 (확인하십시오)
긴 휴가의 경우 마지막 날은 문을 닫습니다.
우리는 휴일 전 일요일에 문을 열었습니다.
[Mon-Sat] 음료 lo 22:45","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
JCB","야노 빌딩 1F, 5-5 칸다 코요 아코, 키 요다 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 4 분 (320m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 5 분 거리 (330m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 7 분 거리 (510m)","16 석
(Covid-19를 방지하기 위해 카운터 좌석이 적을 수 있습니다.)","예
(파티션은 카운터 좌석에 설치됩니다. 불편을 끼쳐 드려 죄송합니다.","불가능합니다
(흡연 금지
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"싱글 OK Entertainment Sake Sake Dicke Micking Rice All-You-Can-Drink Farewell Party 쿠폰 이용 가능 급여 지불 지불 연말 파티 새해 파티 성인 날짜
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000768275/archive/2850927-632a7a61e980c.png,PayPay,예,예,,,"맥주, 사케, 와인",사용 가능한 예약,"차분한 분위기
숨는 곳",,,,,https://www.facebook.com/kanda.shushu/,"5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.",,예,,,,,,,,https://x.com/shushu_kanda,칸다
そば千 東神田店,소바 센 히가시 칸다 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100000452524/,명확하지 않습니다,소바 (소바) 우동,"[월요일부터 금요일까지]
 2:00-19:00
[토양]
 3:00-13:00","매월 첫 번째 토요일 매주 일요일
첫 공휴일에 문을 닫았습니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,"Sankyo Building 1f, 1-17-4 Higashikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR SOBU 메인 라인 / 바쿠로 코 역에서 도보로 3 분 거리 (230m)
Jr Chuo / Sobu Line / Asakusabashi Station에서 도보로 5 분 (330m)
Toei Shinjuku Line / Bakuro Yokoyama Station에서 도보 5 분 (370m)",,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"점심, 솔로, 브런치, 세련된, 아침 식사, 첫 번째 기차, 저녁 식사, 쌀, 비 흡연, 세련된, 늦은 밤까지 문을 엽니 다.
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34252532.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
Big-Pig 神田カープ本店,Big-Pig Kanda 잉어 메인 상점,https://retty.me/area/PRE13/ARE11/SUB1101/100000026746/,03-3255-6262,Okonomiyaki Izakaya 현지 요리,"[월요일부터 금요일까지]
저녁 식사 17:00-23:00 L.O. 22:15
[태양, 토요일, 휴일]
점심 13:00-16:00
저녁 식사 16:00-21:00 L.O. 20:15
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.
https://bigpig-kanda.com/","가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
프로 야구는 일요일과 공휴일에 문을 열 수 있으므로 확인하려면 저희에게 전화하십시오.","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","후지 엘리베이터 빌딩 B1F, 3-4-6 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 3 분 거리 (200m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 7 분 (500m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 7 분 거리 (540m)",120 석,예,"불가능합니다
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","[공식적인]
https://bigpigkandacarphonten.foodre.jp/
https://bigpig-kanda.com/",올스 잉크 링크 식사 연말 파티 새해 파티 연회 및 음주 파티 급여 지불 지불 이용할 수있는 작별 파티를 환영 파티 개인 객실 저녁 식사,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000026746/archive/2686295-6263cc08cac4a.jpg,PayPay,"없음
근처 (할인 없음) 사용 가능",예,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.",우리는 생산 영역에 대해 특히 그렇습니다. 매우 매운 메뉴가 있고 매장 내에서 준비된,"맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"개방성이 있습니다
천장이 높습니다
활발한 상점","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능",예,,"TV 및 모니터, 오디오 장비",https://www.facebook.com/bigpigkanda/,"3,000 엔에서 3,999 엔까지의 싱글 링크와 4,000 엔에서 4,999 엔까지의 코스가 포함 된 코스가 있습니다.",불가능합니다,예,"영어
언어 지원 메뉴가 있습니다",,,,,,,,칸다
こんなもん家,이런 종류의 집,https://retty.me/area/PRE13/ARE11/SUB1101/100001191019/,03-6206-4069,이자카야 쿠시 카츠,,,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",,"Tsubaki Building 1f, 1-7-1 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (80m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 4 분 거리 (260m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 6 분 (410m)",,,,,,맛있고 저렴한 레스토랑,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/555752.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
神田 日本酒バル 酒趣,Kanda Sake Bar Sake Bar Sake,https://retty.me/area/PRE13/ARE11/SUB1101/100000768275/,03-3254-3353,이자카야 바 바 바,"[월요일부터 금요일, 토요일, 휴일 전]
저녁 식사 17:00-23:15 L.O. 22:45
마감 시간은 하루에 따라 다를 수 있습니다","매주 일요일과 공휴일
새해 휴일 (확인하십시오)
긴 휴가의 경우 마지막 날은 문을 닫습니다.
우리는 휴일 전 일요일에 문을 열었습니다.
[Mon-Sat] 음료 lo 22:45","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
JCB","야노 빌딩 1F, 5-5 칸다 코요 아코, 키 요다 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 4 분 (320m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 5 분 거리 (330m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 7 분 거리 (510m)","16 석
(Covid-19를 방지하기 위해 카운터 좌석이 적을 수 있습니다.)","예
(파티션은 카운터 좌석에 설치됩니다. 불편을 끼쳐 드려 죄송합니다.","불가능합니다
(흡연 금지
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"싱글 OK Entertainment Sake Sake Dicke Micking Rice All-You-Can-Drink Farewell Party 쿠폰 이용 가능 급여 지불 지불 연말 파티 새해 파티 성인 날짜
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000768275/archive/2850927-632a7a61e980c.png,PayPay,예,예,,,"맥주, 사케, 와인",사용 가능한 예약,"차분한 분위기
숨는 곳",,,,,https://www.facebook.com/kanda.shushu/,"5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.",,예,,,,,,,,https://x.com/shushu_kanda,칸다
天ぷら さいとう 神田本店,튀김 사이토 칸다 메인 매장,https://retty.me/area/PRE13/ARE11/SUB1101/100001251204/,03-5207-2789,이자카야 템포라 일본 음식 세트 식사 식당 바,"[월요일부터 금요일까지]
점심 11:30-14:30
[월요일부터 금요일과 토요일]
저녁 식사 17:00-23:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB","1 층, 타자와 칸다 빌딩, 28 Kanda Toyamacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Iwamotocho 역에서 도보로 4 분 거리 (260m)
JR Yamanote Line / Kanda (도쿄) 스테이션 4 분 도보 (280m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (460m)","23 석
(15 개의 카운터 좌석/2 테이블)",예,"예
(모든 좌석은 점심 시간에 담배를 피우지 않습니다 (11 : 00-15 : 00))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://www.tenpura3110.jp/,"점심으로 점심으로 마시는 연회와 음주 파티 싱글 싱글 OK 작별 파티를 환영 파티 연말 파티 새해 파티를 마시는 와인 마시는 와인을 마시는 것은 아이들과 함께 즐거운 주차장이 있습니다. 세련된 개인 저녁 식사
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32129530.jpg,PayPay,"없음
근처 (할인 없음) 사용 가능","예
최대 20 명까지 임대 할 수 있습니다","2,999 엔 미만의 코스","우리는 야채 요리, 고기 요리, 매장 내에서 준비된 것입니다.","맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"개방성이 있습니다
활발한 상점
차분한 분위기
골목을 향합니다",,"예
유아, 유치원 어린이, 초등학생을 환영합니다",,,https://www.facebook.com/tenpura3110/,"999 엔 미만의 all-you-drink 가격, 2999 엔 미만의 싱크 링크, 1.5 시간 동안 모두-캔-링크, 2.5 시간 동안 모두 당신이 링크, 2.5 시간 동안 모두 당신을 다루는 링크, 3 시간 이상 싱글 링크",불가능합니다,없음,,,,없음,,,불가능합니다,,칸다
千代,치유,https://retty.me/area/PRE13/ARE11/SUB1101/100000032145/,03-3291-0990,이자카야 쌀 그릇 해산물과 해산물 세트 식사,"[월요일부터 금요일까지, 휴일 전]
점심 11:00-14:00
저녁 식사 17:00-22:00",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,"신와 건물, 1-8 칸다 니시 치코, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 2 분 거리 (130m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 2 분 (140m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 2 분 거리 (140m)",22 석,"예
(4 석만.)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"점심, 솔로, 크리스마스 저녁 식사, 저녁 식사, 쌀, 금연",https://ximg.retty.me/crop/s388x388/q80/das/-/retty/img_repo/2l/01/32743270.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
fratello,Fratello,https://retty.me/area/PRE13/ARE11/SUB1101/100000753081/,03-3242-0330,이탈리아 요리,"[월요일부터 금요일과 토요일]
 11:30-13:30
[월요일부터 금요일까지]
 17:30-23:00",,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",,"4-4-12 Nihonbashi Motoishicho, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 3 분 (180m)
JR Yamanote Line / Kanda (도쿄) 역 4 분 (250m)
도쿄 메트로 긴자 라인 / 미츠코시마 역에서 도보로 4 분 거리 (300m)",,,,,,점심 와인 음료 저녁 식사 라이스 페이 페이 지불 가능,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34017364.jpg,PayPay,,,,,,,,,,,,https://www.facebook.com/fratello-617739048242387/,,,,,,,,,,,,칸다
TRATTORIA Jugemu,트라 토리아 주유지,https://retty.me/area/PRE13/ARE11/SUB1101/100000078276/,03-3254-9840,이탈리아 파스타 와인 바,"[월요일부터 금요일까지]
 11:30-13:00
 17:30-23:00
[토양]
 17:30-21:00",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔",Amex,"Akao Kosan Building, 2-1-14 Kajicho, Chiyoda-Ku, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (29m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 4 분 거리 (290m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 6 분 (450m)",50 석,없음,"(흡연 구역 이용 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"점심, 솔로, 엔터테인먼트, 크리스마스 저녁 식사, 와인, 세련된, 저녁, 쌀, 세련된 점심, 성인 날짜
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/2642791.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
GOOD DISH TOKYO,좋은 요리 도쿄,https://retty.me/area/PRE13/ARE11/SUB1101/100001583005/,03-6275-0722,이탈리아 요리,,,"점심:-
저녁 식사 : ~ 6,000 엔",,"1F, Kanda Nishikicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 4 분 거리 (250m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 (260m)
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보로 4 분 거리 (260m)",,,,,,PayPay 지불 가능,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/29750256.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,,칸다
trattoria Macco,트라 토리아 맥코,https://retty.me/area/PRE13/ARE11/SUB1101/100000762695/,03-3518-9662,이탈리아 요리 파스타 크림 choux,"[월요일부터 금요일까지]
점심 11 : 30-14 : 00 L.O. 14:00
저녁 식사 17 : 30-23 : 00 L.O. 22:00",매주 토요일마다 일요일 휴가,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",예,"Aoki Building 1f, 1-16-12 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 거리 (290m)
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보 4 분 (290m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역 (300m)에서 도보로 4 분",30 석,예,"불가능합니다
(입구 바로 옆에 흡연 구역이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"점심, 날짜, 여자 밤, 혼자, 크리스마스 저녁 식사, 와인, 세련된, 저녁 식사, 흡연, 점심 날짜, 여자의 밤, 세련된 점심, 이브닝 카페, 지불금 지불 가능
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34717269.jpg,PayPay,없음,,,,,,,,,,,,,,,,,,,,,,,칸다
イル・リストランティーノ,일 리스토란티노,https://retty.me/area/PRE13/ARE11/SUB1101/100000973042/,03-3865-0665,이탈리아 요리,,,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",,"2-9-12 Iwamotocho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / 코 덴 마흐 코 스테이션에서 도보로 3 분 거리 (220m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 5 분 거리 (350m)
Jr Sobu Main Line / Bakurocho 역에서 도보로 6 분 (410m)",,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"개인 실, 와인 음료, 금연",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/6933853.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
ステラコリス,스텔라 콜리스,https://retty.me/area/PRE13/ARE11/SUB1101/100000037035/,03-5296-8108,이탈리아 와인 바,"[월요일부터 금요일까지, 휴일 전]
 12:00-14:00 L.O. 13:30
 18:00-23:00 L.O. 22:00",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드","1-7-1 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (79m)
Jr Sobu 메인 라인 / 신-니혼 바시 (Shin-Nihonbashi Station)에서 도보로 3 분 (240m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 5 분 거리 (400m)",38 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,https://stella-collis.com/,"점심 연회 및 음주 파티 개인 방 작별 파티를 환영 파티 연말 파티 새해 파티를 마시는 와인 저녁 식사 저녁 식사를 마시지 않는 개인 방 점심
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36250530.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
