식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,외국어 지원,영상,전화 번호,쇼핑 직무 정보,페이스 북,X (트위터),추가 장비,인스 타 그램,IC 카드 지불,인근 시설,맥주 제작자
汁べゑ 渋谷店,Soupbee Shibuya 상점,https://retty.me/area/PRE13/ARE8/SUB802/100000011485/,03-3463-1010,이자카야 식당 바 일본 요리,"[태양, 월요일부터 금요일, 토요일]
저녁 식사 17:30-23:30 L.O. 22:00",하루 종일 개점,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
Amex
JCB",,"Dynes Ichibankan Shibuya Annex의 2F, 1-11-5 Jinnan, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (170m)",없음,82 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명",불가능합니다,https://raku-co.com/?page_id=373,,,,,,,"날짜, 소녀의 밤, 그룹 데이트, 개인 실, 독신, 성인 은신처, 크리스마스 저녁 식사, 술을 마시기, 어린이와 함께 즐기기, 세련된 저녁 식사, 쌀, 흡연 허용, 개인 실, 데이트, 세련된 개인 실, 그룹 데이트, 개인 실
다른 사용 장면을 참조하십시오",,,,예,,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/18320576.jpg,,,,,,,,,
らーめん はやし,라면 하야시,https://retty.me/area/PRE13/ARE8/SUB803/100000001001/,03-3770-9029,"라면, 쌀 라이스 패밀리라면, Tonkotsu라면, 소금라면","[월요일부터 금요일, 토요일, 휴일 전]
 11:30-15:30","매주 일요일과 공휴일
・ 수프가 다 떨어지 자마자 끝납니다","점심 : ~ 1,000 엔
저녁:-",불가능합니다,,"Social Dogenzaka 1f, 1-14-9 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (110m)
Keio Inokashira Line / Shinsen 역에서 도보 6 분 (480m)",없음,10 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"점심, 솔로, 세련된, 맛있고, 저렴하고, 금연, 세련된, 점심",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35172216.jpg,,,,,,,,,
麗郷 渋谷店,Reigou Shibuya 상점,https://retty.me/area/PRE13/ARE8/SUB806/100000004668/,03-3461-4220,대만 요리 중국 요리 캘리포니아 요리 음식 포장 마차 야키소바 야키토리,"[월요일부터 금요일까지]
점심 12:00-14:00
저녁 식사 17:00-23:00
[태양, 토요일, 휴일]
 12:00-23:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",불가능합니다,,"2-25-18 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (89m)
Keio Inokashira Line / Shinsen 역에서 도보로 7 분 (500m)",없음,"130 석
(카운터 10, 표 120)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,,,,,,,사용 가능한 예약,"점심, 데이트, 솔로, 크리스마스 저녁 식사, 음료수, 아이들과 함께 즐기기, 세련된, 저녁 식사, 쌀, 비 흡연, 점심 데이트, 세련된 점심, 애프터 파티
다른 사용 장면을 참조하십시오",,,,예,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36679105.jpg,,,,,,,,,
鳥竹総本店,Toritake 메인 상점,https://retty.me/area/PRE13/ARE8/SUB803/100000012364/,03-3461-1627,"Yakitori, Eel, Izakaya, Rice Bowl, 꼬치","[하루 종일]
 12:00-23:00 L.O. 22:00
자세한 내용은 공식 웹 사이트를 확인하십시오.","하루 종일 개점
정기 휴일 없음 (여름 휴가, 8 월 1 일 오번 휴일, 연말 및 새해 공휴일, 12/31 ~ 1/4 *준비가 가능하자마자 1/5에 열립니다).","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB",,"1-6-1 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Yamanote Line / Shibuya Station에서 1 분 도보 (42m)",없음,"128 석
(1 번째 지하실 바닥 (Tairway) 및 1 ~ 2 층 (테이블 및 카운터))",예,"불가능합니다
(모든 좌석은 금연합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://toritake.jp/,"교통 IC 카드 및 ID를 사용할 수 있습니다

◆ 예약 정보 ◆
[5 명 이상 / 오후 7시 / 2 시간에 입장] 우리는 전화를받습니다.
예약인의 수에 따라 상점에 들어갈 때 Covid-19 백신 접종 증명을 제시하도록 요청할 수 있습니다.",,,매장 내 준비,"맥주, 사케, 쇼치, 위스키",사용 가능한 예약,"점심, 데이트, 솔로, 체리 꽃보기, 크리스마스 저녁 식사, 음료수, 세련된, 저녁 식사, 비 흡연, 점심 날짜, 세련된 Wi-Fi, 애프터 파티
다른 사용 장면을 참조하십시오",,테이크 아웃 가능성,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000012364/archive/1657493-5EAA3122BF0E5.JPG,,,,,,,,,
麺飯食堂 なかじま,국수 요리 레스토랑 Nakajima,https://retty.me/area/PRE13/ARE8/SUB805/100000005913/,03-5774-1601,라면 중국식 요리 댄단 국수는 식사를 설정합니다,"[월요일부터 금요일까지]
 11:00-2:00
[태양, 토요일, 휴일]
 11:00-23:00","하루 종일 개점
임시 폐쇄를 사용할 수 있습니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"1F, Narse Building, 3-18-7 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (92m)","없음
근처 (할인 없음) 사용 가능",20 석,"예
(카운터에서 10 석)","불가능합니다
(완전 흡연 허용)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,,,,,,"맥주, 술, 샤 옥싱 와인이 있습니다",,"점심, 단일 용도, 주차장, 어린이와의 재미, 세련된, 저녁, 식사, 맛있고 저렴한 레스토랑, 비 흡연, 세련된 점심, 늦은 밤에 문을 엽니 다
다른 사용 장면을 참조하십시오",,,평상복,예,불가능합니다,불가능합니다,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3461834.jpg,,,,https://x.com/55nakag,,,,,
コックマン,Cockman,https://retty.me/area/PRE13/ARE8/SUB806/100000001908/,050-5262-3134,작은 레스토랑,"[월요일부터 금요일까지]
점심 11:30-14:30 L.O. 14:00
저녁 식사 17:30-21:30
[태양, 토요일, 휴일]
저녁 식사 17:00-21:30","하루 종일 개점
∎ 새해 공휴일에 문을 닫았습니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",예,PayPay,"Hotta Building 1f, 2-25-14 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (120m)
Keio Inokashira Line / Shinsen Station에서 도보로 7 분 (530m)",,40 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://kokkuman.foodre.jp/",,,,,,,"저녁 식사, 성인의 은신처, 점심, 모든 링크, 그룹 데이트, 소녀의 밤, 연회 및 음주 파티, 연말 파티, 날짜, 와인 음료, 새해 파티, 비 흡연, 점심, 여자 밤, 지불금 지불 가능, 크리스마스 저녁 식사, 환영 파티
다른 사용 장면을 참조하십시오",,,,예,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000001908/archive/2057541-5fa3c71847213.jpg,03-6416-9458,,,,,,,,
蒙古タンメン中本 渋谷,몽골 탄맨 나카모토 시부야,https://retty.me/area/PRE13/ARE8/SUB806/100000002535/,03-3462-1236,라면 츠케 멘 테이크 아웃 배달/배송,"[하루 종일]
 11:00-23:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",예,,"Shibito Shineware B2F, 2-6-17 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 1 분 (23m)",,30 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.moukotanmen-nakamoto.com/,,,,,,,"점심, 솔로, 스타일리시, 저녁, 쌀, 맛있고 저렴한 레스토랑, 비 흡연, 세련된, 슈퍼 매운 식당
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/31111460.jpg,,,,,,,,,
ムルギー,무루기,https://retty.me/area/PRE13/ARE8/SUB806/100000000206/,03-3461-8809,카레 인도 요리 카페 인디언 카레,"[Sun, 월요일부터 목요일, 토요일]
 11:30-15:00","매주 금요일, 공휴일
・ 계절 휴가를 이용할 수 있습니다","점심 : ~ 2,000 엔
저녁:-",불가능합니다,PayPay,"2-19-2 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (210m)
Keio Inokashira Line / Shinsen Station에서 도보 5 분 (370m)",,38 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://www.murugi.net/,,,,,,,"점심, 솔로, 세련된, 금연, 세련된, 점심, 급여 지불 지불 가능",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36105886.jpg,,,,,,,,,
人間関係 cafe de copain 渋谷,인간 관계 카페 De Copain Shibuya,https://retty.me/area/PRE13/ARE8/SUB802/100000007827/,03-3496-5001,카페 바 샌드위치 서양 과자,"[하루 종일]
 9:00-23:15",매년 1 월 1 일에 문을 엽니 다,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,,"16-12 Udagawacho, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (170m)",,"110 석
(45 개의 흡연 좌석 / 65 개의 금연 좌석)",예,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://kumagaicorp.jp/brand/ningenkankei/,,,,,,,"점심 여자 야간, 솔로 손님, 성인의 은신처, 와인, 브런치, 세련된, 아침, 저녁, 저녁, 흡연 허용, 점심 소녀 야간 카페
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35990404.jpg,,,https://www.facebook.com/cafedecopain/,,,,,,
ウーピーゴールドバーガー,Whoopi Gold Burger,https://retty.me/area/PRE13/ARE8/SUB805/100000010702/,03-3407-0232,"햄버거, 숯 구이, 테이크 아웃","[월요일, 수요일부터 금요일까지]
점심 12:00-15:00
저녁 식사 18 : 00-24 : 00 L.O. 23:00
[태양/토요일]
 12:00-24:00 L.O. 23:00","매주 화요일
주말 내내 문을 엽니 다","점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,PayPay,"Tocan Castre Shibuya 1f, 1-9-4 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (210m)",,"17 석
(11 개의 카운터 좌석, 6 개의 테라스 좌석)","예
(가게 내부에는 카운터 좌석 만 있으며 의자는 좁습니다. 외부에는 테이블이 있습니다.","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,https://wpgb.exblog.jp/,,,,,,,"점심, 연회 및 음주 파티, 싱글은 괜찮아, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 와인, 세련된, 저녁 식사, 쌀, 비 흡연, 세련된 점심, 크래프트 맥주, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35989756.jpg,,,,,,,,,
炭火焼 ゆうじ,숯을 구운 유지,https://retty.me/area/PRE13/ARE8/SUB802/100000000021/,03-3464-6448,"야키니쿠, 호르몬, 사시미, 카레, 쌀 그릇","[월요일부터 금요일까지]
저녁 식사 19:00-24:00 L.O. 23:30
[토양]
저녁 식사 18 : 30-24 : 00 L.O. 23:30",매주 일요일과 공휴일,"점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔",불가능합니다,,"Matsunuma 건물 1f, 11-1 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 5 분 거리 (380m)
Keio Inokashira Line / Shinsen Station에서 9 분 거리 (710m)",,15 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://yakiniku-yuji.com/,,,,,,사용 가능한 예약,"날짜, 연회 및 음주 파티, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 세련된, 저녁 식사, 쌀, 고기, 비 흡연, 세련된, 메리 크리스마스 2024
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32090279.jpg,,,,,,,,,
茶亭 羽當,찻집 하토,https://retty.me/area/PRE13/ARE8/SUB805/100000005581/,03-3400-9088,커피 숍 카페 샌드위치 푸딩 과자,"[하루 종일]
 11:00-23:30","하루 종일 개점
연말과 새해 공휴일을 확인하십시오","점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,,"Futaba Building 2F, 1-15-19 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Yamanote Line / Shibuya Station에서 도보로 1 분 (28m)",,54 석,예,"연기 분리
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"점심, 연회 및 음주 파티, 싱글은 환영합니다
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36866569.jpg,,,,,,,,,
フリーマン カフェ 渋谷メトロプラザ,프리먼 카페 시부야 메트로 플라자,https://retty.me/area/PRE13/ARE8/SUB805/100000002779/,03-5766-9111,"카페, 식당, 시라 수돈, 면도 된 아이스 바","[하루 종일]
 10:00-23:00 L.O. 22:30","불규칙한 휴일
・ 시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",Amex,PayPay,"2F, Metro Plaza, 1-16-14 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 1 분 (15m)",,87 석,예,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"점심, 여자 밤, 한 사람, 와인, 브런치, 세련된, 저녁 식사, 쌀, 흡연, 점심, 여자 밤, 세련된 점심, 이브닝 카페, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36665918.jpg,,,,,,,,,
もうやんカレー 246 渋谷店,Moyan Curry 246 Shibuya Branch,https://retty.me/area/PRE13/ARE8/SUB805/100000004545/,050-5462-2922,고기 바 카레 테이크 아웃 이자카야,"[하루 종일]
점심 11:30-15:30 L.O. 15:00
[월요일부터 금요일, 토요일, 휴일]
저녁 식사 18:00-23:00 L.O. 22:30
[낮]
저녁 식사 17:30-22:30 L.O. 22:00","하루 종일 개점
새해 휴일 (확인하십시오)
골든 위크, 오본","점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1f Seven Heights, 1-7-5 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 6 분 (430m)
도쿄 메트로 진 자 라인 / 오모 테산도 (Omotesando Station)에서 도보로 9 분 (660m)",없음,50 석,예,,없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명","[공식적인]
https://moyan-shibuya.foodre.jp/
https://www.moyan.jp/shibuya/",,"2,999 엔 미만, 3,000 엔 ~ 3,999 엔","ALL-YOU-CAN-DRINK 가격 : 3,000 엔 -4,999 엔, 3 시간 이상 동안 온 맨 링크",야채 요리 전문,"술, 쇼카, 와인, 칵테일",사용 가능한 예약,"점심 식사를 위해 홀로 술을 마시는 아이들과 함께 점심 즐거움 여신의 밤 엔터테인먼트 연회/음료 all-you-can-eat 및 음료 all-you-can-drink 흡연 허용 페이 페이 지불 이용 가능 전부-캔-마감 환영 파티 인기있는 레스토랑 온라인 예약 가능
다른 사용 장면을 참조하십시오",,테이크 아웃 가능성,,예,,예 (무료),예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000004545/archive/3068360-64772e19489e0.png,090-3348-7018,,,,,,,,
かつ吉 渋谷店,Katsuyoshi Shibuya 상점,https://retty.me/area/PRE13/ARE8/SUB805/100000005093/,03-5485-1123,"Tonkatsu, Kushikatsu, Sashimi, Izakaya, Katsudon, Rice Bowl, Jelly","[월요일부터 금요일까지]
 11:00-16:00 L.O. 15:00
 17:00-22:00
[토양]
 11:00-22:00
[일요일과 휴일]
 11:00-21:30 L.O. 20:30
마지막 항목 : 월요일 ~ 토요일 21:20",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","Amex
식당
JCB",,"B1F, KDC 빌딩, 3-9-10 시부야, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (160m)","없음
근처 (할인 없음) 사용 가능","90 석
(48 개의 테이블, 32 개의 타타미 매트 (Hori Kotatsu) 및 10 개의 카운터 시트)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,예,https://www.bodaijyu.co.jp/,,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스 및 8,000 엔 코스가 있습니다.",,우리는 야채 요리와 생선 요리에 대해 특히 알고 있습니다,"술, 쇼치, 와인",사용 가능한 예약,"점심, 개인 실, 단일 용도, 주차장, 어린이, 세련된, 개인 실, 개인 용도, 저녁 식사, 쌀, 비 흡연, 개인 실, 세련된 점심, 세련된 개인 실, 음료 Shochu가 가능합니다.
다른 사용 장면을 참조하십시오",차분한 분위기,"놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",,예,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35561203.jpg,,,,,,,,,
