식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,상점 웹 사이트,페이스 북,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,사용 장면,대기,서비스,Wi-Fi 사용,전화 번호,영상,IC 카드 지불,사적인,발언,예약,아이들이 들어 오세요,전원 공급 장치 사용,인스 타 그램,X (트위터),외국어 지원,드레스 코드,애완 동물,추가 장비
梅よし 不動前店,Umeyoshi Fudomae 매장,https://retty.me/area/PRE13/ARE13/SUB704/100000011825/,03-3779-1871,"야키토리, 사시미, 타카 요키","[월요일부터 금요일까지]
 11:00-14:00
 17:00-23:30 L.O. 23:00
[태양, 토요일, 휴일]
 17:00-23:00 L.O. 22:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",,PayPay,"5-1-20 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tokyu Meguro Line / Fudomae Station에서 도보 2 분 (120m)
JR Yamanote Line / Meguro 역에서 도보 10 분 (800m)
JR Yamanote Line / Gotanda Station 12 분 도보 (920m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,"점심, 솔로, 크리스마스 저녁 식사, 세련된 저녁, 저녁 식사, 쌀, 비소화, 세련된 점심, 급여 지불 지불, 캐주얼, 성인 연말 파티, Quick-End Party, 성인 새해 파티, 퀵 엔드 파티, Quick-End Party
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/16502056.jpg,,,,,,,,,,,,
kalavinka,칼라 킨카,https://retty.me/area/PRE13/ARE13/SUB704/100000026247/,03-5487-5501,창조적 인 요리 타이 요리,"[월요일부터 금요일까지]
점심 11:30-14:00
[월요일부터 금요일과 토요일]
저녁 18 : 00-27 : 00",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"3F Kuramochi Building, 1-5-15 메 구로, 메 구로 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 4 분 (280m)
Tokyu Meguro Line / Fudomae Station에서 도보 13 분 (990m)
JR Yamanote Line / Ebisu Station 17 분 도보 (1.3km)",없음,40 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.facebook.com/karyubinka,"5,000 ~ 5,999 엔 코스로 제공됩니다",,,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리, 샤 옥싱 와인","점심, 솔로, 성인 은신처, 크리스마스 저녁 식사, 와인, 저녁 식사, 쌀, 흡연, 심야, 급여 지불 지불, 세련된, 캐주얼, 성인 연말 파티, 퀵 엔드 파티, 성인 새해 파티
다른 사용 장면을 참조하십시오",개방성이 있습니다,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36831808.jpg,,,코스에서만 사용할 수 있습니다,사용 가능한 예약,,,,,,,,
ニュービストロガブリ 目黒店,새로운 비스트로 가브리 메 구로 매장,https://retty.me/area/PRE13/ARE13/SUB704/100001504713/,03-5793-1421,와인 바 비스트로 햄버거,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
점심 11:30-15:00 L.O. 14:30
[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:30-22:30 L.O. 21:30
[토요일/휴일]
저녁 식사 17:00-22:00 L.O. 21:00
위의 영업 시간은 2022 년 3 월 7 일부터 변경됩니다.
협력 해 주셔서 감사합니다.","매주 일요일
새해 휴일 (확인하십시오)
긴 휴가의 경우 마지막 날은 문을 닫습니다.","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Aqua Meguro B1F, 3-2-9 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 3 분 (170m)
Tokyu Meguro Line / Fudomae 역에서 도보로 12 분 (960m)
도쿄 메트로 남보쿠 라인 / 시로 카네이 스테이션에서 도보 13 분 (980m)",없음,66 석,"예
(13 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://a023351.gorp.jp/,,"4,000 엔에서 4,999 엔으로 구입할 수 있습니다","4,000 엔에서 4,999 엔, 3 시간 이상 동안 온 탁월한 링크가 포함 된 과정이 있습니다.","우리는 고기 요리에 대해 특별히 있으며, 생산 구역에 특히 특히 알레르기가있는 고객을 수용 할 수 있습니다.",,"점심 싱글 싱글 엔터테인먼트 성인 파티 성별 파티 환영 파티 크리스마스 저녁 파티 새해 마시는 와인을 마시는 와인 세련
다른 사용 장면을 참조하십시오","활발한 상점
숨는 곳","놀라운 응답 가능
축하 가능성",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001504713/archive/1148180-5d782b47a0ff7.jpg,,,PayPay를 사용할 수 있습니다.,,"예
아이들은 환영합니다, 유치원 어린이는 환영 받고, 초등학생은 환영 받고, 기저귀를 가져올 수 있고, 이유식을 가져올 수 있고, 이유식을 수용 할 수 있고, 알레르기 음식을 수용 할 수 있습니다",,https://www.instagram.com/gaburi_meguro/,,,,,TV 및 모니터 사용 가능
Bar E.A.T 目黒本店,Bar E.A.T Meguro Main Store,https://retty.me/area/PRE13/ARE13/SUB704/100000004554/,03-3491-5082,술집,"[하루 종일]
 18:00-27:00 L.O. 26:30
자세한 내용은 FB, IG 등과 같은 소셜 미디어를 방문하십시오.",불규칙한 휴일,"점심:-
저녁 식사 : ~ 4,000 엔",예,PayPay,"2F Honda Building, 1-5-16 Shimomeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 6 분 (410m)
Tokyu Meguro Line / Fudomae Station에서 도보로 12 분 (940m)
JR Yamanote Line / Ebisu Station 18 분 도보 (1.4km)",없음,"13 석
(7 개의 카운터 좌석, 6 개의 벽을 향한 카운터 좌석 (테라스 시트가 현재 폐쇄 됨)))))","예
(백 바를 향한 7 석, 벽을 향한 6 석)","예
완전히 흡연이 허용됩니다
(완전 흡연 허용)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,http://www.bar-eat.com/,https://www.facebook.com/bar.eat,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스 및 8,000 엔 코스가 있습니다.","전 만점 가격 : 3,000 엔 -4,999 엔",,"맥주, 쇼치, 와인, 위스키, 칵테일","데이트 all-you-can-drink, 솔로, 음료 와인, 세련된, 개인, 저녁 식사, 쌀, 흡연, 늦은 밤, 음료 Shochu, Paypay Payment, Casual
다른 사용 장면을 참조하십시오","풍경은 아름답습니다
나이트 뷰를 볼 수 있습니다","놀라운 응답 가능
축하 가능성",,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000004554/archive/3108451-64bcc19fe1d48.jpeg,,"예
최대 20 명까지 임대 할 수 있습니다",,사용 가능한 예약,,,,,,,,
New American Grill KANADE TERRACE ホテル雅叙園東京,New American Grill Kanade Terrace Hotel Gajoen 도쿄,https://retty.me/area/PRE13/ARE13/SUB704/100001358195/,03-5434-3854,스테이크 바 파스타,"[하루 종일]
점심 11:30-14:30 L.O. 14:30
저녁 식사 17 : 30-20 : 00 L.O. 19:00
자세한 내용은 공식 웹 사이트를 확인하십시오.",하루 종일 개점,"점심 : ~ 4,000 엔
저녁 식사 : ~ 6,000 엔",예,,"1F, 호텔 Gajoen 도쿄, 1-8-1 Shimomeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 4 분 (300m)
Tokyu Meguro Line / Fudomae 역에서 도보로 9 분 (690m)
JR Yamanote Line / Gotanda Station 15 분 도보 (1.2km)",,"144 석
(132 석 + 카운터에서 12 석)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",https://www.hotelgajoen-tokyo.com/restaurant/shop/kanadeterrace,,,,,,"점심 모든 당신이 먹는 여자 파티 모든 당신이 흠뻑 젖은 결혼 기념일 연회/음주 파티 개인 방에 약혼 저녁 식사 솔로 손님을위한 저녁 식사 작별 파티를 환영합니다.
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001358195/archive/54588-5baaf8087662b.jpg,,,,,,,,,,,,
コションローズ,코초 로즈,https://retty.me/area/PRE13/ARE13/SUB704/100000778033/,03-5708-5635,바 프랑스 요리 서부 요리 이자카야,"[월요일부터 금요일과 토요일]
저녁 식사 18 : 00-24 : 00 L.O. 23:00","매주 일요일
월요일이 공휴일이면 일요일에 문을 열고 월요일에 문을 닫습니다.","점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"2-8-4, Mita, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 9 분 (680m)
JR Yamanote Line / Ebisu Station 11 분 도보 (810m)
도쿄 도요코 라인 / 다이키 야마 역 18 분 도보 (1.4km)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,http://www.bal-cochonrose.com/,,,,,,"연회/음주 파티 작별 파티를 환영 파티 연말 파티 연말 파티를 마시는 새해 파티를 마시는 새해 파티 저녁 식사 저녁 식사를 마시는 금연 지불 이용 가능한 세련된 캐주얼 성인의 연말 파티 성인 새해 파티 신속한 새해 파티 신속한 새해 파티
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/4114705.jpg,,,,,,,,,,,,
目黒バル ぴんちょ Japanese Pinchos Bar Tokyo,메 구로 바 핀초 일본 핀초 바 도쿄,https://retty.me/area/PRE13/ARE13/SUB704/100001289419/,03-6420-3312,바 와인 바 사케 바 식당 바,"[월요일 ~ 목요일]
저녁 18 : 00-24 : 00
[금]
저녁 18 : 00-2 : 00
[토양]
저녁 식사 17:00-2:00
[일요일과 휴일]
저녁 식사 17:00-23:00",불규칙한 휴일,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"1-6-131, 메 구로, 메 구로 쿠, 도쿄, 2 층
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 5 분 (400m)
Tokyu Meguro Line / Fudomae 역에서 도보 13 분 (980m)
JR Yamanote Line / Ebisu Station 17 분 도보 (1.3km)",,46 석,예,"예
(IQO와 같은 전자 담배 만 담배를 피울 수 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.facebook.com/pinchos-japanese-pinchos-bar-tokyo-507101969494573/,,,,,"데이트 여자 파티 모든 냉장 그 그룹 날짜 연회 및 음주 파티 싱글 OK Entertainment 성인 숨겨진 작별 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 마시는 와인 세련된 저녁 식사
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001289419/archive/1232399-5dba90c27378.jpg,,,,,,,,,,,,
茶割 目黒,브라운 산산조각 메 구로,https://retty.me/area/PRE13/ARE13/SUB704/100001468143/,03-6417-9811,Izakaya Karaage Sashimi,"[Sun, 화요일, 금요일, 토요일 및 휴일]
 19:00-3:00 L.O. 2:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Sunwood Meguro, 1F, 지하, 1-3-28 Shimomeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 4 분 (290m)
Tokyu Meguro Line / Fudomae Station에서 도보로 12 분 (940m)
JR Yamanote Line / Ebisu Station 18 분 도보 (1.4km)","없음
근처 (할인 없음) 사용 가능","25 석
(서있는 음주실, 테이블 좌석 4 명 x 3)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://chawari.tokyo/,https://www.facebook.com/chawari.tokyo,,,고기 요리 전문,"맥주, 쇼치, 위스키","점심, 테라스, 저녁 식사, 급여 지불 지불 가능, 연말 파티, 새해 파티, 캐주얼","개방성이 있습니다
차분한 분위기
테라스가 있습니다",,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001468143/archive/2765842-62bd72907fd44.png,"Suica, Icoca, Hayakaken, Sugoca, Quicpay","예
최대 25 명까지 임대 할 수 있습니다
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 50 명",,사용 가능한 예약,불가능합니다,,https://www.instagram.com/chawari.tokyo/,,언어를 말할 수있는 직원이 있습니다,없음,불가능합니다,
マーダル目黒店,Mardal Meguro 매장,https://retty.me/area/PRE13/ARE13/SUB704/100000104401/,03-3442-3566,카레 인도 음식 이자카야,"[tue-fri-sat]
저녁 식사 18:00-22:00 L.O. 21:00
[낮]
점심 12:00-15:00 L.O. 14:00
영업 시간은 하루에 따라 다를 수 있습니다
[추가 비즈니스 시간]
팔리 자마자 끝납니다.
점심은 오후 3 시까 지 끝날 수 있습니다.","[폐쇄 일]
월요일

[정규 휴일에 대한 추가 정보]
1 월은 일요일에 문을 닫고 월요일에 문을 엽니 다. 월요일이 공휴일이라면 월요일 점심에만 문을 열고 화요일에는 문을 닫습니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"메 구로 비즈니스 아파트 5F, 2-15-2 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 2 분 (130m)
Tokyu Meguro Line / Fudomae 역에서 도보로 12 분 (930m)
도쿄 메트로 남보쿠 라인 / 시로 카네이이 스테이션 15 분 도보 (1.1km)","없음
근처 (할인 없음) 사용 가능","24 석
(24 테이블)","없음
(3 개의 카운터 좌석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상",https://madal-meguro.com/,https://www.facebook.com/madism/,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","5,000 엔 이상을위한 전산 된 코스가 포함되어 있으며, 2 시간 동안 온 All-You-Can-Drink, 2.5 시간 동안 온 All-You-Can-Drink, 3 시간 이상 싱글 링크가 있습니다.","알레르기, 채식 메뉴, 어린이 메뉴, 소유자 요리사, 매장 준비 가능","맥주, 쇼치, 와인, 위스키, 칵테일","점심, 데이트, 결혼 기념일, 그룹 데이트, 싱글 파티, 환영 파티, 작별 파티, All-you-can-drink, 쌀, 연말 파티, 새해 파티, 개인 점심, 개인 객실 날짜, 점심 날짜, 그룹 날짜, 개인 객실, 지불금 지불, 급여 지불 포인트
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
차분한 분위기
숨는 곳",테이크 아웃 가능성,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000104401/archive/275623-62b2cb3e4d0f9.png,Suica,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 11 명
최대 24 명을 임대 할 수 있습니다",,사용 가능한 예약,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",,,,"영어
언어 지원 메뉴가 있습니다",없음,불가능합니다,프로젝터 및 사운드 장비
シー メグロ,바다 메그로,https://retty.me/area/PRE13/ARE13/SUB704/100001600099/,03-6303-9441,Gyoza Auberge,"점심 세션 : 11 : 00-16 : 00 (L.O. 15:00)
야간 세션 : 17 : 00-23 : 00 (L.O. 21:30)",매주 화요일 매주 월요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",,PayPay,"4-5-31 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 6 분 (430m)
Tokyu Meguro Line / Fudomae 역에서 도보로 6 분 (480m)
JR Yamanote Line / Gotanda Station 10 분 도보 (790m)",,,예,,,https://shemeguro.com/,,,,,,"혼자서, 와인은 술에 취할 수 있습니다. 급여 지불 지불 이용 가능 캐주얼, 바삭 바삭한, 연말 파티, 바삭 바삭한, 새해-엔드 파티
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/29965399.jpg,,,,,,,https://www.instagram.com/shemeguro4531/,,,,,
焼肉ギュービッグ 目黒店,야키 니쿠기구 빅 메 구로 지점,https://retty.me/area/PRE13/ARE13/SUB704/100000061480/,03-6303-9529,이자카야 야키니 쿠,"[Sun, 화요일, 금요일, 토요일]
저녁 식사 18 : 00-24 : 00 L.O. 23:00","매주 월요일
새해 휴일 (확인하십시오)
Covid-19의 행정 지침에 따라
영업일 및 시간이 바뀔 수 있습니다. 이해 해주셔서 감사합니다.","점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"2f Cesar Meguro, 1-2-22 Shimomeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 3 분 (190m)
Tokyu Meguro Line / Fudomae Station에서 도보로 12 분 (920m)
JR Yamanote Line / Gotanda Station 17 분 도보 (1.3km)",없음,45 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.ac,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스",,"우리는 고기 요리, 매우 매운 메뉴 품목, 매장 내에서 준비된 매우 매운 메뉴에 대해 특별합니다.","맥주, 쇼치, 와인, 위스키, 칵테일","데이트, 솔로, 솔로, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 마시기 와인, 저녁 식사, 저녁 식사, 쌀, 고기, 비 금연, 무료 와이파이, 마시는 쇼치, 요리, 요리, 요리, 요리, 새해 파티, 새해 파티
다른 사용 장면을 참조하십시오","활발한 상점
숨는 곳","놀라운 응답 가능
축하 가능성",예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000061480/archive/113288-5d8499e3b38c1.jpeg,,,,,"불가능합니다
유아, 유치원 어린이, 초등학생을 환영합니다",,,,,,,
