식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,주소,입장,주차,좌석,흡연,개인 실,사적인,상점 웹 사이트,인스 타 그램,페이스 북,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,아이들이 들어 오세요,Wi-Fi 사용,전화 번호,영상,QR 코드 결제,카운터 좌석,강의,당신이 마실 수있는 모든 것,IC 카드 지불,X (트위터),서비스,대기,발언,애완 동물,외국어 지원,전원 공급 장치 사용,드레스 코드,추가 장비,맥주 제작자
千代,치유,https://retty.me/area/PRE13/ARE11/SUB1101/100000032145/,03-3291-0990,이자카야 쌀 그릇 해산물과 해산물 세트 식사,"[월요일부터 금요일까지, 휴일 전]
점심 11:00-14:00
저녁 식사 17:00-22:00",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,"신와 건물, 1-8 칸다 니시 치코, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 2 분 거리 (130m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 2 분 (140m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 2 분 거리 (140m)",,22 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 크리스마스 저녁 식사, 저녁 식사, 쌀, 금연",,,,https://ximg.retty.me/crop/s388x388/q80/das/-/retty/img_repo/2l/01/32743270.jpg,,"예
(4 석만.)",,,,,,,,,,,,,
神田 日本酒バル 酒趣,Kanda Sake Bar Sake Bar Sake,https://retty.me/area/PRE13/ARE11/SUB1101/100000768275/,03-3254-3353,이자카야 바 바 바,"[월요일부터 금요일, 토요일, 휴일 전]
저녁 식사 17:00-23:15 L.O. 22:45
마감 시간은 하루에 따라 다를 수 있습니다","매주 일요일과 공휴일
새해 휴일 (확인하십시오)
긴 휴가의 경우 마지막 날은 문을 닫습니다.
우리는 휴일 전 일요일에 문을 열었습니다.
[Mon-Sat] 음료 lo 22:45","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
JCB","야노 빌딩 1F, 5-5 칸다 코요 아코, 키 요다 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 4 분 (320m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 5 분 거리 (330m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 7 분 거리 (510m)",예,"16 석
(Covid-19를 방지하기 위해 카운터 좌석이 적을 수 있습니다.)","불가능합니다
(흡연 금지
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,https://www.facebook.com/kanda.shushu/,,"맥주, 사케, 와인",사용 가능한 예약,"싱글 OK Entertainment Sake Sake Dicke Micking Rice All-You-Can-Drink Farewell Party 쿠폰 이용 가능 급여 지불 지불 연말 파티 새해 파티 성인 날짜
다른 사용 장면을 참조하십시오",,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000768275/archive/2850927-632a7a61e980c.png,PayPay,"예
(파티션은 카운터 좌석에 설치됩니다. 불편을 끼쳐 드려 죄송합니다.",,"5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.",,https://x.com/shushu_kanda,,"차분한 분위기
숨는 곳",,,,,,,
名代カツ揚げ つらら,유명한 튀김 큐렛 ICilla,https://retty.me/area/PRE13/ARE11/SUB1101/100001770504/,050-5462-7952,이자카야는 식사 Tonkatsu Rice Bowl을 설정합니다,"[월요일부터 금요일, 토요일, 휴일 전]
점심 11:00-15:00
저녁 식사 17:00-22:00 L.O. 21:00",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드","Kanda Square 1f, 2-2-1 Kanda Nishikicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 3 분 거리 (230m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 3 분 거리 (240m)
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보로 3 분 거리 (240m)",없음,"48 석
(28 개의 카운터 좌석, 20 개의 테이블 좌석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,https://katsuage-tsurara.com/,https://www.instagram.com/katsuage_tsurara/,,,,사용 가능한 예약,"점심, 쌀, 저녁 식사, 급여 지불 지불 가능",,없음,03-6285-0800,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001770504/archive/3541415-67ca4cbddd585e.jpg,PayPay,예,,,,,,,,,,,,,
fratello,Fratello,https://retty.me/area/PRE13/ARE11/SUB1101/100000753081/,03-3242-0330,이탈리아 요리,"[월요일부터 금요일과 토요일]
 11:30-13:30
[월요일부터 금요일까지]
 17:30-23:00",,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",,"4-4-12 Nihonbashi Motoishicho, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 3 분 (180m)
JR Yamanote Line / Kanda (도쿄) 역 4 분 (250m)
도쿄 메트로 긴자 라인 / 미츠코시마 역에서 도보로 4 분 거리 (300m)",,,,,,,,https://www.facebook.com/fratello-617739048242387/,,,,점심 와인 음료 저녁 식사 라이스 페이 페이 지불 가능,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34017364.jpg,PayPay,,,,,,,,,,,,,,
USUAL B.,평소 B.,https://retty.me/area/PRE13/ARE11/SUB1101/100000085587/,03-5203-0707,이탈리아 바,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-24:00 L.O. 23:00",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",Amex,"4-4-16 Nihonbashi Motoishicho, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 2 분 (150m)
JR Yamanote Line / Kanda (도쿄) 스테이션 4 분 도보 (270m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 4 분 거리 (270m)",,27 석,,없음,,,,,,,,저녁 식사 이용 가능,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/23290467.jpg,PayPay,없음,,,,,,,,,,,,,
リストランテ・シャイー,Ristorante Chai,https://retty.me/area/PRE13/ARE11/SUB1101/100000454494/,03-3255-8655,이탈리아 요리,"[월요일부터 금요일까지, 휴일 전]
점심 11:30-14:30 L.O. 14:00
[월요일부터 금요일, 토요일, 휴일 전]
저녁 식사 18:00-23:00 L.O. 21:30",매월 매월 두 번째 토요일 매주 일요일 휴가,"점심 : ~ 2,000 엔
저녁 식사 : ~ 15,000 엔",Amex,"2-10-2 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 4 분 (320m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 5 분 거리 (370m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (470m)",,"10 석
(표 : 4 석, 카운터 좌석 : 6 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 날짜, 연회 및 음주 파티, 약혼 저녁 식사, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 와인, 저녁 식사, 쌀, 비 연소, 점심 날짜, 급여 판매 지불 가능
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000454494/archive/435076-5af56d8e3ca2a.jpg,PayPay,예,,,,,,,,,,,,,
GOOD DISH TOKYO,좋은 요리 도쿄,https://retty.me/area/PRE13/ARE11/SUB1101/100001583005/,03-6275-0722,이탈리아 요리,,,"점심:-
저녁 식사 : ~ 6,000 엔",,"1F, Kanda Nishikicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 4 분 거리 (250m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 (260m)
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보로 4 분 거리 (260m)",,,,,,,,,,,,PayPay 지불 가능,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/29750256.jpg,PayPay,,,,,,,,,,,,,,
caiman table,카이만 테이블,https://retty.me/area/PRE13/ARE11/SUB1101/100001281891/,050-5303-6581,이탈리아 파스타 바,"[월요일부터 금요일까지]
점심 11:30-13:30
저녁 식사 18:00-23:00 L.O. 21:30
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","Kadokura Building 1f, 4-5-15 Nihonbashi Motoishicho, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 3 분 거리 (190m)
JR Yamanote Line / Kanda (도쿄) 역 3 분 (240m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 4 분 거리 (310m)","없음
근처 (할인 없음) 사용 가능","23 석
(카운터 좌석/17 석, 6 인 상자 좌석/1 좌석)","불가능합니다
(상점 밖에서 이용 가능한 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://caiman-table.foodre.jp/
https://www.caiman-table.com",,,"우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료 및 요리사가 유명한 레스토랑에서 훈련을 받았으며 매장 내에서 준비했습니다.",맥주와 와인이 있습니다,저녁 식사 시간에만 사용할 수 있습니다,"생일, 솔로 손님, 그룹 데이트, 저녁 식사, 점심 날짜, 맛있는 레스토랑 및 저렴한 레스토랑, 급여 지불 지불, 온라인 예약 가능, 연말 파티, 크리스마스 저녁 식사, 새해 파티, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오",,예,03-3241-0151,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001281891/archive/940438-5ce7b97595a77.jpg,PayPay,예,"5,000 ~ 5,999 엔 코스로 제공됩니다","5,000 엔 이상을 사용할 수 있습니다",,,축하 가능성,"차분한 분위기
숨는 곳","∎ 점심 코스 만 예약 할 수 있습니다.
・ 금요일에 많은 예약이 있으므로 일찍 예약하십시오.",,,예 (무료),없음,,
ステラコリス,스텔라 콜리스,https://retty.me/area/PRE13/ARE11/SUB1101/100000037035/,03-5296-8108,이탈리아 와인 바,"[월요일부터 금요일까지, 휴일 전]
 12:00-14:00 L.O. 13:30
 18:00-23:00 L.O. 22:00",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드","1-7-1 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (79m)
Jr Sobu 메인 라인 / 신-니혼 바시 (Shin-Nihonbashi Station)에서 도보로 3 분 (240m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 5 분 거리 (400m)",,38 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://stella-collis.com/,,,,,,"점심 연회 및 음주 파티 개인 방 작별 파티를 환영 파티 연말 파티 새해 파티를 마시는 와인 저녁 식사 저녁 식사를 마시지 않는 개인 방 점심
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36250530.jpg,,예,,,,,,,,,,,,,
トラットリア日月,트라 토리아 태양과 달,https://retty.me/area/PRE13/ARE11/SUB1101/100001725903/,03-3518-2212,이탈리아 요리,,,"점심 : ~ 2,000 엔
저녁 식사 : ~ 10,000 엔",,"2-3-10 Kanda Nishikicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 5 분 거리 (340m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 5 분 (350m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 5 분 (350m)",,,,,,https://hizuki.tokyo/,https://www.instagram.com/hizuki.trattoria/,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34680154.jpg,,,,,,,,,,,,,,,
Trevi,트레비,https://retty.me/area/PRE13/ARE11/SUB1101/100000828809/,03-5289-8868,이탈리아 요리,"[월요일부터 금요일과 토요일]
 17:00-26:00",매주 일요일과 공휴일,"점심:-
저녁 식사 : ~ 5,000 엔","Amex
JCB","Sasajima Building 1f, 2-1 Kanda Tacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 3 분 (190m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 거리 (310m)
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보로 4 분 거리 (310m)",,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,와인이 있습니다,,"저녁 식사, 흡연 허용, 늦은 밤에 문을 열고, 급여 지불 지불 허가",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/20837204.jpg,PayPay,예,,,,,,,,,,,,,
trattoria Macco,트라 토리아 맥코,https://retty.me/area/PRE13/ARE11/SUB1101/100000762695/,03-3518-9662,이탈리아 요리 파스타 크림 choux,"[월요일부터 금요일까지]
점심 11 : 30-14 : 00 L.O. 14:00
저녁 식사 17 : 30-23 : 00 L.O. 22:00",매주 토요일마다 일요일 휴가,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",예,"Aoki Building 1f, 1-16-12 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 거리 (290m)
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보 4 분 (290m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역 (300m)에서 도보로 4 분",없음,30 석,"불가능합니다
(입구 바로 옆에 흡연 구역이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 날짜, 여자 밤, 혼자, 크리스마스 저녁 식사, 와인, 세련된, 저녁 식사, 흡연, 점심 날짜, 여자의 밤, 세련된 점심, 이브닝 카페, 지불금 지불 가능
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34717269.jpg,PayPay,예,,,,,,,,,,,,,
イルフルロ,Ilfluro,https://retty.me/area/PRE13/ARE11/SUB1101/100001211278/,03-3293-0194,이탈리아 요리 와인 바 이탈리아 바 바 해산물 프랑스 파스타,"[월요일부터 금요일, 토요일, 휴일 전]
 11:00-14:30 L.O. 14:30
[월요일부터 금요일까지, 휴일 전]
 17:00-22:00 L.O. 22:00",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","Sanhiro Biko Building 1f, 1-2-6 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마시 (도쿄) 역에서 도보로 4 분 거리 (250m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 6 분 거리 (410m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (420m)",,22 석,"불가능합니다
(밖에서 담배를 피울 수 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,"http://www.il-furlo.com
https://youtu.be/vgs9rurllrg?list=plrrs3urhhz_4enqomiecowpflwltqmvc8",,,,,,"점심, 저녁, 저녁 식사, 금연, 급여 지불 지불 가능",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3409711.jpg,PayPay,예,,,,,,,,,,,,,
イル・リストランティーノ,일 리스토란티노,https://retty.me/area/PRE13/ARE11/SUB1101/100000973042/,03-3865-0665,이탈리아 요리,,,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",,"2-9-12 Iwamotocho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / 코 덴 마흐 코 스테이션에서 도보로 3 분 거리 (220m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 5 분 거리 (350m)
Jr Sobu Main Line / Bakurocho 역에서 도보로 6 분 (410m)",,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,"개인 실, 와인 음료, 금연",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/6933853.jpg,,예,,,,,,,,,,,,,
TRATTORIA Jugemu,트라 토리아 주유지,https://retty.me/area/PRE13/ARE11/SUB1101/100000078276/,03-3254-9840,이탈리아 파스타 와인 바,"[월요일부터 금요일까지]
 11:30-13:00
 17:30-23:00
[토양]
 17:30-21:00",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔",Amex,"Akao Kosan Building, 2-1-14 Kajicho, Chiyoda-Ku, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (29m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 4 분 거리 (290m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 6 분 (450m)",,50 석,"(흡연 구역 이용 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 엔터테인먼트, 크리스마스 저녁 식사, 와인, 세련된, 저녁, 쌀, 세련된 점심, 성인 날짜
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/2642791.jpg,,없음,,,,,,,,,,,,,
や台ずし 神田駅西口町,Yadai Sushi Kanda Station West Exit Town,https://retty.me/area/PRE13/ARE11/SUB1101/100001147542/,03-6206-8813,스시 이자카야,"[월요일부터 금요일과 토요일]
 16:00-27:30
[일요일과 휴일]
 16:00-23:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 3,000 엔",Amex,"1f Imonuchi Kanda 3-Chome Building, 3-12-5 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (61m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (430m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 7 분 거리 (500m)",,38 석,,없음,,https://yossix-shop.com/detail/2044,,,,,,저녁 식사는 밤에 늦게 영업하는 지불금 지불이 가능합니다,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/18131198.jpg,PayPay,예,,,,,,,,,,,,,
