식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,IC 카드 지불,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,영상,인스 타 그램,외국어 지원,QR 코드 결제,발언,페이스 북,X (트위터),추가 장비,온라인 예약,맥주 제작자
ムーチョ モダンメキシカーノ,Mucho Modern Mexicano,https://retty.me/area/PRE13/ARE15/SUB1504/100000008706/,03-5218-2791,멕시코 음식,"[월요일부터 금요일까지]
점심 11:00-15:00
저녁 식사 17:00-23:00
[토요일/휴일 전]
 11:00-23:00
[일요일과 휴일]
 11:00-22:00
자세한 내용은 공식 웹 사이트를 확인하십시오.","하루 종일 개점
자세한 내용은 공식 웹 사이트를 확인하십시오.
시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"도쿄 건물 Tokia 2F, 2-7-3 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 2 분 (86m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 5 분 (350m)
도쿄 메트로 유라쿠코 라인 / Ginza 1-Chome 역에서 도보 5 분 (370m)",,96 석,예,"불가능합니다
(수동 흡연 조치 (Advanced Health Promotion Act)에 관한 법률은 2020 년 4 월 1 일부터 발효되었습니다. 최신 정보는 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.huge.co.jp:443/restaurant/modern-mexicano/mucho,,,,,,"점심, 데이트, 소녀의 밤, 모든 멍청한 링크, 그룹 데이트, 싱글, 크리스마스 저녁 식사, 와인, 세련된, 영어를 사용하는, 저녁 식사, 저녁, 저녁 식사, 비영리, 점심 날짜, 여자 밤, 세련된 점심
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3691583.jpg,,"영어
언어 지원 메뉴가 있습니다",PayPay,,,,,,
東京タンメン トナリ 丸の内店,도쿄 탄맨 Tonari Marunouchi 매장,https://retty.me/area/PRE13/ARE15/SUB1504/100000001464/,03-3240-6066,"라면, 조지, 된장라면, 츠케 맨, 카라우지, 쌀 그릇, 소금라면","[하루 종일]
 11:00-21:45 L.O. 21:45","하루 종일 개점
・ 시설과 동일합니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",예,,"도쿄 건물 Tokia B1F, 2-7-3 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (67m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 5 분 (330m)
도쿄 메트로 유라쿠코 라인 / Ginza 1-Chome Station에서 도보 5 분 (350m)",,20 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 스타일리시, 저녁, 쌀, 맛있고 저렴한 레스토랑, 비 흡연, 세련된, 슈퍼 매운 식당
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35763614.jpg,,,,,,https://x.com/tanmen_tonari,,,
塩ラーメン専門 ひるがお 東京駅店,"Hirugao, 소금라면 전문점, 도쿄 역",https://retty.me/area/PRE13/ARE15/SUB1504/100000004369/,03-3213-7000,라면 오야 코돈 된장라면 gyoza 쓰레 멘 쌀 그릇 음식 마구간 tonkotsu라면 소금라면,"[하루 종일]
 10:00-23:00 L.O. 22:30","하루 종일 개점
설","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"도쿄 역 Ichibangai B1F, 1-9-1 Marunouchi, Chiyoda-Ku, 도쿄 라멘 거리 내부
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (45m)
도쿄 메트로 긴자 라인 / 키오바시 (도쿄) 역에서 도보로 6 분 거리 (410m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 6 분 거리 (420m)",,"22 석
(8 개의 카운터 좌석, 14 개의 테이블 좌석)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.setaga-ya.com/,,,,,,"점심, 솔로, 브런치, 세련된, 저녁 식사, 쌀, 맛있고, 싸고, 금연, 세련된, 점심
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34430332.jpg,,,,,,,,,
まんてん鮨 丸の内,Manten Sushi Marunouchi,https://retty.me/area/PRE13/ARE15/SUB1504/100000000694/,03-6269-9100,스시 카포/작은 식당 사시미,"[월요일부터 금요일과 토요일]
점심 11:00-15:00 L.O. 14:00
저녁 식사 17:00-23:00 L.O. 21:30
[일요일과 휴일]
점심 11:00-15:00 L.O. 13:30
저녁 식사 17:00-22:00 L.O. 20:30","불규칙한 휴일
・ 새해 공휴일 (확인하십시오)","점심 : ~ 3,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
식당
JCB",Suica,"Marunouchi Bricks Square B1F, 2-6-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (57m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 2 분 거리 (160m)
도쿄 메트로 히비야 라인 / 히비야 역에서 도보 3 분 (180m)",예,24 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.manten-sushi.com/,,,,,,"점심, 데이트, 여자의 밤, 결혼 기념일, 싱글 OK, 엔터테인먼트, 체리 꽃보기, 체리 꽃보기, 크리스마스 저녁, 술 마시기, 와인, 세련된, 저녁 식사, 비 흡연, 생일
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35393574.jpg,,,,,,,,,
根室花まる KITTE丸の内店,Nemuro Hanamaru Kitte Marunouchi 매장,https://retty.me/area/PRE13/ARE15/SUB1504/100000791252/,03-6269-9026,컨베이어 벨트 스시 초밥 해산물과 해산물 요리 사시미,"[월요일부터 금요일과 토요일]
 11:00-23:00 L.O. 22:00
[일요일과 휴일]
 11:00-22:00 L.O. 21:00",하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔",예,,"5F, 2-7-2 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (75m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 4 분 거리 (320m)",,67 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.sushi-hanamaru.com,,,,,,"점심, 솔로, 세련된, 저녁 식사, 쌀, 비 흡연, 세련된, 점심",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35591824.jpg,,,,,,,,,
お好み焼 きじ 丸の内店,Okonomiyaki Kiji Marunouchi 지점,https://retty.me/area/PRE13/ARE15/SUB1504/100000453930/,03-3216-3123,Okonomiyaki Yakisoba Takeout Izakaya,"[하루 종일]
점심 11:00-15:00
저녁 식사 17:00-23:00 L.O. 22:00","하루 종일 개점
・ 새해 공휴일 (확인하십시오)","점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",예,,"도쿄 건물 Tokia B1F, 2-7-3 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 2 분 (81m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 5 분 (340m)
도쿄 메트로 유라쿠코 라인 / Ginza 1-Chome Station에서 도보 5 분 (360m)",,"42 석
(8 개의 카운터 좌석, 34 개의 테이블 좌석)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://www.o-kizi.jp/,,,,,,"점심, 솔로, 음료 와인, 세련된, 저녁 식사, 쌀, 금연, 세련된 점심
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35127888.jpg,,,,,,,,,
リトル小岩井,작은 코이 와이,https://retty.me/area/PRE13/ARE15/SUB1504/100000448024/,03-3201-2024,"파스타, 테이크 아웃, 기념품, 샌드위치","[월요일부터 금요일까지]
 10:00-20:00
토요일에 개장 시간이 없습니다",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"Otemachi Building, 1-6-1 Otemachi, Chiyoda-Ku, 도쿄 B2F
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 1 분 (63m)
JR Yamanote Line / 도쿄 역에서 도보로 5 분 (340m)",,14 석,없음,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.marunouchi.com/tenants/6029/,,,,,,"점심, 솔로, 브런치, 세련된, 저녁 식사, 쌀, 맛있고 저렴한 레스토랑, 비 흡연, 세련된, 점심, 주변 식사
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35774036.jpg,,,,,,,,,
ウルフギャング・ステーキハウス　丸の内店,Wolfgang Steakhouse Marunouchi 지점,https://retty.me/area/PRE13/ARE15/SUB1504/100001177929/,03-5224-6151,"스테이크, 테이크 아웃, 노인 고기, 와인 바, 햄버거, 해산물 및 해산물","[하루 종일]
 11:30-23:30 L.O. 22:30",하루 종일 개점,"점심 : ~ 6,000 엔
저녁 식사 : ~ 15,000 엔",예,,"Marunouchi Myplaza Meiji Seimeikan B1F, 2-1-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 1 분 거리 (79m)
JR Yamanote Line / 도쿄 역에서 도보 2 분 (140m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (150m)",,"170 석
(124 개의 식당, 4 개의 전용 객실, 12 개의 바 및 카운터)",예,"불가능합니다
(시설의 흡연 구역을 사용하십시오)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상",,https://wolfgangssteakhouse.jp/,,,,,,"점심, 데이트, 여자의 밤, 결혼 기념일, 개인 실, 약혼 저녁 식사, 싱글 OK, 엔터테인먼트, 크리스마스 저녁 식사, 마시는 와인, 세련된, 저녁 식사, 쌀, 고기, 금연, 생일, 개인 객실 점심, 개인 방 날짜
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3664697.jpg,,,,,,,,,
Cafe 1894,카페 1894,https://retty.me/area/PRE13/ARE15/SUB1504/100000016192/,03-3212-7156,카페 과자 이탈리아 요리 햄버거 초콜릿,"[하루 종일]
 11:00-18:00 L.O. 17:00","불규칙한 휴일
새해 휴일 (확인하십시오)
[업무 시간의 변화 통지]

우리는 정기적으로 상점을 사용한 것에 대해 진심으로 감사를 표하고 싶습니다.
응급 선언 상태에 따라
영업 시간은 9 월 1 일 수요일부터 9 월 12 일 일요일에서 9 월 12 일 일요일에서 다음과 같이 변경됩니다.

■ 개막 시간 : 11 : 00-18 : 00 (L.O. 17:00)

*알코올은 그 기간 동안 하루 종일 취소됩니다.
*향후 시간이 짧아서 시간이 짧아 질 수 있습니다. 주목하십시오.","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",예,,"Mitsubishi Ichigokan Art Museum, 2-6-2 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (37m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (210m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 3 분 거리 (220m)",예,94 석,없음,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,https://mimt.jp/cafe1894/index.html,,,,,,"점심, 데이트, 여자 밤, 싱글 링크, 싱글 OK, 크리스마스 저녁, 와인, 와인, 세련된, 테라스, 비 흡연, 생일, 점심 데이트, 여자의 밤, 세련된 점심
다른 사용 장면을 참조하십시오",테라스가 있습니다,,없음,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100000016192/archive/247000-613fed471dde1.jpg,,,,,,,,,
おいしいおうどん つるとんたん BIS TOKYO,맛있는 Udon Tsuttontan Bis 도쿄,https://retty.me/area/PRE13/ARE15/SUB1504/100000005067/,050-5303-2739,이자카야 테이크 아웃 스시 우동,"[월요일부터 금요일까지]
 11:00-22:00 L.O. 21:00
[태양, 토요일, 휴일]
 10:30-22:00 L.O. 21:00
*우리의 상점은 항상 요청에 따라 열려 있습니다.","하루 종일 개점
새해 휴일 (확인하십시오)","점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
식당
JCB","Suica, Quicpay","도쿄 건물 Tokia B1F, 2-7-3 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 2 분 (86m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 5 분 (350m)
도쿄 메트로 유라쿠코 라인 / Ginza 1-Chome 역에서 도보 5 분 (370m)",예,57 석,예,"불가능합니다
(흡연은 오후 3 시까 지 완전히 금연합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,불가능합니다,https://www.tsurutontan.co.jp/shop/bis-tokyo/,"2,999 엔 미만의 코스","전 만점 가격 : 2,000 엔 -2,999 엔",,"술, 쇼카, 와인, 칵테일",사용 가능한 예약,"싱글 OK 점심, 점심, 점심, 저녁 식사, 데이트, 그룹 데이트, 결혼 기념일, 개인 객실 점심, 파워 카페, 온라인 예약 가능, 연말 파티, 새해 파티, 개인 룸, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오",,테이크 아웃 가능성,,"예
초등학생들은 환영합니다",,,예,03-3214-2626,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000005067/archive/637763-5cd3c9344d.jpg,,,,"id, paypay, dpay, rakuten pay, au paypments가 가능합니다.",,,,,
A16 TOKYO,A16 도쿄,https://retty.me/area/PRE13/ARE15/SUB1504/100000002607/,03-3212-5215,이탈리아 요리 파스타 피자 초콜릿 카페,"[월요일부터 금요일, 토요일, 휴일 전]
 11:00-23:00 L.O. 22:00
[일요일과 휴일]
 11:00-22:00 L.O. 21:00","불규칙한 휴일
(Marunouchi Brick Square와 동일)","점심 : ~ 3,000 엔
저녁 식사 : ~ 4,000 엔",예,,"Marunouchi Brick Square 1f, 2-6-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (56m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (170m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 3 분 거리 (190m)",,"96 석
(상점에서 70 석 + 테라스의 26 석)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.giraud.co.jp/a16/index.html,,,,,,"점심, 데이트, 여자의 밤 외출, 솔로, 크리스마스 저녁 식사, 음료 와인, 세련된, 저녁 식사, 비 흡연, 생일, 점심 데이트, 여자의 밤 외출, 세련된, 점심, 애프터 파티
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3330888.jpg,,,,,,,,,
酢重正之 楽,Sushige Masayuki Easy,https://retty.me/area/PRE13/ARE15/SUB1504/100000016332/,03-5218-5050,소바 (소바) 쌀 그릇 이자카야 카레,"[월요일부터 금요일까지]
 11:00-23:00 L.O. 22:30
[토양]
 11:00-22:00 L.O. 21:30
[일요일과 휴일]
 11:00-21:30 L.O. 21:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",예,,"신 마루 노우치 빌딩, 1-5-1 마루치, 키 요다 쿠, 도쿄, B1F
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (60m)
도쿄 메트로 마루치 라인 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (200m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (230m)",,"14 석
((카운터 만 해당)))",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 체리 꽃보기, 체리 꽃보기가있는 레스토랑, 음료, 세련된, 저녁 식사, 쌀, 비 흡연, 세련된 점심, 선명한, 연말, 새해 파티
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35008081.jpg,,,,,https://www.facebook.com/sujumasayuki,,,,
AWkitchen TOKYO 新丸ビル店,Awkitchen 도쿄 신 마루 빌딩 스토어,https://retty.me/area/PRE13/ARE15/SUB1504/100000004452/,050-5262-4614,이탈리아 점심 뷔페,"[월요일부터 금요일까지]
 11:00-15:30 L.O. 14:30
[월요일부터 금요일과 토요일]
 17:00-2:00 L.O. 23:00
[태양, 토요일, 휴일]
 11:00-16:00 L.O. 15:30
[일요일과 휴일]
 17:00-22:00 L.O. 21:00","하루 종일 개점
신 마루치 건물과 동일합니다","점심 : ~ 3,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex",,"신 마루치 건물의 5 층, 1-5-1 마루치 마주치, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 4 분 (250m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 4 분 거리 (320m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 6 분 (480m)","없음
이웃 P (할인) 사용 가능",100 석,예,,없음,"예
임대 가능 (좌석) : 80 명
예약 할 수있는 제한된 수 (스탠드 스탠딩 식사) : 180 명","[공식적인]
https://awkitchentokyo-shinmarubld.foodre.jp/
https://aw-kitchen.com/1653/","8,000 엔 이상의 코스",,야채 요리 전문,"쇼 쿠, 와인, 칵테일",사용 가능한 예약,"소녀의 밤, 날짜, 기념일, 점심, 저녁 식사, 크리스마스 저녁 식사, 연말 파티, 올해 파티, 와인을 마시는 새해 파티, 소녀의 밤, 세련된 점심, 심야 오프닝, 작별 파티, 환영 파티, 점심 음주, 냉정, 성인 데이트
다른 사용 장면을 참조하십시오","차분한 분위기
상업용 시설에 위치합니다","놀라운 응답 가능
축하 가능성
소믈리에가 있습니다",,예,,,,03-5224-8071,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000004452/archive/2412514-60dd735ed9a09.jpeg,,"영어
직원과 함께 언어 지원 메뉴가 있습니다",,,,,,,
