식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,아이들이 들어 오세요,Wi-Fi 사용,전화 번호,영상,인스 타 그램,페이스 북,X (트위터),IC 카드 지불,발언,서비스,드레스 코드,애완 동물,전원 공급 장치 사용,추가 장비,외국어 지원
à la 麓屋,à la fukoya,https://retty.me/area/PRE13/ARE16/SUB1302/100000011275/,03-3451-6882,소바 (소바) 쌀 그릇 tonkotsu 라멘이자 카야,"[월요일부터 금요일까지]
점심 11 : 15-15 : 30
저녁 식사 17:30-22:30",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"5-26-10 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 2 분 거리 (110m)
JR Yamanote Line / Tamachi (도쿄) 역 3 분 (210m)
Toei Mita Line / Shibakoen Station에서 도보 8 분 (600m)",,"10 석
(독립형 식사도 가능합니다)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 연회 및 음주 파티, 싱글, 싱글, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 술 마시기, 와인, 세련된, 저녁 식사, 쌀, 비 흡연, 세련된 점심, 마시는 쇼치
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36625156.jpg,,,,,,,,,,,
ばさら,바사라,https://retty.me/area/PRE13/ARE16/SUB1302/100000004595/,03-5444-6700,"Sukiyaki, 일본 요리, Kaiseki 요리, Shabu-Shabu, Hotpot","[월요일부터 금요일과 토요일]
점심 11 : 30-15 : 00 L.O. 14:00
[월요일부터 금요일까지]
저녁 식사 17 : 30-23 : 00 L.O. 21:30
[토요일/휴일]
저녁 식사 17:30-22:30 L.O. 21:00
[낮]
저녁 식사 17:30-22:00 L.O. 21:00","불규칙한 휴일
새해 공휴일 동안의 업무 시간에 관한

이 매장은 2016 년 12 월 30 일부터 2017 년 1 월 5 일까지 문을 닫습니다.

우리는 2017 년 1 월 6 일 오전 11시 30 분에 문을 열 것입니다.
유지 보수 등으로 인해 영업 시간이 변경 될 수 있습니다.","점심 : ~ 3,000 엔
저녁 식사 : ~ 15,000 엔","Amex
JCB",,"1st Bardement Floor, KDX Mita Building, 3-43-16 Shiba, Minato-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (Tokyo) 역에서 도보 6 분 (450m)
Toei Oedo Line / Akabanebashi Station 6 분 도보 (460m)
Toei Mita Line / Shibakoen Station 7 분 도보 (510m)",없음,"58 석
(개인 실을 사용하는 경우 별도의 객실 요금이 청구됩니다. ■ 반-프라이버시 룸 : 객실당 3.000 엔 ■ 완전히 개인 실 : 5.000 엔 점심, 8.000 엔 저녁 식사)",없음,"불가능합니다
(완전히 금연 (흡연 구역 이용 가능))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명",https://mita-basara.com/,"5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.",,,"술, 쇼카, 와인, 칵테일",사용 가능한 예약,"점심, 데이트, 결혼 기념일, 연회 및 음주 파티, 개인 실, 약혼 저녁 식사, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 체리 꽃보기, 체리 꽃의 전망, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 술을 마실 수 있습니다.
다른 사용 장면을 참조하십시오",숨는 곳,"예
초등학생들은 환영합니다",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000004595/archive/123580-5884955ca068f.png,,,https://x.com/mitabasara,,"개인 실을 사용하는 경우 별도의 객실 요금이 청구됩니다.

■ 반 개인 객실 : 객실당 3.000 엔

■ 완전히 개인 실 : 점심 5.000
저녁 식사 ¥ 8.000",음료를 가져올 수 있습니다,,,,,
ビストロ ローブン 三田,비스트로 로버 미타,https://retty.me/area/PRE13/ARE16/SUB1302/100000837972/,03-3452-5110,비스트로 햄버거 서부 음식 프랑스 음식,"[하루 종일]
점심 11:30-14:30 L.O. 14:00
저녁 식사 17 : 30-23 : 00 L.O. 22:00
*불규칙한 휴일
*사전 통지없이 문을 닫을 수 있습니다.
*최신 정보는 공식 Instagram을 확인하거나 전화로 문의하십시오.
*공식 Instagram @Roven_Mita",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔",Amex,PayPay,"4-13-11 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 2 분 거리 (140m)
JR Yamanote Line / Tamachi (도쿄) 역 4 분 (290m)
Toei Mita Line / Shibakoen Station 7 분 도보 (550m)",없음,32 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 14 명
최대 24 명을 임대 할 수 있습니다",https://www.roven.jp/mita/,"4,000 엔에서 4,999 엔 코스, 6,000 엔에서 6,999 엔 코스, 8,000 엔 이상이 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2 시간의 모든 곡선","우리는 야채 요리, 고기 요리, 매장 내에서 준비된 것입니다.","맥주, 와인, 위스키, 칵테일",저녁 식사 시간에만 사용할 수 있습니다,"점심, 데이트, 여자 밤, 약혼, 싱글, 엔터테인먼트, 엔터테인먼트, 성인의 은신처, 크리스마스 저녁 식사, 와인, 와인, 세련된, 개인 공간, 저녁 식사, 쌀, 스모킹, 점심 날짜
다른 사용 장면을 참조하십시오",,예,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000837972/archive/2873124-6345387c399ae.jpg,https://www.instagram.com/roven_mita/,,,,"코스 식사에 대해
*취소는 전날까지 허용됩니다
*하루에 취소되면 취소 수수료를 청구합니다.","축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성",,,,,
麺屋武蔵 芝浦店,Menya Musashi Shibaura 지점,https://retty.me/area/PRE13/ARE16/SUB1302/100000881288/,03-3453-3634,"라면, Gyoza, 테이크 아웃, Tsukemen, 쌀 그릇, 된장라면","[태양, 월요일부터 금요일, 토요일]
점심 11 : 15-15 : 00
저녁 식사 17:00-22:15",매년 1 월 1 일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,PayPay,"Tiger Mansion Tamachi, 3-12-5 Shibaura, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (390m)
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 7 분 거리 (510m)
Yurikamome / Shibaura Pier Station에서 도보로 12 분 (920m)",,"35 석
(테이블 좌석은 4 명 x 3, 6 명 x 1)","예
(15 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://menya634.co.jp/,,,,,,"점심, 솔로, 세련된, 저녁 식사, 쌀, 맛있고, 싸고, 금연, 세련된, 점심, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/14349222.jpg,,https://www.facebook.com/menya634,https://x.com/mennya634,,,,,,,,
鳥一代 本店,토리 이치다이 메인 매장,https://retty.me/area/PRE13/ARE16/SUB1302/100000652274/,03-3798-3400,한국 요리 Izakaya Sashimi Rice Bowl Kyushu Cuisine Yakitori,"[월요일부터 금요일까지]
점심 11:30-14:00
저녁 식사 17:00-23:00 L.O. 22:30
자세한 내용은 공식 웹 사이트를 확인하십시오.",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"2F Toho Building, 3-13-18 Shibaura, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Tamachi (도쿄) 역 4 분 도보 (300m)
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 6 분 거리 (430m)
Toei Asakusa Line / Sengakuji 역에서 도보로 12 분 (960m)","없음
근처 (할인 없음) 사용 가능",50 석,예,"불가능합니다
(흡연 구역 이용 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 40 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명",https://toriitidai.com/,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 제공됩니다.","4,000 엔에서 4,999 엔으로 인한 all-you-can-drink와 5,000 엔 이상을위한 all-can-drink 및 2 시간 동안의 싱글 링크가 포함 된 코스가 있습니다.","우리는 고기 요리, 생선 요리, 매우 매운 메뉴 및 매장 내에서 준비된 것입니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",저녁 식사 시간에만 사용할 수 있습니다,"점심, 연회 및 음주 파티, 싱글은 괜찮은 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 와인, 와인, 주차장, 어린이, 세련된, 개인 저녁 식사, 저녁 식사를 즐길 수 있습니다.
다른 사용 장면을 참조하십시오","활발한 상점
골목을 향합니다",예,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000652274/archive/1934339-5f7ecfb7cbeb7.jpg,,,,,,"놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",,불가능합니다,,,
欧風カレー Bondy 芝浦店,유럽 ​​카레 Bondy Shibaura 지점,https://retty.me/area/PRE13/ARE16/SUB1302/100000004778/,03-3457-8751,카레 서양식 반찬 테이크 아웃,"[일요일, 월요일부터 금요일, 토요일, 휴일 전]
 11:00-15:00 L.O. 14:30
[월요일부터 금요일, 토요일, 휴일 전]
 17:00-21:30 L.O. 21:00","휴일
일요일 밤과 공휴일에 문을 닫습니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,PayPay,"Tex Shibaura Building 1f, 3-14-5 Shibaura, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (350m)
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 6 분 거리 (460m)
Toei Asakusa Line / Sengakuji 역에서 도보로 11 분 (850m)","없음
근처 (할인 없음) 사용 가능",20 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명",불가능합니다,https://bondy.co.jp/index.htm,,,어린이를 위해 사용할 수 있습니다,맥주와 와인이 있습니다,저녁 식사 시간에만 사용할 수 있습니다,"점심, 연회 및 음주 파티, 싱글은 괜찮아요
다른 사용 장면을 참조하십시오",차분한 분위기,"예
유아 및 어린이, 유치원 어린이, 초등학생 및 어린이 메뉴 이용 가능",예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36448006.jpg,,,,,,"테이크 아웃 가능성
배송 가능",,불가능합니다,,,
三田製麺所 三田本店,미타 국수 미타 메인 매장,https://retty.me/area/PRE13/ARE16/SUB1302/100000001981/,03-3798-3808,Tsukemen Ramen Rice,"[월요일부터 금요일까지]
 9:00-23:00
[태양, 토요일, 휴일]
 10:00-23:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"Atlas Tamachi Building, 5-22-8 Shiba, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보 2 분 (120m)
JR Yamanote Line / Tamachi (도쿄) 역 3 분 (240m)
Toei Mita Line / Shibakoen Station에서 도보로 8 분 (610m)","없음
근처 (할인 없음) 사용 가능","33 석
(1 층의 9 개 카운터 좌석, 2 층의 4 개의 카운터 좌석, 20 개의 테이블 좌석)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,https://mita-seimen.com,,,,이용 가능한 맥주,,"점심, 연회 및 음주 파티, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 주차 가능, 어린이와 함께 즐기기, 브런치, 아침 식사, 저녁, 쌀, 비 흡연, 매우 매운 매운 맛
다른 사용 장면을 참조하십시오",,예,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/17615190.jpg,https://www.instagram.com/mita.seimen_official/,https://www.facebook.com/mita.seimen/,https://x.com/mitaseimen,,,,평상복,불가능합니다,불가능합니다,,
リストランテ ラ チャウ,Ristorante La Chau,https://retty.me/area/PRE13/ARE16/SUB1302/100000449734/,050-5461-5672,이탈리아 음식 파스타 테이크 아웃,"[Sun, 월요일, 화요일, 목요일, 금요일, 토요일 및 공휴일]
점심 11:30-14:30 L.O. 14:00
[Sun, 월요일, 목요일, 금요일, 토요일, 휴일]
저녁 식사 17:00-20:00 L.O. 19:00
마감 시간은 하루에 따라 다를 수 있습니다
[테이크아웃]
[점심] 11 : 30-14 : 30
[저녁] 17 : 00-20 : 00
*제품이 출시 되 자마자 서비스가 끝납니다. 상점에 문의하십시오.",매주 수요일,"점심 : ~ 3,000 엔
저녁 식사 : ~ 10,000 엔",예,PayPay,"Nakano Daini Building B1F, 2-16-7 Shibaura, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Tamachi (도쿄) 역 7 분 도보 (500m)
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 7 분 거리 (520m)
Yurikamome / Shibaura Pier Station에서 도보로 9 분 (690m)",,30 석,"예
(6 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"[공식적인]
https://ristrantelachau.foodre.jp/",,,,,,"와인 엔터테인먼트 성인 숨겨져있는 여자 파티 파티 파티 개인 방 점심 크리스마스 저녁 식사 세련된 비소 스 흡연 개인 방 점심 데이트 데이트 점심 날짜 점심 식사 여자 파티 세련된 세련된 개인 객실을 즐기십시오.
다른 사용 장면을 참조하십시오",,,,03-3451-3725,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000449734/archive/1906816-5f7ae5d556996.jpg,,https://www.facebook.com/ristorante.laciau,,,,,,,,,
中國飯店 三田店,중국 식당 미타 지점,https://retty.me/area/PRE13/ARE16/SUB1302/100000024574/,03-3798-1381,중국 요리 상하이 신생 상하이 게 테이크 아웃 야키소바 베이징 요리,"[하루 종일]
 11:00-22:00 L.O. 21:45",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 15,000 엔",Amex,,"딸기 미타 빌딩 1f, 5-13-18 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (Tokyo) 역에서 도보 5 분 (350m)
JR Yamanote Line / Tamachi (도쿄) 역 7 분 (490m)
Toei Oedo Line / Akabanebashi Station에서 도보로 8 분 (580m)",,95 석,없음,"불가능합니다
(흡연 별도)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,https://www.chuugokuhanten.com/store/mita.html,,,,,,"점심, 개인 객실, 약혼 저녁 식사 파티, 싱글 OK, 엔터테인먼트, 크리스마스 저녁 식사, 와인, 세련된, 저녁 식사, 쌀, 비 흡연, 개인 실, 세련된 점심, 세련된 개인 실, 개인 실,
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36941169.jpg,,,,,,,,,,,
日本料理 晴山,일본 요리 Haruyama,https://retty.me/area/PRE13/ARE16/SUB1302/100000006438/,03-3451-8320,Kaiseki Cuisine Kappo/작은 레스토랑 일본 요리,"[tue-fri-sat]
저녁 식사 17 : 30-23 : 00 L.O. 21:30
[토양]
점심 12:00-14:00","매주 일요일마다
점심은 토요일에만 열립니다
열려있는 동안 전화를 사용할 수 없습니다
열려있는 동안 전화를 사용할 수 없습니다","점심 : ~ 60,000 엔
저녁 식사 : ~ 60,000 엔",Amex,,"Grande Mita B1F, 2-17-29 Mita, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 9 분 거리 (680m)
도쿄 메트로 Namboku Line / Takanawa Shirokane에서 도보로 9 분 (700m)
도쿄 메트로 Namboku 라인 / Azabu Juban Station에서 도보 10 분 (780m)",,25 석,예,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명",,https://seizan-mita.com/,,,,,,"점심, 데이트, 여자 밤, 개인 실, 약혼, 싱글, 엔터테인먼트, 체리 꽃보기, 체리 꽃보기, 크리스마스 저녁, 술 마시기, 와인, 세련된, 저녁, 쌀, 비영리
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/das/-/retty/img_repo/2l/01/36965131.jpg,,,,,,,,,,,
ゼロワンカレーA.o.D,Zero One Curry A.O.D,https://retty.me/area/PRE13/ARE16/SUB1302/100001507063/,03-6722-6380,카레 인도 카레 테이크 아웃 인도 요리,"[Sun, 월요일, 금요일, 토요일, 휴일]
 11:30-14:00
[태양, 월요일, 금요일, 토요일]
 17:30-20:30
[불]
 11:30-16:00",매주 목요일마다,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",예,PayPay,"Sugiura Building 1f, 3-2-9 Mita, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 5 분 거리 (330m)
JR Yamanote Line / Tamachi (도쿄) 역 7 분 (490m)
Toei Oedo Line / Akabanebashi Station 11 분 도보 (840m)",,26 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 세련된, 저녁 식사, 비 흡연, 세련된, 점심, 크래프트 맥주, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/31675559.jpg,,https://www.facebook.com/zero.one.curry/,,,,,,,,,
