식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,아이들이 들어 오세요,Wi-Fi 사용,전화 번호,영상,인스 타 그램,페이스 북,X (트위터),IC 카드 지불,발언,서비스,드레스 코드,애완 동물,전원 공급 장치 사용,추가 장비,외국어 지원,지역,온라인 예약,맥주 제작자,쇼핑 직무 정보
御影蔵 丸ビル店,Mikagezo Maru Building Store,https://retty.me/area/PRE13/ARE15/SUB1504/100001183572/,03-3240-1020,해산물과 해산물 소바 (Soba),"[하루 종일]
점심 11:00-14:30 L.O. 14:00
저녁 식사 17:00-21:00 L.O. 20:00
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다","하루 종일 개점
시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,"2-4-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (54m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (170m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (210m)",예,120 석,예,"불가능합니다
(가게를 떠난 직후 바닥에 흡연 공간이 있습니다.
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상",불가능합니다,,"5,000 ~ 5,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 2,000 엔 -2,999 엔, 5,000 엔 이상, 2 시간 동안 온전한 링크",우리는 생선 요리에 대해 특히 그렇습니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심 모든 당신이 흠뻑 젖은 연회/음주 파티 개인 방 약혼 저녁 식사 싱글 게스트 엔터테인먼트 작별 파티를 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티 음료 음료 와인 어린이와 함께 즐기십시오.
다른 사용 장면을 참조하십시오","풍경은 아름답습니다
차분한 분위기
상업용 시설에 위치합니다","예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001183572/archive/215270-5fd866ac08d89.jpg,,,,"Suica, Quicpay",,,,,,,,마루노우치,,,
pizzeria&bar La Don Na,피자 리아 & 바 라 돈 나,https://retty.me/area/PRE13/ARE15/SUB1504/100001562653/,03-6262-7900,이탈리아 요리,,,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",,PayPay,"2-5-18 Otemachi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (170m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 4 분 거리 (260m)
JR Yamanote Line / 도쿄 역에서 도보 4 분 (300m)",,,,,,,,,,,,,성인 은신처 급여 지불 지불 가능 캐주얼,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35851008.jpg,https://www.instagram.com/pizzeriabarladonna/,https://www.facebook.com/people/pizzeriabar-la-don-na/100063469275115/,,,,,,,,,,마루노우치,,,
過門香 丸の内トラストタワー店,Kammonka Marunouchi Trust Tower Store,https://retty.me/area/PRE13/ARE15/SUB1504/100000448884/,03-5288-7788,중국 음식,자세한 내용은 공식 웹 사이트를 확인하십시오.,하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 8,000 엔",예,,"Marunouchi Trust Tower N Building, 1-8-1 Marunouchi, Chiyoda-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 1 분 (77m)
JR Yamanote Line / 도쿄 역에서 도보 2 분 (93m)
도쿄 메트로 긴자 라인 / Nihonbashi (도쿄) 역에서 도보로 3 분 거리 (230m)",,185 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명",,https://kamonka-tokyo.jp/,,,,,,"모든 당신이-먹은 날짜 전일 당신이-링크 연회/음료 파티 개인 방 약혼 저녁 식사 파티 싱글 OK Entertainment Farewell 파티 환영 파티 크리스마스 저녁 파티를 마시는 새해 파티를 마시는 개인 실
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000448884/archive/2124592-5fc6f0ac8226c.png,,,,,,,,,,,,마루노우치,,,
銀平 KITTE丸の内店,Ginpei Kitte Marunouchi 매장,https://retty.me/area/PRE13/ARE15/SUB1504/100001244657/,03-6256-0860,해산물과 해산물 카마 메일 일본 요리 카이세키 요리 일본 요리 사시미 소바 (Soba),"[하루 종일]
점심 11:00-15:00 L.O. 14:00
저녁 식사 17:00-22:00 L.O. 21:00
[축하 전]
점심 11:00-15:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
식당
JCB",,"JP Tower Kitte 6F, 2-7-2 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (74m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 4 분 거리 (310m)","예
특별 P 사용 가능",82 석,예,"예
(흡연 없음, 점심 식사. 저녁 식사를 위해 흡연.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,예,https://www.ginpei.shop,"3,000 ~ 3,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.",우리는 생선 요리에 대해 특히 그렇습니다. 생산 구역에 특히 그렇습니다.,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심 모든 당신이 흠뻑 젖은 연회/음료 파티 개인 방 약혼 저녁 식사 싱글 손님 엔터테인먼트 작별 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 술을 마시는 세련된 개인 객실
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
차분한 분위기
나이트 뷰를 볼 수 있습니다
상단에 있습니다
골목을 향합니다
상업용 시설에 위치합니다
운송 시설에 있습니다",,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001244657/photo/31848-5701daf3d14ab.jpg,,,,,,,,,,,,마루노우치,,,
Plaiga TOKYO,플라이가 도쿄,https://retty.me/area/PRE13/ARE15/SUB1504/100001546491/,03-3284-0030,프랑스 요리 크리에이티브 요리,"[월요일부터 수요일까지]
저녁 식사 17:30-22:30 L.O. 20:00
[목요일, 금요일, 토요일, 휴일]
점심 11 : 30-15 : 00 L.O. 13:00","매주 일요일
새해 휴일 (확인하십시오)
예약이 필요합니다

[업무 일]
월요일부터 토요일까지 그리고 휴일 17 : 30-20 : 00 (lo)
목요일, 금요일, 토요일 및 휴일 만 11 : 30-13 : 00 (lo)","점심 : ~ 20,000 엔
저녁 식사 : ~ 30,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Nippon Life Marunouchi Garden Tower M2F, 1-1-3 Marunouchi, Chiyoda-Ku, 도쿄 (Trattoria Creatta, 1 층 입구)
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita Line / Tokyo Metro / Otemachi Station과 직접 연결 (D6)
JR Yamanote Line / 도쿄 역에서 도보로 10 분 (Marunouchi North Exit)","예
근처 (할인 없음) 사용 가능","16 석
(3 개의 식당 테이블, 3 개의 박스 좌석, 개인 실 1 개 (10 명 후))",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,https://plaigatokyo.jp/,"8,000 엔 이상의 코스",,"우리는 고기 요리, 생선 요리, 식품 생산 공간, 유기농 야채, 알레르기를 다룰 수 있으며 요리사는 해외에서 훈련 한 경험이 있습니다.","맥주, 술, 와인, 칵테일",예약이 필요합니다,"점심, 웨딩 기념일, 개인 실, 약혼 저녁 식사, 싱글 OK, 엔터테인먼트, 성인 은신처, 체리 꽃보기, 벚꽃 전망, 크리스마스 저녁 식사, 주차 가능, 유기농 요리, 저녁, 쌀, 비영리
다른 사용 장면을 참조하십시오","풍경은 아름답습니다
개방성이 있습니다
조용한 가게
차분한 분위기
숨는 곳",불가능합니다,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001546491/archive/3064208-64704aa3a9d82.jpg,https://www.instagram.com/plaigatokyo_official/,,,,,"축하 가능성
소믈리에가 있습니다
복장 규정 포함",반 공식,,,,,마루노우치,,,
Wattle Tokyo,와틀 도쿄,https://retty.me/area/PRE13/ARE15/SUB1504/100000001069/,03-5288-7828,호주 요리,"[tue-fri/전 휴일 전]
점심 11:00-15:00 L.O. 14:00
[Sun, 화요일, 금요일, 토요일, 공휴일 및 휴일 전]
저녁 식사 17:00-20:00 L.O. 19:00
[태양, 토요일, 휴일]
점심 11:00-15:30 L.O. 14:30
영업 시간은 하루에 따라 다를 수 있습니다","매주 월요일
Shinmaru 건물과 동일합니다
∎ 초등학교 시대의 고객은 주말과 휴일을 제외하고는 매장을 방문 할 수 없습니다 (※ 어린이는 평일 오후 1시 이후에 허용됩니다)","점심 : ~ 5,000 엔
저녁 식사 : ~ 10,000 엔",예,,"신 마루치 건물 건물 6f, 1-5-1 마루치치, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (60m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (180m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (210m)","예
이웃 P (할인) 사용 가능",85 석,없음,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://www.marunouchi.com/tenants/4602/,"5,000 ~ 5,999 엔 코스가 있으며 8,000 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 3,000 엔 -4,999 엔, 한 시간 반 동안 온전한 링크",우리는 고기 요리에 대해 특별히 알고 있으며 재료를 생산합니다,"맥주, 와인, 위스키",,"점심, 데이트, 여자 야간 파티, 결혼 기념일, 연회 및 음주 파티, 개인 실, 약혼 저녁 식사, 싱글, 엔터테인먼트, 엔터테인먼트, 아름다운 야간보기, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 와인을 마시는 와인
다른 사용 장면을 참조하십시오","천장이 높습니다
상업용 시설에 위치합니다","예
초등학생들은 환영합니다",예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000001069/archive/2005933-5f8e912111c41.jpg,https://www.instagram.com/wattle.tokyo/,,,,,축하 가능성,없음,불가능합니다,불가능합니다,,,마루노우치,,,
魚料理 渋谷 吉成本店 丸の内店,생선 요리 시부야 요시나리 메인 매장 마루치 가게,https://retty.me/area/PRE13/ARE15/SUB1504/100001521608/,03-6551-2901,해산물과 해산물 요리,"[하루 종일]
점심 11:00-15:00 L.O. 14:30
저녁 식사 17 : 30-23 : 00 L.O. 22:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
식당
JCB",,"Marunouchi Brick Square B1, 2-6-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (42m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (180m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 3 분 거리 (210m)",예,46 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명",,https://e533326.gorp.jp/,,,,,,"점심, 연회 및 음주 파티, 개인 객실, 약혼 저녁 식사, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 술, 와인, 세련된, 저녁, 비영리
다른 사용 장면을 참조하십시오",,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001521608/archive/1967344-5f865a7ecbf5c.png,,,,,,,,,,,,마루노우치,,,
銀座船形 大手町,진 자 보트 모양 오타 마치,https://retty.me/area/PRE13/ARE15/SUB1504/100000747622/,03-6225-2988,해산물과 해산물 요리 이자카야 사시미,"[월요일부터 금요일까지]
점심 11:30-14:00 L.O. 13:30
저녁 식사 17:30-22:00 L.O. 21:30
팔리 자마자 끝납니다","매주 토요일마다 일요일 휴가
새해 휴일 (확인하십시오)
시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔",Amex,,"Otemachi Financial City South Tower B1F, 1-9-7 Otemachi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 1 분 거리 (78m)
JR Yamanote Line / 도쿄 역에서 도보로 7 분 (530m)",,80 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://funakata.com/,,,,,,"점심 모든 란드 링크 연회/음주 파티 개인 객실 약혼 저녁 식사 파티 싱글 OK Entertainment Farewell 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 음주 세련된 저녁 식사 쌀 비영리 개인 객실 점심
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000747622/photo/47971-577f2ec820e29.png,,,,,,,,,,,,마루노우치,,,
焼鳥・ジビエ・ワイン 鳥歐,"야키토리, 게임, 와인, 닭고기",https://retty.me/area/PRE13/ARE15/SUB1504/100001387964/,03-6269-9435,야키토리 게임 와인 바,"[하루 종일]
 11:00-14:00 L.O. 13:30
[월요일부터 금요일과 토요일]
 17:00-23:00 L.O. 22:30
[일요일과 휴일]
 17:00-22:00 L.O. 21:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔",예,,"Shinmaru Building의 5 층, 1-5-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (77m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역 (160m)에서 도보 2 분
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (230m)",,35 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"https://www.marunouchi.com/tenants/9703/
http://www.torio.tokyo/",,,,,,"점심, 데이트, 싱글, 엔터테인먼트, 아름다운 나이트 뷰, 크리스마스 저녁 식사, 술 마시기, 마시는 와인, 세련된, 저녁 식사, 쌀, 비 흡연, 점심 날짜, 세련된 점심
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36283427.jpg,,,,,,,,,,,,마루노우치,,,
ぬる燗 佐藤 丸の内,미지근한 사토 마루치,https://retty.me/area/PRE13/ARE15/SUB1504/100001440224/,03-6273-4648,카포/작은 레스토랑 야키토리,"[월요일부터 금요일까지]
점심 11:30-14:00 L.O. 13:30
저녁 식사가 닫혔습니다.

또한 앞으로 상황을 바꿀 수 있습니다.
이해 해주셔서 감사합니다.",매주 일요일마다,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
식당
JCB",,"Nijubashi Square, 3-2-3 Marunouchi, Chiyoda-Ku, 도쿄, B1F
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (49m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 1 분 (65m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 2 분 거리 (91m)",예,"38 석
(일부 좌석은 침몰 한 Kotatsu)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"https://www.nurukan-sato.com/
https://nurukansato-marunouchi.com/",,,,,,"점심, 연회 및 음주 파티, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 술 마시기, 와인, 쌀, 비 금연, 무료 Wi-Fi, Shochu
다른 사용 장면을 참조하십시오",,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001440224/archive/2099030-5fb4ac256d47c.png,,,,,,,,,,,,마루노우치,,,
しまね料理とさばしゃぶの店 主水 有楽町店,"Shimane Cuisine과 Saba Shabu Restaurant, Shusui Yurakucho Branch",https://retty.me/area/PRE13/ARE15/SUB1504/100001723703/,03-6206-3966,현지 요리 해산물과 해산물 요리 이자카야 일본 요리,"[월요일부터 금요일, 토요일, 휴일]
 11:00-14:30
 17:00-23:00",매주 일요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",,,"Nijubashi Building, 3-2-3 Marunouchi, Chiyoda-Ku, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (38m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (55m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 2 분 거리 (83m)",,40 석,예,,없음,,,,,,,,점심 저녁 식사 저녁 식사,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3663142.jpg,,,,,,,,,,,,마루노우치,,,
ル・ブール・ノワゼット 丸の内,Le Bourg Noisette Marunouchi,https://retty.me/area/PRE13/ARE15/SUB1504/100001446298/,03-6275-6007,프랑스 요리 비스트로 와인 바 햄버거 카페,"[하루 종일]
점심 11:00-15:00 L.O. 14:00
저녁 식사 17:00-23:00 L.O. 22:00","불규칙한 휴일
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
시설과 동일합니다","점심 : ~ 3,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
식당
JCB",,"Nijubashi Square, 3-2-3 Marunouchi, Chiyoda-Ku, 도쿄 1f
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (58m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (58m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 1 분 (80m)","예
이웃 P (할인) 사용 가능, 이웃 (할인 없음)","73 석
(한 레스토랑 안에 ""와인 바""와 ""레스토랑""에 2 개의 공간을 설치하여 48 개의 와인 바와 25 개의 레스토랑을 설립하여 파리 메인 스토어보다 매일 다양한 상황에서 즐길 수있게되었습니다.)","예
(이국적인 분위기로 가득 찬 세련된 바 스타일. 퇴근 후 연인이나 친구와 쉽게들을 수 있습니다.)","예
(흡연 구역은 상점 내부에서 완전히 금연을하고 있으며 흡연 구역은 상점 외부와 시설에서 이용할 수 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,https://www.lebeurrenoisettetokyo.com/,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스 및 8,000 엔 코스가 있습니다.",,"우리는 야채 요리, 생선 요리, 수입 재료, 유기농 야채, 채식 메뉴, 요리사가 해외에서 훈련을 받고, 요리사가 유명한 식당에서 훈련을 받았으며, 요리사가 유명한 요리사가 준비했으며, 요리사를 매장 내에 있습니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 여자 파티, 모든 링크, 연회 및 음주 파티, 약혼 디너 파티, 단일 파티, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 주차, 스타일리쉬 한 즐기기
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
차분한 분위기
골목을 향합니다
상업용 시설에 위치합니다","예
유아, 유치원 어린이, 초등학생을 환영합니다",예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001446298/archive/705088-5c63abbbd6802.jpg,,,,,"식당 결혼식, 두 사람에게 완벽한 결혼식 후 파티, 1.5 번째 후 파티에 사용할 수 있습니다.
언제든지 질문하십시오.
웨딩 파티는 신부와 신랑에게 일생에 한 번 햇볕이 잘 드는 공연입니다. 그것은 두 사람에 관한 것이 아니라 두 가족이 연결할 수있는 기회이기도합니다. 그렇기 때문에 아마도 처음으로 많은 이벤트가있을 것입니다! 먼저 공연장 조건과 질문을 포함하여 두 사람이 원하는 것을 알려주십시오.

요리법 (미식가 음식)은 모두가 즐길 수있는 것입니다","놀라운 응답 가능
축하 가능성
휴대품 룸이 있습니다
소믈리에가 있습니다
테이크 아웃 가능성",반 공식,,예 (무료),휴대품 룸이 있습니다,"영어 이탈리아어
직원과 함께 언어 지원 메뉴가 있습니다",마루노우치,,,
