식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,주소,입장,주차,좌석,흡연,개인 실,사적인,상점 웹 사이트,인스 타 그램,페이스 북,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,아이들이 들어 오세요,Wi-Fi 사용,전화 번호,영상,QR 코드 결제,카운터 좌석,강의,당신이 마실 수있는 모든 것,발언,애완 동물,IC 카드 지불,X (트위터),서비스,대기,외국어 지원,드레스 코드,전원 공급 장치 사용,추가 장비,맥주 제작자
レモンサワー50円大衆酒場 炭火串焼ちから 神田駅前店,레몬 사워 50 엔 인기 바 숯불 그릴 꼬치 카라 칸다 ekimae 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100001639311/,050-5462-7775,야키토리 이자카야,"[Sun, 월요일부터 목요일, 토요일 및 휴일]
 11:00-24:00 L.O. 23:30
[금요일/휴가 전]
 11:00-29:00 L.O. 28:00
*비즈니스 시간 이외의 예약을 위해 전화로 미리 저희에게 연락하십시오.",,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",불가능합니다,"산코 빌딩 1-4F, 3-7-3 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (59m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 5 분 거리 (380m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 7 분 거리 (530m)","예
근처 (할인 없음) 사용 가능","100 석
(바다는 행사에 맞게 1 층에서 4 층에서 4 층에서 4 층에서 이용할 수 있습니다. 우리는 환영 및 작별 파티, 연말 파티 및 새해 파티와 같은 중형에서 대규모까지 다양한 연회에 대한 예약을 허용합니다. 각 층마다 임대 할 수 있습니다 [10 명을위한 라이센스!] 다른 개인 객실도 이용 가능합니다. [2 ~ 8 명]))))).","예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,"[공식적인]
https://chikara-kandaekimae.foodre.jp/",,,"우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리, 샤 옥싱 와인",사용 가능한 예약,"점심, 점심, 저녁 식사, 냉담한 음식, 온전한 링크, 연회 및 음료 파티, 개인 실, 연말 파티, 새해 파티, 마시기, 음료수, 와인, 주차, 어린이와 함께 즐기기, 첫 번째 기차, 흡연이 허용됩니다.
다른 사용 장면을 참조하십시오",예,예,03-4323-8684,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001639311/archive/2822750-6306fa9bd5416.jpg,PayPay,없음,"2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2,999 엔 미만의 all-you-can-drink, all-you-can-drink 코스, 3,000 엔 -3,999 엔, All-You-can-drink 코스가 이용 가능하며 4,000 엔 -999 Yen, All-You-Cous-cour-out-out-out-out-all-and-can-dr. 2 시간, 2 시간 동안 완전히 마실 때, 3 시간 이상 동안 마실로 인한",,불가능합니다,,,"놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다","개방성이 있습니다
천장이 높습니다
활발한 상점
골목을 향합니다","영어 중국어
언어를 말할 수있는 직원이 있습니다",없음,,프로젝터 포함,
屋台酒場バッテン,푸드 스톨 바 batten,https://retty.me/area/PRE13/ARE11/SUB1101/100001716873/,050-5462-5558,이자카야 한국 요리,"[월요일 ~ 목요일]
저녁 식사 15 : 30-25 : 00 L.O. 24:30
[금요일/휴가 전]
저녁 식사 15 : 30-27 : 00 L.O. 26:30
[토양]
저녁 식사 15:00-25:00 L.O. 24:30
[일요일과 휴일]
저녁 식사 15:00-24:00 L.O. 23:30
*황금 주간 개장 시간*
첫 번째 (목요일) 4시 25pm, 2 위 (금요일) 오후 4시-오후 3시-오후 3시 -3시 -3시-오후 3시-오후 3시, 오후 4시, 오후 4시 (일요일) 4 pm-3pm, 5th (월) 오후 3시 (Tue) 6th (3 pm-24pm) 6 위",,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","Kanda Royal Building B1F, 3-10-3 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (150m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (480m)
도쿄 메트로 마루치 노선 / 오타 마시 (도쿄) 역에서 도보로 7 분 거리 (490m)",예,"45 석
([최대 50 명이 참여할 수 있습니다!] 우리는 개인 파티를 수용 할 수 있으므로 언제든지 전화하십시오.)","예
완전히 흡연이 허용됩니다
(흡연을위한 저장)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (좌석) : 15 명
최대 42 명을 임대 할 수 있습니다","[공식적인]
https://yataisakababatten.foodre.jp/",https://www.instagram.com/batten_yataisakaba/,,"우리는 야채 요리, 고기 요리, 수입 재료, 현지에서 생산 된 재료, 매우 매운 메뉴 및 매장 내 준비에 특히","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"환영 파티 전 만세 담배 흡연 허용 연회 및 음주 파티 디너 페이 페이 지불 신속한 연말-엔드 파티를받는 연말 지불 포인트 온라인 예약 가능 인기 상점 예약 캐주얼 신속한 새해 파티 작별 파티
다른 사용 장면을 참조하십시오",예,예,03-3518-5516,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001716873/archive/33054-6634B08D5132.jpg,PayPay,없음,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스가 있습니다.","999 엔 미만의 모든 금액 가격, All-You-Can-Drink 가격 1000-1999 엔, All-You-Can-Drink Price 2000-2999 엔, 전 ALL-YOU-CAN-DRINK 3000-4999 엔, 2999999 YEN, ALL-YOU-CAN-DRINK PROPES의 ALL-YOU-CAN-DRINK 가격 5000 엔세 3000-3999 엔, all-you-can-drink 코스에는 4000-4999 엔이 포함되며, 싱글 링크 코스에는 5000 엔 이상, 1 시간 반 동안 all-you-can-drink, 2 시간 반 동안 모두 당신이 온전한 링크, 2 시간 반 동안 모두 3 시간 동안, 3 시간 동안, 3 시간 반 마감, 3 시간 반 마감, 3 시간 반 마감 3 시간 반 동안 만약을 모두 마시십시오.",,불가능합니다,,,"놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다","개방성이 있습니다
활발한 상점
단독 주택 레스토랑
숨는 곳",,,불가능합니다,,
神田のまぐろトラエモン 神田駅前店,Kanda Tuna Toraemon Kanda Ekimae 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100001274763/,050-5303-4914,이자카야 핫팟 해산물/해산물 사시미 일본 요리 일본 요리,"[하루 종일]
 17:00-23:00 L.O. 22:00","하루 종일 개점
가게가 닫히면 상점에 확인하십시오.
1 월 1 일은 문을 닫습니다.","점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","Hiroei Building B1 및 B2, 1-7-4 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (94m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 4 분 (310m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 6 분 (470m)",없음,130 석,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상",예,https://toraemon-kanda.com/,,https://www.facebook.com/toraemonkanda/,우리는 생선 요리에 대해 특히 그렇습니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"연회 및 음주 파티 점심 음주, 쌀, 개인 실, 엔터테인먼트, 술, 모든 흠집, 여자 밤, 쿠폰 이용 가능, 이용 가능, 온라인 예약 가능, 연말 파티, 새해 파티, 저녁 식사, 캐주얼, 세련된 파티
다른 사용 장면을 참조하십시오","예
유아, 유치원 어린이, 초등학생을 환영합니다",없음,03-5244-4063,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001274763/archive/73339-5804341fa71bd.jpg,PayPay,없음,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 4,000-4,999 엔에 대한 All-You-Can-Drink, All-You-Can-Drink Course에는 5,000 엔 이상, All-You-Can-Drink","서비스 요금 : LA Carte를 주문할 때만 5%
청구 수수료 : LA Carte, 400 엔 (세금 제외)을 주문할 때만",불가능합니다,,https://x.com/toraemon_kanda,"놀라운 응답 가능
축하 가능성","개방성이 있습니다
천장이 높습니다
조용한 가게
활발한 상점
차분한 분위기
숨는 곳","영어 중국어
언어 지원 메뉴가 있습니다",평상복,,,
もつ焼きパラダイス 富士 神田,Motsuyaki Paradise Fuji Kanda,https://retty.me/area/PRE13/ARE11/SUB1101/100001329797/,050-5462-8151,꼬치 야키토리 이자카야,"[월]
 16:00-23:00 L.O. 22:30
[tue-thu]
 16:00-24:00 L.O. 23:00
[금]
 16:00-24:00 L.O. 23:30
[토양]
 15:00-23:00 L.O. 22:00
[일요일과 휴일]
 14:00-22:00 L.O. 21:00
L.O.에 고객이없는 경우 매장은 L.O.에서 문을 닫습니다.
우리는 연장 된 업무 시간을 받고 있으므로 전화로 저희에게 연락하십시오.",일년 내내 개장하십시오 : 재고 가용성으로 인해 새해 공휴일에는 긴 휴가 나 불규칙한 휴가가있을 수 있습니다.,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB","1F East Building, 44 Kanda Konyacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Iwamotocho 역에서 도보로 4 분 거리 (270m)
JR Yamanote Line / Kanda (도쿄) 스테이션 4 분 도보 (300m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (450m)",없음,60 석,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",예,"[공식적인]
https://motuyakiparadaisuhuji-kanda.foodre.jp/",,,"우리는 고기 요리, 매장 내 생산 공간 및 매장 내 준비에 대해 특히","맥주, 사케, 쇼치, 칵테일",사용 가능한 예약,"개인 객실 저녁 식사는 예약 가능한 주차 할 수 있습니다. 어린이와 함께 즐길 수있는 즐거움 영어 사용 가능한 테라스 개인 룸 엔터테인먼트 테라스 페이 페이 지불 이용 가능한 성인 연말 파티 빠른 연말 연말 파티 성인 새해-엔드 파티 빠른 새해-엔드 파티 빠른 새해-엔드 파티
다른 사용 장면을 참조하십시오",,없음,03-3525-4208,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001329797/archive/3570007-67eb8f02ba7a2.jpeg,PayPay,없음,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 제공됩니다.","전산 된 점점 : 1,000-1,999 엔, 모든 링크 가격 : 2,000-2,999 엔, 그리고 온전한 링크 코스에는 4,000-4,999 엔이 포함되며, 싱글 링크 코스에는 5,000 엔 또는 2 시간 동안 2 시간, 2 시간, 2 시간, 2 시간, 2 시간, 2 시간, 2 시간, 2 시간 동안 포함됩니다.",,,"Suica, Rakuten Edy, Quicpay",,"놀라운 응답 가능
축하 가능성",단독 주택 레스토랑,,없음,,,
肝料理と海鮮の店 坂下,간 요리와 해산물을 제공하는 식당 인 Sakashita,https://retty.me/area/PRE13/ARE11/SUB1101/100001727370/,050-5462-4945,이자카야 해산물과 해산물,"[월요일부터 금요일까지]
저녁 식사 17 : 30-23 : 30","매주 토요일마다 일요일 휴가
새해 휴일 12/30-1/3","점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","1-16-2 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 거리 (320m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 4 분 거리 (320m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역 (320m)에서 도보로 4 분",없음,19 석,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 10 명
임대 가능 (좌석) : 19 명","[공식적인]
https://bange.foodre.jp/",https://www.instagram.com/bange.sakashita,,그는 물고기 요리에 대해 특별히 있으며 주인 요리사,사케와 쇼치,사용 가능한 예약,"저녁 식사, 식사, 환영 파티, 솔로, all-you-can-drink, casual, paypay 포인트 받기, 온라인 예약 가능
다른 사용 장면을 참조하십시오",,없음,03-4400-1610,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001727370/archive/3237834-65b8e06d84d62.jpg,,예,"5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 코스에는 5,000 엔 이상의 링크, 2 시간 30 분 동안 만약이 포함되어 있으며 3 시간 이상 동안 온전한 링크가 포함됩니다.",,,,,,"차분한 분위기
골목을 향합니다",,,,,
南インド・ビストロ ひつじや JR神田駅店,남인도 비스트로 Shetsujiya Jr Kanda Station Store,https://retty.me/area/PRE13/ARE11/SUB1101/100001714809/,050-5462-5895,이자카야 바,"[하루 종일]
점심 11:00-15:00 L.O. 14:30
저녁 식사 17:00-22:00 L.O. 21:30",새해 휴일 (확인하십시오),"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드","사이토 빌딩 1f, 3-10-7 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 거리 (130m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (470m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 6 분 (470m)",없음,31 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://histujiya-kanda.foodre.jp/,https://www.instagram.com/hitsujiya_kanda/,,,,사용 가능한 예약,"점심, 저녁 식사, 쌀, 고기, 연회 및 음주 파티 급여 지불 지불금 결제 수당 온라인 예약 이용 가능 인기있는 식당, 새해 파티 요리, 요리 연말 파티, 작별 파티, 점심 음주
다른 사용 장면을 참조하십시오",예,없음,03-3525-7557,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001714809/archive/3342146-6673cf9110ed3.jpg,PayPay,예,,,,불가능합니다,,https://x.com/hitsujiyakanda,,,,,,,
お好み焼・鉄板焼 ちんちくりん 神田駅南口店,Okonomiyaki/Teppanyaki Chinchikurin Kanda Station South Exit 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100001279445/,03-6206-9993,Okonomiyaki Teppanyaki Izakaya,"[월요일부터 금요일까지, 휴일]
점심 11:30-14:00
저녁 식사 17:00-23:00 L.O. 22:30","매주 일요일마다
긴 공휴일 또는 공휴일 전후에 휴가 나 휴일이있을 수 있습니다.","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",예,"1-5-2 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (150m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 3 분 (190m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 5 분 (340m)",,70 석,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,"점심 만세 연회/음료 파티 개인 방 작별 파티를 환영 파티 연말 파티 새해 파티 디너 흡연 허용 개인 방 점심 캐주얼
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001279445/archive/200693-5912651528ea9.jpg,,,,,,,,,,,,,,,
とんかつ 永太朗,Tonkatsu Nagataro,https://retty.me/area/PRE13/ARE11/SUB1101/100001546915/,명확하지 않습니다,Tonkatsu,,매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁:-",,"코하라 건물 부록 2f, 1-11-7 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 5 분 (330m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 5 분 거리 (330m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 5 분 거리 (330m)",,,,,,https://ameblo.jp/tonkatsu-eitaro/,,,,,,PayPay 지불 가능 캐주얼,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35420378.jpg,PayPay,,,,,,,,,,,,,,
A5仙台牛炭火焼肉 肉豊作 神田駅前店,A5 센다이 쇠고기 숯 구이 야키 니쿠 - 푸루카쿠 고기 칸다 에키 마이 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100001497172/,050-3163-1175,Yakiniku 호르몬 쇠고기 혀 이자카야,"[하루 종일]
 16:00-24:00 L.O. 23:30",,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
JCB","2f, 3-19-7 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (28m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (440m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 역에서 도보 6 분 (440m)",예,55 석,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 25 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 46 명",,,,고기 요리 전문,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",사용 가능한 예약,"싱글 링크 연회와 음주 파티 싱글 싱글 파티는 좋아하는 작별 파티를 환영합니다.
다른 사용 장면을 참조하십시오",예,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001497172/archive/1217533-5db3f36da4ff8.jpg,PayPay,,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스 및 8,000 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 전 ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 2 시간 동안 all-you-can-drink",,,,,"놀라운 응답 가능
축하 가능성",활발한 상점,,,,,
開運いなり 板忠,행운을 빕니다 Itachu,https://retty.me/area/PRE13/ARE11/SUB1101/100000080392/,03-3271-9939,카포/작은 레스토랑 계절 요리 일본 음식,"[월요일부터 금요일까지]
점심 11:00-13:30 L.O. 13:00
저녁 식사 17:00-23:00 L.O. 21:00
자세한 내용은 공식 FB를 확인하십시오.",매주 토요일마다 일요일 휴가,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","4-5-16 Nihonbashi Motoishicho, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 3 분 (200m)
JR Yamanote Line / Kanda (도쿄) 역 4 분 (250m)
도쿄 메트로 긴자 라인 / 미츠코시마 역에서 도보로 4 분 거리 (320m)","예
근처 (할인 없음) 사용 가능","19 석
(Covid-19의 확산을 막는 동안 좌석 수를 8로 줄였습니다.)","예
완전히 흡연이 허용됩니다
(수동 흡연 조치 (Advanced Health Promotion Act)에 관한 법률은 2020 년 4 월 1 일부터 발효되었으며 최신 정보는 최신 정보와 다를 수 있으므로 방문하기 전에 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,https://www.instagram.com/itachu17,https://www.facebook.com/itachu17,"주인 요리사, 매장 내 준비",사케와 쇼치,,"점심, 솔로, 성인 은신처, 크리스마스 저녁 식사, 주차, 저녁 식사, 쌀, 흡연, 무료 와이파이, 세련된, 캐주얼
다른 사용 장면을 참조하십시오",,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000080392/archive/2453473-611a2d8d442ca.jpg,,예,,,,,,,,차분한 분위기,,,,,
