식당 이름,번역된 식당 이름,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,외국어 지원,전화 번호,쇼핑 직무 정보,페이스 북,X (트위터),추가 장비,인스 타 그램,IC 카드 지불,인근 시설,맥주 제작자
渋谷 個室で楽しむ肉とチーズ食べ放題&3H飲み放題 SAKURA GARDEN 渋谷本店,Shibuya 전용 방에있는 모든 고기 고기와 치즈 및 3 시간 동안 all-you-can-drink 사쿠라 정원 시부야 메인 스토어,050-5303-3170,이자카야 고기 바,"[월요일부터 금요일까지, 휴일 전]
 13:00-24:00 L.O. 23:30
[태양, 토요일, 휴일]
 12:00-24:00 L.O. 23:30","매년 1 월 1 일 매년 1 월 2 일
새해 휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Jow Building 5f, 30-5 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (180m)
Keio Inokashira Line / Shinsen Station에서 도보 8 분 (620m)",없음,90 석,없음,"예
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 100 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 110 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사 식사) : 60 명","[공식적인]
https://sakuragarden.foodre.jp/
https://sakuragarden.owst.jp/
https://tabehoudai.net/sakuragarden-shibuya/",,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","999 엔 미만의 모든 링크 가격, 2999 엔 미만의 싱글 링크, 3000 엔 미만에서 3999 엔, 3999 엔, 4,000 엔에서 4999 엔, 2 시간 이상 3 시간 이상으로 49999 엔을 링크하는 데 3,000 엔드 링크를 사용합니다.",우리는 야채 요리와 고기 요리에 대해 특별합니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리, 샤 옥싱 와인",사용 가능한 예약,"점심, 점심, 점심, 개인 객실, 모든 욕구, 모든 링크, 새해 파티, 생일, 저녁 식사, 흡연 허용, 연회 및 음주 파티, 날짜, 개인 객실, 점심, 파티, 지불금 지불, 연말 예약, 인기있는 매장 예약, 인기있는 매장 예약, 인기있는 매장 예약.
다른 사용 장면을 참조하십시오",숨는 곳,"놀라운 응답 가능
축하 가능성",,,불가능합니다,예 (무료),예,"영어
직원과 함께 언어 지원 메뉴가 있습니다",080-3208-2224,,,,"프로젝터, TV 및 모니터 사용 가능",,"Suica, Manaca, Toica, Hayakaken, Nimoca, Quicpay, Au 지갑",,
BAR 食後の詩 ♯2,막대 사후시시 #2,050-5462-5084,술집,"[tue-thu]
저녁 식사 18:00-3:00 L.O. 2:00
[금요일, 토요일, 휴일 전]
저녁 식사 18:00-29:00 L.O. 28:00
영업 시간은 하루에 따라 다를 수 있습니다","매주 일요일
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
긴 휴가의 경우 마지막 날은 문을 닫습니다.
우리는 일요일에 문을 닫았지만 이벤트 나 개인 비즈니스 시간에 관한 질문이 있으시면 언제든지 문의하십시오!
우리는 가능한 한 많이 응답하기 위해 최선을 다할 것입니다.
매우 감사합니다.","점심 : 비즈니스 시간
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"두 번째 Nono Building, 1-17-2 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station (190m)에서 도보로 3 분
Keio Inokashira Line / Shinsen Station에서 도보 5 분 (360m)","없음
근처 (할인 없음) 사용 가능",26 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 10 명
최대 25 명까지 임대 할 수 있습니다
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 12 명
최대 40 명이 임대 할 수 있습니다 (스탠드 스탠딩 식사)","[공식적인]
https://niban-shokugonouta.foodre.jp/
https://shokugonouta.com",,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스","ALL-YOU-CAN-DRINK 가격 : 3,000 엔 -4,999 엔, 코스에는 5,000 엔 이상의 링크, 2 시간 동안 온전한 링크, 2 시간 반 동안 싱글 링크, 3 시간 이상은 3 시간 이상 링크되어 있습니다.",매장 내 준비,"맥주, 쇼카, 와인, 위스키, 칵테일",사용 가능한 예약,"늦은 밤에 열리고, 흡연 허용, 급여 지불 지불 수락, 모든 싱크, 세련된, 급여표 받기, 온라인 예약 가능
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
활발한 상점
차분한 분위기
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
소믈리에가 있습니다",없음,불가능합니다,불가능합니다,예 (무료),예,"영어
직원과 함께 언어 지원 메뉴가 있습니다",03-5990-4912,,,,"프로젝터, TV 및 모니터, 오디오 장비",https://www.instagram.com/shokugo3/,Quicpay,,
自然派ワインとフランス郷土料理 シュシュ,천연 와인과 프랑스 요리 샤치,050-5304-1589,이자카야 쇠고기 요리,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
 11:30-14:00
 17:30-24:00",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Aono Building 1f, 30-10 Sakuragaokacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 5 분 (340m)
Keio Inokashira Line / Shinsen Station에서 도보로 7 분 (530m)",예,23 석,"예
(카운터에서 7 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://shushu.foodre.jp/
https://www.chouchou-nature.com/",,"3,000 엔 ~ 3,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 한 시간 30 분 동안 만 살해 당하고 2 시간 동안 싱글 링크","우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료 및 주인 요리사 및 매장 준비에 특히 도움이됩니다.","맥주, 술, 와인, 위스키",사용 가능한 예약,"당신은 와인 데이트 엔터테인먼트를 마실 수 있습니다. 엔터테인먼트 마시는 주간 마시는 주간 고기 아이들과 함께 즐길 수있는 고기 작별 파티 개인 점심 날짜 새해 파티 환영 파티 점심 점심 식사 연말 파티 all-you-can-drink 세련된 성인 데이트 성인 새해 파티
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
단독 주택 레스토랑
숨는 곳","놀라운 응답 가능
축하 가능성
소믈리에가 있습니다",,예,,,예,,03-6416-3868,,,,,,,,
べるまっしゅ,Berumass,050-5304-1820,이자카야 해산물과 해산물,"[월요일부터 금요일, 토요일, 휴일]
저녁 식사 17:00-23:30 L.O. 22:30
* 점심 사업은 잠시 동안 폐쇄됩니다.",매주 일요일,"점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"사토 빌딩, 13-1 Minamidai-Cho, 시부야-쿠, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen 역에서 도보 5 분 (340m)
JR Yamanote Line / Shibuya Station에서 도보로 9 분 (710m)
도쿄 도요코 라인 / 다이키 야마 스테이션 15 분 도보 (1.1km)","예
근처 (할인 없음) 사용 가능",40 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://berumasshu.foodre.jp/",,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 제공됩니다.","5,000 엔 이상을 사용할 수 있습니다","우리는 야채 요리, 고기 요리, 생선 요리 및 식품 생산 공간에 특히 적합합니다.","맥주, 사케, 쇼치, 와인, 칵테일",사용 가능한 예약,"고기 성인 은신처 저녁 식사 소녀의 밤 마시는 술 마시는 술집 엔터테인먼트 싱글 OK all-you-can-drink banquets/drink parties farewell 파티 환영 파티를 환영합니다 Paypay Paysial Paypay Point 온라인 예약 가능 해년 파티 이용 가능 새해 파티
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",,,,,예,,03-3461-0708,,,,,https://www.instagram.com/berumash.shibuya/,,,
静岡おでんと旬魚 水の尾,Shizuoka Oden과 계절 물고기 물 꼬리,050-5462-5764,이자카야 해산물과 해산물 사시미 오덴,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 18 : 00-24 : 00 L.O. 22:30
[토양]
저녁 식사 17:00-22:00 L.O. 21:00
Mon-Fri : 저녁 요리 L.O. 22:30 음료 L.O. 23:00
토 : 저녁 요리 L.O. 21:00 음료 L.O. 21:30
휴일 전날 : 저녁 식사 요리 L.O. 22:30 음료 L.O. 23:00

상점의 상황에 따라 마감 시간이 일찍있을 수 있습니다.","매주 일요일과 공휴일
우리는 웹 사이트의 새해 공휴일과 여름 방학을 알려 드리겠습니다.","점심 : 비즈니스 시간
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1-17-10 Dogenzaka, Shibuya-Ku, 도쿄 1F, 2 차 보물 건물
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (210m)
Keio Inokashira Line / Shinsen 역에서 도보 5 분 (340m)","없음
근처 (할인 없음) 사용 가능",20 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (좌석) : 15 명","https://mizunoo.foodre.jp/
http://mizunoo.com/","적격 송장 (송장)에 대해 영수증을 발행 할 수 있습니다.
*최신 등록 상태의 경우, 국가 세금 기관의 송장 시스템 자격 송장 발행 회사를 확인하거나 매장에 문의하십시오.","3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","4,000 엔에서 4,999 엔으로 인한 all-you-can-drink와 5,000 엔 이상을위한 all-can-drink, 2 시간 동안 싱글 링크, 3 시간 이상 만난 링크를 포함하는 코스가 있습니다.",생선 요리 전문,"맥주, 사케, 쇼치",사용 가능한 예약,"Farewell Party Dinner, Solo, Paypay Payment Paysial Banquets and Drinking Parties Entertainment Entertainment Entertainment Entertainment Party 크리스마스 저녁 식사 새해 파티 요리 연말 파티 요리 새해 파티 인기 상점 예약 PayPay Points Get PayPay Points
다른 사용 장면을 참조하십시오",차분한 분위기,,,불가능합니다,,불가능합니다,예,,03-6809-0899,,,,,https://www.instagram.com/oden_mizunoo,"Suica, Quicpay",,
中華麺店 喜楽,중국 국수 가게 키라쿠,03-3461-2032,라면 중국 요리 gyoza 쌀 그릇 tonkotsu라면 소금라면,"[Sun, 월요일, 화요일, 목요일, 금요일, 토요일 및 공휴일]
 11:30-20:30",매주 수요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"2-17-6 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen Station에서 도보 6 분 (420m)
JR Yamanote Line / Shibuya Station에서 도보로 7 분 거리 (490m)
도쿄 메트로 치 요다 라인 / 메이 지 징 투마 역에서 도보 18 분 (1.4km)",,"14 석
((1 층, 7 개의 카운터 좌석, 2 층, 20 개의 테이블 좌석)))))",예,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"점심, 솔로, 음료수, 세련된, 저녁, 맛있고, 싸고, 저렴하고, 금연, 세련된 점심
다른 사용 장면을 참조하십시오",,,,,,,,,,,,,,,,,
牛かつ もと村 渋谷店,Ushikatsu Motomura Shibuya 상점,050-1720-9137,쇠고기 요리 서부 음식 사시미,"[하루 종일]
 11:00-22:00 L.O. 22:00","하루 종일 개점
・ 새해 공휴일 (확인하십시오)","점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,PayPay,"3-18-10 시부야, 시부야-쿠, 도쿄, 오노 빌딩 2 B1F
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (120m)",,"10 석
(모든 카운터 좌석)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해",,https://www.gyukatsu-motomura.com/shop/shibuya,,,,,,,"점심, 솔로, 세련된, 저녁 식사, 쌀, 고기, 금연, 세련된, 점심, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,,,https://www.facebook.com/gyukatsu.motomura/,https://x.com/gyukatsu_moto,,,,,
4番サード魚真,"No. 4, 세 번째 uoma",03-3464-4477,해산물과 해산물 요리 이자카야 사시미 초밥,"[월요일부터 목요일과 토요일]
 17:00-24:00 L.O. 23:30
[금]
 17:00-24:30 L.O. 23:30
[일요일과 휴일]
 16:30-23:30 L.O. 23:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
JCB",PayPay,"Shoto CS Court 1f, 1-29-5 Shoto, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen 역에서 도보로 5 분 (330m)
JR Yamanote Line / Shibuya Station에서 도보로 6 분 (410m)",,65 석,예,"불가능합니다
(모든 좌석은 금연합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명",,,,,,,,,"날짜, 소녀의 밤, 그룹 데이트, 싱글, 성인 은신처, 체리 꽃보기, 체리 꽃보기가있는 레스토랑, 크리스마스 저녁 식사, 술, 와인, 세련된, 저녁 식사, 저녁, 비 흡연, 생일
다른 사용 장면을 참조하십시오",,,,,,,,,,,,,,https://www.instagram.com/yoban.third.uoshin/,,,
汁べゑ 渋谷店,Soupbee Shibuya 상점,03-3463-1010,이자카야 식당 바 일본 요리,"[태양, 월요일부터 금요일, 토요일]
저녁 식사 17:30-23:30 L.O. 22:00",하루 종일 개점,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
Amex
JCB",,"Dynes Ichibankan Shibuya Annex의 2F, 1-11-5 Jinnan, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (160m)",없음,82 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명",불가능합니다,https://raku-co.com/?page_id=373,,,,,,,"날짜, 소녀의 밤, 그룹 데이트, 개인 실, 독신, 성인 은신처, 크리스마스 저녁 식사, 술을 마시기, 어린이와 함께 즐기기, 세련된 저녁 식사, 쌀, 흡연 허용, 개인 실, 데이트, 세련된 개인 실, 그룹 데이트, 개인 실
다른 사용 장면을 참조하십시오",,,,예,,,없음,,,,,,,,,,
麗郷 渋谷店,Reigou Shibuya 상점,03-3461-4220,대만 요리 중국 요리 캘리포니아 요리 음식 포장 마차 야키소바 야키토리,"[월요일부터 금요일까지]
점심 12:00-14:00
저녁 식사 17:00-23:00
[태양, 토요일, 휴일]
 12:00-23:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",불가능합니다,,"2-25-18 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (89m)
Keio Inokashira Line / Shinsen 역에서 도보로 7 분 (500m)",없음,"130 석
(카운터 10, 표 120)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,,,,,,,사용 가능한 예약,"점심, 데이트, 솔로, 크리스마스 저녁 식사, 음료수, 아이들과 함께 즐기기, 세련된, 저녁 식사, 쌀, 비 흡연, 점심 데이트, 세련된 점심, 애프터 파티
다른 사용 장면을 참조하십시오",,,,예,,,,,,,,,,,,,
らーめん はやし,라면 하야시,03-3770-9029,"라면, 쌀 라이스 패밀리라면, Tonkotsu라면, 소금라면","[월요일부터 금요일, 토요일, 휴일 전]
 11:30-15:30","매주 일요일과 공휴일
・ 수프가 다 떨어지 자마자 끝납니다","점심 : ~ 1,000 엔
저녁:-",불가능합니다,,"Social Dogenzaka 1f, 1-14-9 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (110m)
Keio Inokashira Line / Shinsen 역에서 도보 6 분 (480m)",없음,10 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"점심, 솔로, 세련된, 맛있고, 저렴하고, 금연, 세련된, 점심",,,,,,,,,,,,,,,,,
鳥竹総本店,Toritake 메인 상점,03-3461-1627,"Yakitori, Eel, Izakaya, Rice Bowl, 꼬치","[하루 종일]
 12:00-23:00 L.O. 22:00
자세한 내용은 공식 웹 사이트를 확인하십시오.","하루 종일 개점
정기 휴일 없음 (여름 휴가, 8 월 1 일 오번 휴일, 연말 및 새해 공휴일, 12/31 ~ 1/4 *준비가 가능하자마자 1/5에 열립니다).","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB",,"1-6-1 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Yamanote Line / Shibuya Station에서 1 분 도보 (42m)",없음,"128 석
(1 번째 지하실 바닥 (Tairway) 및 1 ~ 2 층 (테이블 및 카운터))",예,"불가능합니다
(모든 좌석은 금연합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://toritake.jp/,"교통 IC 카드 및 ID를 사용할 수 있습니다

◆ 예약 정보 ◆
[5 명 이상 / 오후 7시 / 2 시간에 입장] 우리는 전화를받습니다.
예약인의 수에 따라 상점에 들어갈 때 Covid-19 백신 접종 증명을 제시하도록 요청할 수 있습니다.",,,매장 내 준비,"맥주, 사케, 쇼치, 위스키",사용 가능한 예약,"점심, 데이트, 솔로, 체리 꽃보기, 크리스마스 저녁 식사, 음료 술, 세련된, 저녁 식사, 비 흡연, 점심 날짜, 세련된 Wi-Fi, 애프터 파티
다른 사용 장면을 참조하십시오",,테이크 아웃 가능성,,,,,예,,,,,,,,,,
